# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 4K of event 'cycles'
# Event count (approx.): 602680337
#
# Overhead  Command     Shared Object                             Symbol                                        
# ........  ..........  ........................................  ..............................................
#
    22.87%  python3.10  python3.10                                [.] _PyEval_EvalFrameDefault
     2.56%  python3.10  python3.10                                [.] _PyObject_MakeTpCall
     1.51%  python3.10  python3.10                                [.] _PyUnicode_JoinArray
     1.31%  python3.10  python3.10                                [.] 0x00000000001d4961
     1.04%  python3.10  python3.10                                [.] PyLong_FromString
     0.94%  python3.10  libc.so.6                                 [.] ____wcstof_l_internal
     0.82%  python3.10  [kernel.kallsyms]                         [k] syscall_exit_to_user_mode
     0.79%  python3.10  python3.10                                [.] 0x000000000015f000
     0.77%  python3.10  [kernel.kallsyms]                         [k] psi_group_change
     0.71%  python3.10  python3.10                                [.] 0x000000000015effa
     0.69%  python3.10  [kernel.kallsyms]                         [k] visit_groups_merge.constprop.0.isra.0
     0.68%  python3.10  python3.10                                [.] 0x000000000018d589
     0.61%  python3.10  python3.10                                [.] 0x00000000001228d1
     0.58%  python3.10  python3.10                                [.] 0x0000000000127f5d
     0.51%  python3.10  python3.10                                [.] 0x000000000017c3fc
     0.49%  python3.10  python3.10                                [.] 0x00000000001d495d
     0.48%  python3.10  python3.10                                [.] _PyObject_LookupSpecial
     0.43%  python3.10  python3.10                                [.] 0x000000000015b506
     0.43%  python3.10  [kernel.kallsyms]                         [k] timerqueue_add
     0.42%  python3.10  [kernel.kallsyms]                         [k] entry_SYSCALL_64_after_hwframe
     0.41%  python3.10  python3.10                                [.] PyObject_GetAttr
     0.40%  python3.10  libc.so.6                                 [.] re_search_internal
     0.39%  python3.10  libc.so.6                                 [.] __vstrfmon_l_internal
     0.38%  python3.10  python3.10                                [.] PyTraceBack_Here
     0.37%  python3.10  [kernel.kallsyms]                         [k] perf_event_groups_first
     0.37%  python3.10  python3.10                                [.] _PyUnicode_InsertThousandsGrouping
     0.36%  python3.10  python3.10                                [.] _PyUnicodeWriter_PrepareInternal
     0.36%  python3.10  python3.10                                [.] 0x000000000020bea0
     0.36%  python3.10  python3.10                                [.] PyList_Append
     0.36%  python3.10  libc.so.6                                 [.] ____wcstold_l_internal
     0.35%  python3.10  python3.10                                [.] _PyUnicode_ToDecimalDigit
     0.35%  python3.10  python3.10                                [.] 0x000000000015b568
