CS ID,CS PID
2-39-78-367,2688626
2-39-79-376,2688476
2-39-95-444,2688569
2-39-88-438,2688494
2-39-95-27,2688489
2-39-92-442,2688471
2-39-129-17,2688576
2-39-91-441,2688584
2-39-79-377,2688587
2-39-129-563,2688581
2-39-79-378,2688588
2-39-78-365,2688578
2-39-89-439,2688583
2-39-78-361,2688585
2-39-91-437,2688590
2-39-79-381,2688611
2-39-131-565,2688654
2-39-92-436,2688621
2-39-131-30,2688500
2-39-125-559,2688617
2-39-124-558,2688461
2-39-90-26,2688482
2-39-138-29,2688564
2-39-127-561,2688589
2-39-89-25,2688594
2-39-88-24,2688586
2-39-124-22,2688582
2-39-82-384,2688592
2-39-127-19,2688591
2-39-83-386,2688464
2-39-138-566,2688651
2-39-79-380,2688557
2-39-78-363,2688593
2-39-128-562,2688641
2-39-125-21,2688665
2-39-139-567,2688638
2-39-78-360,2688550
2-39-78-364,2688670
2-39-130-31,2688676
2-39-79-382,2688687
2-39-78-362,2688697
2-39-126-20,2688710
2-39-79-379,2688743
2-39-123-23,2688731
2-39-79-383,2688756
2-39-128-18,2688722
2-39-78-366,2688759
2-39-139-28,2688769
2-39-123-557,2688766
2-39-83-387,2688784
2-39-126-560,2688787
2-39-130-564,2688790
2-39-90-440,2688794
