# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 42K of event 'cycles'
# Event count (approx.): 22293910520
#
# Overhead  Command     Shared Object                             Symbol                                     
# ........  ..........  ........................................  ...........................................
#
    59.38%  python3.10  python3.10                                [.] _PyEval_EvalFrameDefault
     5.87%  python3.10  python3.10                                [.] PyObject_RichCompare
     4.08%  python3.10  python3.10                                [.] 0x000000000012161a
     2.35%  python3.10  python3.10                                [.] 0x0000000000121590
     2.09%  python3.10  python3.10                                [.] 0x0000000000179c52
     1.12%  python3.10  python3.10                                [.] 0x000000000015b546
     0.93%  python3.10  python3.10                                [.] 0x0000000000121613
     0.93%  python3.10  python3.10                                [.] 0x0000000000121676
     0.83%  python3.10  python3.10                                [.] 0x00000000001215c4
     0.80%  python3.10  python3.10                                [.] 0x000000000012160b
     0.76%  python3.10  python3.10                                [.] 0x0000000000121596
     0.72%  python3.10  python3.10                                [.] 0x0000000000121730
     0.70%  python3.10  python3.10                                [.] 0x000000000012159b
     0.64%  python3.10  python3.10                                [.] 0x00000000001215a3
     0.60%  python3.10  python3.10                                [.] 0x00000000001215f2
     0.59%  python3.10  python3.10                                [.] 0x0000000000121605
     0.55%  python3.10  python3.10                                [.] 0x0000000000121737
     0.53%  python3.10  python3.10                                [.] 0x0000000000121679
     0.53%  python3.10  python3.10                                [.] 0x0000000000121623
     0.52%  python3.10  python3.10                                [.] 0x0000000000121653
     0.52%  python3.10  python3.10                                [.] 0x0000000000179c0e
     0.49%  python3.10  python3.10                                [.] 0x00000000001215ab
     0.47%  python3.10  python3.10                                [.] 0x000000000012167d
     0.45%  python3.10  python3.10                                [.] 0x00000000001215f7
     0.42%  python3.10  python3.10                                [.] 0x00000000001215e9
     0.36%  python3.10  python3.10                                [.] 0x0000000000121594
     0.35%  python3.10  python3.10                                [.] 0x00000000001215dc
     0.34%  python3.10  python3.10                                [.] 0x0000000000121616
     0.33%  python3.10  python3.10                                [.] 0x000000000012159d
     0.33%  python3.10  python3.10                                [.] 0x000000000015b506
     0.30%  python3.10  python3.10                                [.] 0x0000000000179c4e
     0.28%  python3.10  python3.10                                [.] 0x000000000012167b
     0.27%  python3.10  python3.10                                [.] 0x00000000001215a7
     0.26%  python3.10  python3.10                                [.] 0x00000000001215cb
     0.26%  python3.10  python3.10                                [.] 0x000000000015b500
     0.26%  python3.10  python3.10                                [.] 0x00000000001215bc
     0.25%  python3.10  python3.10                                [.] 0x0000000000173d50
     0.23%  python3.10  python3.10                                [.] 0x0000000000121635
     0.21%  python3.10  python3.10                                [.] 0x0000000000121600
     0.21%  python3.10  python3.10                                [.] 0x000000000015b537
     0.21%  python3.10  python3.10                                [.] 0x000000000012160f
     0.21%  python3.10  python3.10                                [.] 0x0000000000179be8
     0.21%  python3.10  python3.10                                [.] 0x0000000000179be6
     0.21%  python3.10  python3.10                                [.] 0x0000000000179be0
     0.21%  python3.10  python3.10                                [.] 0x0000000000179c42
     0.20%  python3.10  python3.10                                [.] 0x0000000000121638
     0.19%  python3.10  python3.10                                [.] 0x000000000015b520
     0.18%  python3.10  python3.10                                [.] 0x000000000015b568
     0.17%  python3.10  python3.10                                [.] 0x0000000000121677
     0.17%  python3.10  python3.10                                [.] 0x0000000000121628
     0.17%  python3.10  python3.10                                [.] 0x0000000000179c02
     0.16%  python3.10  python3.10                                [.] 0x0000000000121599
     0.15%  python3.10  python3.10                                [.] 0x00000000001215e2
     0.15%  python3.10  python3.10                                [.] 0x0000000000173d58
     0.14%  python3.10  python3.10                                [.] 0x0000000000179c5a
     0.14%  python3.10  python3.10                                [.] 0x0000000000179c15
     0.14%  python3.10  python3.10                                [.] 0x0000000000179c13
     0.13%  python3.10  python3.10                                [.] 0x000000000015b56e
     0.13%  python3.10  python3.10                                [.] 0x000000000015b54b
     0.13%  python3.10  python3.10                                [.] 0x0000000000179bee
     0.13%  python3.10  python3.10                                [.] 0x000000000012167f
     0.13%  python3.10  python3.10                                [.] 0x0000000000121660
     0.12%  python3.10  python3.10                                [.] 0x00000000001215a2
     0.12%  python3.10  python3.10                                [.] 0x000000000015b541
     0.12%  python3.10  python3.10                                [.] 0x0000000000179c21
     0.12%  python3.10  python3.10                                [.] 0x000000000015b557
     0.11%  python3.10  python3.10                                [.] 0x000000000012166e
     0.11%  python3.10  python3.10                                [.] 0x00000000001215e5
     0.11%  python3.10  python3.10                                [.] 0x000000000015b50e
     0.11%  python3.10  python3.10                                [.] 0x0000000000179c3b
     0.10%  python3.10  python3.10                                [.] 0x00000000001215c0
     0.10%  python3.10  python3.10                                [.] 0x000000000015b504
     0.10%  python3.10  python3.10                                [.] 0x0000000000121740
     0.09%  python3.10  python3.10                                [.] 0x0000000000121675
     0.08%  python3.10  python3.10                                [.] 0x00000000001215d8
     0.08%  python3.10  python3.10                                [.] 0x00000000001215a0
     0.08%  python3.10  python3.10                                [.] 0x0000000000179c46
     0.08%  python3.10  python3.10                                [.] 0x0000000000179c25
     0.08%  python3.10  python3.10                                [.] 0x0000000000179c56
     0.08%  python3.10  python3.10                                [.] 0x00000000001215ed
     0.08%  python3.10  python3.10                                [.] 0x0000000000121749
     0.07%  python3.10  python3.10                                [.] 0x000000000015b509
     0.07%  python3.10  python3.10                                [.] 0x0000000000179c2e
     0.07%  python3.10  python3.10                                [.] 0x00000000001215c8
     0.07%  python3.10  python3.10                                [.] 0x0000000000121667
     0.06%  python3.10  python3.10                                [.] 0x00000000001215b2
     0.06%  python3.10  python3.10                                [.] 0x000000000012175a
     0.06%  python3.10  python3.10                                [.] 0x00000000001215a6
     0.06%  python3.10  python3.10                                [.] 0x0000000000179be4
