# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 36K of event 'cycles'
# Event count (approx.): 17574871161
#
# Overhead  Command     Shared Object         Symbol                                   
# ........  ..........  ....................  .........................................
#
    49.84%  :2688949    python3.10            [.] _PyEval_EvalFrameDefault
     9.52%  python3.10  python3.10            [.] _PyEval_EvalFrameDefault
     5.85%  :2688949    python3.10            [.] PyObject_RichCompare
     2.47%  :2688949    python3.10            [.] 0x000000000012161a
     2.15%  :2688949    python3.10            [.] 0x0000000000121590
     1.98%  :2688949    python3.10            [.] 0x0000000000179c52
     1.36%  python3.10  python3.10            [.] 0x000000000012161a
     1.06%  :2688949    python3.10            [.] 0x000000000015b546
     0.94%  :2688949    python3.10            [.] 0x0000000000121596
     0.79%  :2688949    python3.10            [.] 0x0000000000121676
     0.77%  :2688949    python3.10            [.] 0x00000000001215c4
     0.70%  :2688949    python3.10            [.] 0x0000000000121613
     0.66%  :2688949    python3.10            [.] 0x0000000000121730
     0.56%  :2688949    python3.10            [.] 0x000000000012159b
     0.56%  :2688949    python3.10            [.] 0x0000000000179c0e
     0.55%  :2688949    python3.10            [.] 0x0000000000121653
     0.53%  :2688949    python3.10            [.] 0x00000000001215f2
     0.50%  :2688949    python3.10            [.] 0x00000000001215a3
     0.49%  :2688949    python3.10            [.] 0x0000000000121679
     0.49%  :2688949    python3.10            [.] 0x000000000015b506
     0.48%  :2688949    python3.10            [.] 0x000000000012160b
     0.46%  :2688949    python3.10            [.] 0x0000000000121737
     0.40%  :2688949    python3.10            [.] 0x00000000001215ab
     0.37%  :2688949    python3.10            [.] 0x000000000015b500
     0.36%  :2688949    python3.10            [.] 0x000000000012167d
     0.35%  :2688949    python3.10            [.] 0x00000000001215f7
     0.35%  :2688949    python3.10            [.] 0x0000000000121605
     0.33%  :2688949    python3.10            [.] 0x00000000001215dc
     0.30%  :2688949    python3.10            [.] 0x00000000001215e9
     0.29%  :2688949    python3.10            [.] 0x000000000012159d
     0.28%  :2688949    python3.10            [.] 0x0000000000121594
     0.28%  python3.10  python3.10            [.] 0x0000000000121613
     0.27%  :2688949    python3.10            [.] 0x0000000000179c4e
     0.27%  :2688949    python3.10            [.] 0x0000000000173d50
     0.25%  :2688949    python3.10            [.] 0x00000000001215bc
     0.25%  python3.10  python3.10            [.] 0x0000000000121605
     0.24%  :2688949    python3.10            [.] 0x0000000000179be6
     0.24%  python3.10  python3.10            [.] 0x000000000012160b
     0.24%  python3.10  python3.10            [.] 0x0000000000121623
     0.23%  :2688949    python3.10            [.] 0x0000000000179c42
     0.23%  :2688949    python3.10            [.] 0x0000000000121616
     0.23%  :2688949    python3.10            [.] 0x0000000000121600
     0.23%  :2688949    python3.10            [.] 0x0000000000121623
     0.22%  :2688949    python3.10            [.] 0x00000000001215a7
     0.21%  :2688949    python3.10            [.] 0x0000000000179be0
     0.21%  :2688949    python3.10            [.] 0x000000000015b537
     0.21%  :2688949    python3.10            [.] 0x00000000001215cb
     0.19%  :2688949    python3.10            [.] 0x0000000000121599
     0.18%  :2688949    python3.10            [.] 0x0000000000173d58
     0.17%  :2688949    python3.10            [.] 0x0000000000121660
     0.17%  :2688949    python3.10            [.] 0x000000000015b54b
     0.17%  :2688949    python3.10            [.] 0x000000000012167b
     0.16%  :2688949    python3.10            [.] 0x000000000015b568
     0.16%  :2688949    python3.10            [.] 0x0000000000179c13
     0.16%  :2688949    python3.10            [.] 0x0000000000179c02
     0.16%  :2688949    python3.10            [.] 0x0000000000179be8
     0.15%  python3.10  python3.10            [.] 0x0000000000121635
     0.15%  :2688949    python3.10            [.] 0x00000000001215e2
     0.14%  :2688949    python3.10            [.] 0x0000000000179c46
     0.14%  :2688949    python3.10            [.] 0x000000000015b56e
     0.14%  :2688949    python3.10            [.] 0x000000000015b520
     0.14%  python3.10  python3.10            [.] 0x0000000000121628
     0.14%  :2688949    python3.10            [.] 0x000000000015b557
     0.14%  :2688949    python3.10            [.] 0x000000000015b541
     0.14%  :2688949    python3.10            [.] 0x0000000000179c56
     0.14%  :2688949    python3.10            [.] 0x000000000015b504
     0.13%  python3.10  python3.10            [.] 0x0000000000121616
     0.13%  :2688949    python3.10            [.] 0x000000000012167f
     0.13%  python3.10  python3.10            [.] 0x0000000000121676
     0.13%  :2688949    python3.10            [.] 0x00000000001215e5
     0.13%  :2688949    python3.10            [.] 0x0000000000179c15
     0.13%  :2688949    python3.10            [.] 0x0000000000179c5a
     0.13%  :2688949    python3.10            [.] 0x00000000001215ed
     0.13%  :2688949    python3.10            [.] 0x000000000015b50e
     0.12%  python3.10  python3.10            [.] 0x00000000001215c4
     0.12%  :2688949    python3.10            [.] 0x0000000000179bee
     0.12%  python3.10  python3.10            [.] 0x0000000000121590
     0.12%  :2688949    python3.10            [.] 0x0000000000179c21
     0.12%  :2688949    python3.10            [.] 0x000000000012160f
     0.11%  :2688949    python3.10            [.] 0x0000000000121677
     0.11%  python3.10  python3.10            [.] 0x00000000001215f7
     0.10%  :2688949    python3.10            [.] 0x0000000000179c3b
     0.10%  :2688949    python3.10            [.] 0x0000000000179c25
     0.10%  :2688949    python3.10            [.] 0x000000000012166e
