# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 38K of event 'cycles'
# Event count (approx.): 17728905245
#
# Overhead  Command     Shared Object      Symbol                                     
# ........  ..........  .................  ...........................................
#
    59.52%  python3.10  python3.10         [.] _PyEval_EvalFrameDefault
     5.30%  python3.10  python3.10         [.] PyObject_RichCompare
     3.74%  python3.10  python3.10         [.] 0x000000000012161a
     2.20%  python3.10  python3.10         [.] 0x0000000000121590
     1.62%  python3.10  python3.10         [.] 0x0000000000179c52
     1.12%  python3.10  python3.10         [.] 0x0000000000121596
     1.04%  python3.10  python3.10         [.] 0x000000000015b546
     0.94%  python3.10  python3.10         [.] 0x0000000000121613
     0.87%  python3.10  python3.10         [.] 0x0000000000121676
     0.82%  python3.10  python3.10         [.] 0x0000000000121730
     0.74%  python3.10  python3.10         [.] 0x000000000012160b
     0.72%  python3.10  python3.10         [.] 0x00000000001215c4
     0.70%  python3.10  python3.10         [.] 0x000000000012159b
     0.66%  python3.10  python3.10         [.] 0x00000000001215f2
     0.63%  python3.10  python3.10         [.] 0x0000000000121605
     0.56%  python3.10  python3.10         [.] 0x0000000000121616
     0.56%  python3.10  python3.10         [.] 0x00000000001215a3
     0.55%  python3.10  python3.10         [.] 0x0000000000121623
     0.53%  python3.10  python3.10         [.] 0x0000000000121594
     0.51%  python3.10  python3.10         [.] 0x000000000015b500
     0.50%  python3.10  python3.10         [.] 0x00000000001215f7
     0.47%  python3.10  python3.10         [.] 0x0000000000121653
     0.46%  python3.10  python3.10         [.] 0x0000000000121679
     0.45%  python3.10  python3.10         [.] 0x0000000000179c0e
     0.45%  python3.10  python3.10         [.] 0x0000000000121737
     0.45%  python3.10  python3.10         [.] 0x000000000012159d
     0.44%  python3.10  python3.10         [.] 0x000000000015b506
     0.36%  python3.10  python3.10         [.] 0x000000000012167d
     0.34%  python3.10  python3.10         [.] 0x00000000001215ab
     0.32%  python3.10  python3.10         [.] 0x00000000001215e9
     0.31%  python3.10  python3.10         [.] 0x000000000015b54b
     0.30%  python3.10  python3.10         [.] 0x0000000000179be6
     0.29%  python3.10  python3.10         [.] 0x00000000001215bc
     0.28%  python3.10  python3.10         [.] 0x00000000001215dc
     0.28%  python3.10  python3.10         [.] 0x0000000000121599
     0.28%  python3.10  python3.10         [.] 0x0000000000173d50
     0.26%  python3.10  python3.10         [.] 0x000000000012160f
     0.25%  python3.10  python3.10         [.] 0x0000000000179c4e
     0.25%  python3.10  python3.10         [.] 0x00000000001215a7
     0.23%  python3.10  python3.10         [.] 0x000000000015b504
     0.23%  python3.10  python3.10         [.] 0x00000000001215cb
     0.22%  python3.10  python3.10         [.] 0x0000000000179be8
     0.21%  python3.10  python3.10         [.] 0x0000000000173d58
     0.21%  python3.10  python3.10         [.] 0x000000000015b509
     0.21%  python3.10  python3.10         [.] 0x0000000000179c46
     0.21%  python3.10  python3.10         [.] 0x0000000000121677
     0.20%  python3.10  python3.10         [.] 0x0000000000121635
     0.20%  python3.10  python3.10         [.] 0x00000000001215a2
     0.19%  python3.10  python3.10         [.] 0x0000000000121628
     0.19%  python3.10  python3.10         [.] 0x0000000000121638
     0.18%  python3.10  python3.10         [.] 0x0000000000179be0
