# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 6K of event 'cycles'
# Event count (approx.): 1176919489
#
# Overhead  Command     Shared Object      Symbol                                     
# ........  ..........  .................  ...........................................
#
    23.95%  python3.10  python3.10         [.] _PyEval_EvalFrameDefault
     2.74%  python3.10  python3.10         [.] _PyObject_MakeTpCall
     1.55%  python3.10  python3.10         [.] PyLong_FromString
     1.54%  python3.10  python3.10         [.] _PyUnicode_JoinArray
     1.01%  python3.10  python3.10         [.] PyList_Append
     0.82%  python3.10  [kernel.kallsyms]  [k] perf_event_update_userpage
     0.62%  python3.10  python3.10         [.] 0x000000000017c3fc
     0.60%  python3.10  python3.10         [.] 0x00000000001d4961
     0.57%  python3.10  [kernel.kallsyms]  [k] psi_group_change
     0.53%  python3.10  libc.so.6          [.] re_search_internal
     0.51%  python3.10  libc.so.6          [.] ____wcstof_l_internal
     0.51%  python3.10  libc.so.6          [.] ____wcstold_l_internal
     0.51%  python3.10  [kernel.kallsyms]  [k] syscall_return_via_sysret
     0.50%  python3.10  python3.10         [.] 0x0000000000174090
     0.48%  python3.10  python3.10         [.] 0x00000000001795fe
     0.48%  python3.10  python3.10         [.] 0x000000000015b546
     0.43%  python3.10  [kernel.kallsyms]  [k] perf_event_groups_first
     0.42%  python3.10  python3.10         [.] 0x000000000020bea0
     0.42%  python3.10  [kernel.kallsyms]  [k] rb_next
     0.41%  python3.10  python3.10         [.] 0x00000000001d495d
     0.41%  python3.10  libc.so.6          [.] __stpncpy_sse2_unaligned
     0.41%  python3.10  python3.10         [.] 0x000000000020bf65
     0.40%  python3.10  python3.10         [.] _PyObject_GetMethod
     0.40%  python3.10  python3.10         [.] 0x000000000017c380
     0.39%  python3.10  python3.10         [.] 0x000000000018d589
     0.38%  python3.10  python3.10         [.] 0x000000000018d165
     0.38%  python3.10  [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
     0.38%  python3.10  python3.10         [.] 0x000000000017c3ef
     0.37%  python3.10  [kernel.kallsyms]  [k] visit_groups_merge.constprop.0.isra.0
     0.36%  python3.10  [kernel.kallsyms]  [k] syscall_exit_to_user_mode
     0.35%  python3.10  [kernel.kallsyms]  [k] merge_sched_in
     0.35%  python3.10  python3.10         [.] 0x00000000001740bb
     0.35%  python3.10  python3.10         [.] 0x000000000015effa
     0.32%  python3.10  python3.10         [.] _PyUnicodeWriter_PrepareInternal
     0.32%  python3.10  libc.so.6          [.] __strncat_sse2_unaligned
     0.32%  python3.10  python3.10         [.] 0x0000000000206c7a
     0.32%  python3.10  python3.10         [.] 0x0000000000127f5d
     0.30%  python3.10  python3.10         [.] _PyUnicode_InsertThousandsGrouping
     0.26%  python3.10  python3.10         [.] 0x00000000001732de
     0.26%  python3.10  python3.10         [.] 0x00000000002942ff
     0.25%  python3.10  libc.so.6          [.] 0x00000000001a0940
     0.25%  python3.10  python3.10         [.] 0x0000000000188e95
     0.25%  python3.10  python3.10         [.] 0x0000000000188ef6
     0.24%  python3.10  libc.so.6          [.] re_compile_internal
     0.23%  python3.10  python3.10         [.] 0x000000000020bef5
     0.23%  python3.10  python3.10         [.] 0x00000000001795d6
     0.23%  python3.10  [kernel.kallsyms]  [k] tcp_sendmsg_locked
     0.23%  python3.10  [kernel.kallsyms]  [k] tcp_recvmsg_locked
     0.22%  python3.10  python3.10         [.] 0x000000000018d155
     0.22%  python3.10  python3.10         [.] 0x000000000017f87a
     0.22%  python3.10  python3.10         [.] 0x0000000000206c70
     0.22%  python3.10  python3.10         [.] 0x000000000015ef7f
     0.21%  python3.10  [kernel.kallsyms]  [k] pick_next_entity
     0.21%  python3.10  python3.10         [.] _PyObject_LookupSpecial
     0.21%  python3.10  [kernel.kallsyms]  [k] __schedule
     0.21%  python3.10  python3.10         [.] 0x0000000000188ec7
     0.21%  python3.10  python3.10         [.] 0x00000000001732ee
     0.20%  python3.10  python3.10         [.] 0x0000000000122832
     0.20%  python3.10  python3.10         [.] 0x0000000000189014
     0.20%  python3.10  python3.10         [.] 0x00000000001d48e8
     0.20%  python3.10  python3.10         [.] 0x00000000001228eb
     0.20%  python3.10  [kernel.kallsyms]  [k] event_sched_in
     0.20%  python3.10  python3.10         [.] 0x000000000013fd1f
     0.20%  python3.10  [kernel.kallsyms]  [k] tcp_ack
     0.20%  python3.10  [kernel.kallsyms]  [k] perf_swevent_add
     0.20%  python3.10  libc.so.6          [.] parse_expression
     0.19%  python3.10  python3.10         [.] 0x0000000000188de8
     0.19%  python3.10  libc.so.6          [.] 0x00000000001a0951
     0.19%  python3.10  python3.10         [.] 0x000000000018d066
     0.19%  python3.10  libc.so.6          [.] __vstrfmon_l_internal
     0.19%  python3.10  [kernel.kallsyms]  [k] rb_erase
     0.19%  python3.10  python3.10         [.] 0x00000000001d48d5
     0.19%  python3.10  python3.10         [.] PyDict_Contains
     0.18%  python3.10  libc.so.6          [.] parse_qtd_backslash
     0.18%  python3.10  [kernel.kallsyms]  [k] ctx_sched_in
     0.18%  python3.10  [kernel.kallsyms]  [k] do_poll.constprop.0
     0.18%  python3.10  python3.10         [.] _PyFunction_Vectorcall
     0.18%  python3.10  [kernel.kallsyms]  [k] loopback_xmit
     0.18%  python3.10  python3.10         [.] 0x000000000012290a
     0.18%  python3.10  python3.10         [.] 0x0000000000188dd7
     0.18%  python3.10  python3.10         [.] _PyObject_GenericGetAttrWithDict
     0.17%  python3.10  python3.10         [.] 0x00000000001b63e8
     0.17%  python3.10  libcrypto.so.3     [.] OPENSSL_cleanse
     0.17%  python3.10  libc.so.6          [.] __strncpy_sse2_unaligned
     0.17%  python3.10  python3.10         [.] 0x0000000000127f54
     0.17%  python3.10  python3.10         [.] 0x000000000017958b
     0.17%  python3.10  python3.10         [.] 0x000000000017c393
     0.17%  python3.10  [kernel.kallsyms]  [k] __netif_receive_skb
     0.17%  python3.10  python3.10         [.] _PyUnicode_FromASCII
     0.17%  python3.10  libc.so.6          [.] 0x0000000000199c00
     0.16%  python3.10  python3.10         [.] 0x000000000017a8e0
     0.16%  python3.10  python3.10         [.] 0x0000000000188e69
     0.16%  python3.10  [kernel.kallsyms]  [k] __tcp_transmit_skb
     0.16%  python3.10  libc.so.6          [.] __GI___strncasecmp_l_sse2
     0.16%  python3.10  [kernel.kallsyms]  [k] restore_fpregs_from_fpstate
     0.16%  python3.10  python3.10         [.] 0x00000000001b63ff
     0.16%  python3.10  python3.10         [.] 0x00000000001228d1
     0.16%  python3.10  python3.10         [.] PyObject_CheckBuffer
     0.16%  python3.10  python3.10         [.] 0x000000000017c386
     0.15%  python3.10  python3.10         [.] PyObject_GetAttr
     0.15%  python3.10  python3.10         [.] PyFunction_NewWithQualName
     0.15%  python3.10  [kernel.kallsyms]  [k] tcp_poll
     0.15%  python3.10  python3.10         [.] 0x0000000000137b77
     0.15%  python3.10  python3.10         [.] _PyUnicodeWriter_Init
     0.15%  python3.10  python3.10         [.] 0x000000000015efb8
     0.15%  python3.10  python3.10         [.] 0x000000000017c3aa
     0.15%  python3.10  python3.10         [.] _PyLong_New
     0.15%  python3.10  libc.so.6          [.] 0x00000000001a0970
     0.15%  python3.10  [kernel.kallsyms]  [k] native_sched_clock
     0.15%  python3.10  python3.10         [.] 0x0000000000188efb
     0.14%  python3.10  [kernel.kallsyms]  [k] native_write_msr
     0.14%  python3.10  python3.10         [.] 0x000000000018c0a9
     0.14%  python3.10  python3.10         [.] PyObject_RichCompare
     0.14%  python3.10  [kernel.kallsyms]  [k] __fget_files
     0.14%  python3.10  python3.10         [.] 0x0000000000188dd3
     0.14%  python3.10  python3.10         [.] PyType_GenericAlloc
     0.13%  python3.10  [kernel.kallsyms]  [k] copy_user_enhanced_fast_string
     0.13%  python3.10  python3.10         [.] 0x00000000001b640a
     0.13%  python3.10  python3.10         [.] 0x0000000000188eb2
     0.13%  python3.10  python3.10         [.] 0x0000000000137a9c
     0.13%  python3.10  [kernel.kallsyms]  [k] ip_finish_output2
     0.13%  python3.10  python3.10         [.] 0x000000000015ef70
     0.13%  python3.10  python3.10         [.] 0x00000000001228f6
     0.13%  python3.10  python3.10         [.] 0x00000000001740a7
     0.13%  python3.10  libc.so.6          [.] str_to_mpn
     0.13%  python3.10  python3.10         [.] _PyUnicode_ToDecimalDigit
     0.13%  python3.10  python3.10         [.] _PyObject_New
     0.13%  python3.10  python3.10         [.] 0x000000000015f007
     0.13%  python3.10  python3.10         [.] 0x0000000000206a23
     0.13%  python3.10  python3.10         [.] 0x0000000000143407
     0.12%  python3.10  python3.10         [.] 0x00000000001522f3
     0.12%  python3.10  python3.10         [.] 0x000000000018c0a4
     0.12%  python3.10  python3.10         [.] 0x0000000000188eee
     0.12%  python3.10  [kernel.kallsyms]  [k] __softirqentry_text_start
     0.12%  python3.10  python3.10         [.] 0x0000000000137bc7
     0.12%  python3.10  python3.10         [.] 0x0000000000122930
