_id,userInputs,userID,sessionID,stationID,spaceID,siteID,clusterID,connectionTime,disconnectTime,kWhDelivered,doneChargingTime,timezone
5d86c0a5f9af8b1022a81855,"[{'userID': 569, 'milesRequested': 60, 'WhPerMile': 300, 'minutesAvailable': 490, 'modifiedAt': 'Thu, 05 Sep 2019 14:44:26 GMT', 'paymentRequired': True, 'requestedDeparture': 'Thu, 05 Sep 2019 22:54:14 GMT', 'kWhRequested': 18.0}]",000000569,2_39_78_366_2019-09-05 14:44:14.494199,2-39-78-366,CA-323,0002,0039,2019-09-05 07:44:14-07:00,2019-09-05 17:09:38-07:00,10.517,2019-09-05 15:20:49-07:00,America/Los_Angeles
5d86c0a5f9af8b1022a81856,"[{'userID': 1564, 'milesRequested': 40, 'WhPerMile': 300, 'minutesAvailable': 95, 'modifiedAt': 'Thu, 05 Sep 2019 15:17:34 GMT', 'paymentRequired': True, 'requestedDeparture': 'Thu, 05 Sep 2019 16:52:27 GMT', 'kWhRequested': 12.0}]",000001564,2_39_139_28_2019-09-05 15:17:27.380460,2-39-139-28,CA-303,0002,0039,2019-09-05 08:17:27-07:00,2019-09-05 09:53:56-07:00,4.016,2019-09-05 09:33:22-07:00,America/Los_Angeles
5d86c0a5f9af8b1022a81857,"[{'userID': 2461, 'milesRequested': 30, 'WhPerMile': 400, 'minutesAvailable': 286, 'modifiedAt': 'Thu, 05 Sep 2019 15:19:17 GMT', 'paymentRequired': True, 'requestedDeparture': 'Thu, 05 Sep 2019 20:05:17 GMT', 'kWhRequested': 12.0}]",000002461,2_39_91_437_2019-09-05 15:19:05.662752,2-39-91-437,CA-317,0002,0039,2019-09-05 08:19:17-07:00,2019-09-05 15:03:09-07:00,11.884,2019-09-05 12:39:54-07:00,America/Los_Angeles
5d86c0a5f9af8b1022a81858,"[{'userID': 1153, 'milesRequested': 30, 'WhPerMile': 600, 'minutesAvailable': 369, 'modifiedAt': 'Thu, 05 Sep 2019 15:32:19 GMT', 'paymentRequired': True, 'requestedDeparture': 'Thu, 05 Sep 2019 21:41:02 GMT', 'kWhRequested': 18.0}]",000001153,2_39_131_30_2019-09-05 15:32:02.173909,2-39-131-30,CA-305,0002,0039,2019-09-05 08:32:02-07:00,2019-09-05 17:05:27-07:00,12.941,2019-09-05 10:45:49-07:00,America/Los_Angeles
5d86c0a5f9af8b1022a81859,"[{'userID': 1001, 'milesRequested': 20, 'WhPerMile': 600, 'minutesAvailable': 129, 'modifiedAt': 'Thu, 05 Sep 2019 15:40:44 GMT', 'paymentRequired': True, 'requestedDeparture': 'Thu, 05 Sep 2019 17:49:44 GMT', 'kWhRequested': 12.0}]",000001001,2_39_79_383_2019-09-05 15:40:35.669156,2-39-79-383,CA-492,0002,0039,2019-09-05 08:40:44-07:00,2019-09-05 17:05:13-07:00,14.182,2019-09-05 16:52:56-07:00,America/Los_Angeles
5d86c0a5f9af8b1022a8185a,"[{'userID': 712, 'milesRequested': 20, 'WhPerMile': 600, 'minutesAvailable': 435, 'modifiedAt': 'Thu, 05 Sep 2019 15:45:56 GMT', 'paymentRequired': True, 'requestedDeparture': 'Thu, 05 Sep 2019 23:00:50 GMT', 'kWhRequested': 12.0}]",000000712,2_39_129_17_2019-09-05 15:45:50.466093,2-39-129-17,CA-307,0002,0039,2019-09-05 08:45:50-07:00,2019-09-05 18:31:34-07:00,5.108,2019-09-05 15:27:35-07:00,America/Los_Angeles
5d86c0a5f9af8b1022a8185b,"[{'userID': 1470, 'milesRequested': 90, 'WhPerMile': 292, 'minutesAvailable': 381, 'modifiedAt': 'Thu, 05 Sep 2019 15:46:27 GMT', 'paymentRequired': True, 'requestedDeparture': 'Thu, 05 Sep 2019 22:07:04 GMT', 'kWhRequested': 26.28}]",000001470,2_39_78_362_2019-09-05 15:46:03.988515,2-39-78-362,CA-496,0002,0039,2019-09-05 08:46:04-07:00,2019-09-05 16:34:48-07:00,15.972,2019-09-05 16:35:48-07:00,America/Los_Angeles
5d86c0a5f9af8b1022a8185c,"[{'userID': 743, 'milesRequested': 20, 'WhPerMile': 400, 'minutesAvailable': 443, 'modifiedAt': 'Thu, 05 Sep 2019 15:46:43 GMT', 'paymentRequired': True, 'requestedDeparture': 'Thu, 05 Sep 2019 23:09:30 GMT', 'kWhRequested': 8.0}, {'userID': 743, 'milesRequested': 20, 'WhPerMile': 400, 'minutesAvailable': 436, 'modifiedAt': 'Thu, 05 Sep 2019 15:47:17 GMT', 'paymentRequired': True, 'requestedDeparture': 'Thu, 05 Sep 2019 23:02:30 GMT', 'kWhRequested': 8.0}]",000000743,2_39_89_25_2019-09-05 15:46:30.076233,2-39-89-25,CA-315,0002,0039,2019-09-05 08:46:30-07:00,2019-09-05 16:45:18-07:00,3.871,2019-09-05 10:10:02-07:00,America/Los_Angeles
5d86c0a5f9af8b1022a8185d,"[{'userID': 562, 'milesRequested': 20, 'WhPerMile': 275, 'minutesAvailable': 226, 'modifiedAt': 'Thu, 05 Sep 2019 15:51:41 GMT', 'paymentRequired': True, 'requestedDeparture': 'Thu, 05 Sep 2019 19:37:17 GMT', 'kWhRequested': 5.5}]",000000562,2_39_127_19_2019-09-05 15:51:16.739332,2-39-127-19,CA-309,0002,0039,2019-09-05 08:51:17-07:00,2019-09-05 12:12:39-07:00,4.82,2019-09-05 10:55:08-07:00,America/Los_Angeles
5d86c0a5f9af8b1022a8185e,"[{'userID': 818, 'milesRequested': 190, 'WhPerMile': 250, 'minutesAvailable': 459, 'modifiedAt': 'Thu, 05 Sep 2019 15:59:50 GMT', 'paymentRequired': True, 'requestedDeparture': 'Thu, 05 Sep 2019 23:38:25 GMT', 'kWhRequested': 47.5}]",000000818,2_39_92_442_2019-09-05 15:59:24.699920,2-39-92-442,CA-498,0002,0039,2019-09-05 08:59:25-07:00,2019-09-05 16:32:16-07:00,41.827,2019-09-05 16:16:46-07:00,America/Los_Angeles
5d86c0a5f9af8b1022a8185f,"[{'userID': 2961, 'milesRequested': 200, 'WhPerMile': 227, 'minutesAvailable': 509, 'modifiedAt': 'Thu, 05 Sep 2019 16:03:29 GMT', 'paymentRequired': True, 'requestedDeparture': 'Fri, 06 Sep 2019 00:31:33 GMT', 'kWhRequested': 45.4}]",000002961,2_39_79_380_2019-09-05 16:02:33.115239,2-39-79-380,CA-489,0002,0039,2019-09-05 09:02:33-07:00,2019-09-05 18:44:00-07:00,15.992,2019-09-05 11:33:32-07:00,America/Los_Angeles
5d86c0a5f9af8b1022a81860,"[{'userID': 564, 'milesRequested': 110, 'WhPerMile': 231, 'minutesAvailable': 461, 'modifiedAt': 'Thu, 05 Sep 2019 16:03:40 GMT', 'paymentRequired': True, 'requestedDeparture': 'Thu, 05 Sep 2019 23:44:30 GMT', 'kWhRequested': 25.41}]",000000564,2_39_78_367_2019-09-05 16:03:30.349246,2-39-78-367,CA-494,0002,0039,2019-09-05 09:03:30-07:00,2019-09-05 13:34:02-07:00,15.715,2019-09-05 13:29:48-07:00,America/Los_Angeles
