CS ID,CS PID
2-39-125-559,2181058
2-39-127-19,2181185
2-39-79-380,2181121
2-39-129-563,2181140
2-39-126-560,2181133
2-39-78-361,2181143
2-39-90-26,2181148
2-39-124-22,2181153
2-39-78-360,2181137
2-39-78-366,2181141
2-39-128-18,2181155
2-39-125-21,2181166
2-39-79-381,2181170
2-39-131-30,2181156
2-39-95-27,2181112
2-39-139-28,2181065
2-39-78-364,2181144
2-39-92-442,2181154
2-39-91-441,2181151
2-39-91-437,2181056
2-39-79-377,2181174
2-39-83-387,2181128
2-39-130-564,2181146
2-39-138-566,2181142
2-39-130-31,2181152
2-39-131-565,2181190
2-39-79-382,2181193
2-39-138-29,2181199
2-39-78-365,2181205
2-39-88-24,2181215
2-39-95-444,2181227
2-39-123-557,2181231
2-39-78-367,2181234
2-39-79-383,2181235
2-39-139-567,2181246
2-39-129-17,2181249
2-39-88-438,2181250
2-39-79-378,2181256
2-39-89-25,2181268
2-39-127-561,2181259
2-39-79-376,2181297
2-39-124-558,2181303
2-39-83-386,2181307
2-39-92-436,2181313
2-39-78-362,2181320
2-39-90-440,2181326
2-39-89-439,2181323
2-39-82-384,2181331
2-39-126-20,2181334
2-39-128-562,2181336
2-39-78-363,2181342
2-39-79-379,2181344
2-39-123-23,2181339
