# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 169K of event 'cycles'
# Event count (approx.): 86623323184
#
# Overhead  Command     Shared Object                             Symbol                                       
# ........  ..........  ........................................  .............................................
#
    72.79%  python3.10  python3.10                                [.] _PyEval_EvalFrameDefault
     2.66%  python3.10  python3.10                                [.] 0x000000000012161a
     2.64%  python3.10  python3.10                                [.] PyObject_RichCompare
     2.15%  python3.10  python3.10                                [.] 0x0000000000121590
     1.34%  python3.10  python3.10                                [.] 0x00000000001215c4
     1.29%  python3.10  python3.10                                [.] 0x0000000000179c52
     0.90%  python3.10  python3.10                                [.] 0x0000000000121605
     0.67%  python3.10  python3.10                                [.] 0x000000000015b546
     0.66%  python3.10  python3.10                                [.] 0x0000000000121613
     0.64%  python3.10  python3.10                                [.] 0x0000000000179c4e
     0.58%  python3.10  python3.10                                [.] 0x0000000000121676
     0.53%  python3.10  python3.10                                [.] 0x000000000012160b
     0.45%  python3.10  python3.10                                [.] 0x000000000012159b
     0.43%  python3.10  python3.10                                [.] 0x0000000000121730
     0.40%  python3.10  python3.10                                [.] 0x0000000000121737
     0.39%  python3.10  python3.10                                [.] 0x00000000001215f2
     0.39%  python3.10  python3.10                                [.] 0x00000000001215a3
     0.32%  python3.10  python3.10                                [.] 0x00000000001215f7
     0.29%  python3.10  python3.10                                [.] 0x00000000001215ab
     0.29%  python3.10  python3.10                                [.] 0x000000000012167d
     0.28%  python3.10  python3.10                                [.] 0x0000000000121679
     0.27%  python3.10  python3.10                                [.] 0x0000000000121596
     0.24%  python3.10  python3.10                                [.] 0x00000000001215dc
     0.24%  python3.10  python3.10                                [.] 0x00000000001215cb
     0.21%  python3.10  python3.10                                [.] 0x0000000000121623
     0.21%  python3.10  python3.10                                [.] 0x00000000001215e9
     0.21%  python3.10  python3.10                                [.] 0x0000000000121653
     0.19%  python3.10  python3.10                                [.] 0x000000000015b537
     0.18%  python3.10  python3.10                                [.] 0x000000000012159d
