# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 184K of event 'cycles'
# Event count (approx.): 72100907376
#
# Overhead  Command     Shared Object                             Symbol                                     
# ........  ..........  ........................................  ...........................................
#
    52.48%  python3.10  python3.10                                [.] _PyEval_EvalFrameDefault
    19.41%  :2181526    python3.10                                [.] _PyEval_EvalFrameDefault
     2.92%  :2181526    python3.10                                [.] PyObject_RichCompare
     1.55%  python3.10  python3.10                                [.] 0x000000000012161a
     1.53%  :2181526    python3.10                                [.] 0x0000000000179c52
     1.33%  :2181526    python3.10                                [.] 0x0000000000121590
     1.12%  :2181526    python3.10                                [.] 0x000000000012161a
     0.89%  python3.10  python3.10                                [.] 0x0000000000121590
     0.75%  :2181526    python3.10                                [.] 0x0000000000179c4e
     0.74%  :2181526    python3.10                                [.] 0x000000000015b546
     0.71%  :2181526    python3.10                                [.] 0x00000000001215c4
     0.65%  python3.10  python3.10                                [.] 0x00000000001215c4
     0.48%  python3.10  python3.10                                [.] 0x0000000000121605
     0.45%  :2181526    python3.10                                [.] 0x0000000000121605
     0.38%  :2181526    python3.10                                [.] 0x0000000000121613
     0.34%  :2181526    python3.10                                [.] 0x0000000000121676
     0.32%  python3.10  python3.10                                [.] 0x0000000000121613
     0.31%  python3.10  python3.10                                [.] 0x000000000012160b
     0.28%  python3.10  python3.10                                [.] 0x0000000000121676
     0.26%  :2181526    python3.10                                [.] 0x000000000012159b
     0.25%  :2181526    python3.10                                [.] 0x0000000000121730
     0.25%  :2181526    python3.10                                [.] 0x00000000001215a3
     0.24%  :2181526    python3.10                                [.] 0x00000000001215f2
     0.23%  :2181526    python3.10                                [.] 0x0000000000121653
     0.22%  :2181526    python3.10                                [.] 0x0000000000121737
     0.21%  :2181526    python3.10                                [.] 0x00000000001215ab
     0.21%  :2181526    python3.10                                [.] 0x000000000012160b
     0.20%  python3.10  python3.10                                [.] 0x0000000000121623
     0.20%  :2181526    python3.10                                [.] 0x000000000015b537
     0.20%  python3.10  python3.10                                [.] 0x0000000000121737
     0.19%  python3.10  python3.10                                [.] 0x000000000012159b
     0.19%  python3.10  python3.10                                [.] 0x00000000001215f2
     0.18%  python3.10  python3.10                                [.] 0x0000000000121730
     0.18%  python3.10  python3.10                                [.] 0x00000000001215f7
     0.17%  python3.10  python3.10                                [.] 0x00000000001215a3
     0.17%  :2181526    python3.10                                [.] 0x000000000012167d
     0.16%  :2181526    python3.10                                [.] 0x00000000001215dc
     0.16%  :2181526    python3.10                                [.] 0x0000000000121679
     0.15%  :2181526    python3.10                                [.] 0x0000000000121596
     0.14%  :2181526    python3.10                                [.] 0x00000000001215f7
     0.14%  python3.10  python3.10                                [.] 0x0000000000121635
     0.14%  :2181526    python3.10                                [.] 0x000000000015b541
     0.13%  python3.10  python3.10                                [.] 0x00000000001215ab
     0.13%  python3.10  python3.10                                [.] 0x00000000001215cb
     0.13%  :2181526    python3.10                                [.] 0x00000000001215cb
     0.13%  python3.10  python3.10                                [.] 0x00000000001215dc
     0.13%  :2181526    python3.10                                [.] 0x0000000000179c42
     0.13%  :2181526    python3.10                                [.] 0x00000000001215e9
     0.12%  :2181526    python3.10                                [.] 0x000000000012159d
     0.12%  python3.10  python3.10                                [.] 0x000000000012167d
     0.11%  python3.10  python3.10                                [.] 0x0000000000121679
     0.11%  :2181526    python3.10                                [.] 0x000000000015b506
     0.11%  python3.10  python3.10                                [.] 0x000000000012160f
     0.10%  :2181526    python3.10                                [.] 0x000000000012167b
     0.10%  python3.10  python3.10                                [.] 0x0000000000121596
     0.10%  :2181526    python3.10                                [.] 0x0000000000179c46
     0.09%  :2181526    python3.10                                [.] 0x0000000000179be0
