# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 128K of event 'cycles'
# Event count (approx.): 42818651986
#
# Overhead  Command     Shared Object         Symbol                                     
# ........  ..........  ....................  ...........................................
#
    83.89%  python3.10  python3.10            [.] _PyEval_EvalFrameDefault
     2.50%  python3.10  python3.10            [.] 0x000000000012161a
     1.48%  python3.10  python3.10            [.] 0x0000000000121590
     1.06%  python3.10  python3.10            [.] 0x00000000001215c4
     0.76%  python3.10  python3.10            [.] 0x0000000000121605
     0.54%  python3.10  python3.10            [.] 0x0000000000121613
     0.47%  python3.10  python3.10            [.] 0x000000000012160b
     0.43%  python3.10  python3.10            [.] 0x0000000000121676
     0.33%  python3.10  python3.10            [.] 0x0000000000121623
     0.32%  python3.10  python3.10            [.] 0x0000000000121737
     0.29%  python3.10  python3.10            [.] 0x00000000001215a3
     0.29%  python3.10  python3.10            [.] 0x0000000000121730
     0.28%  python3.10  python3.10            [.] 0x00000000001215f7
     0.28%  python3.10  python3.10            [.] 0x000000000012159b
     0.24%  python3.10  python3.10            [.] 0x00000000001215f2
     0.22%  python3.10  python3.10            [.] 0x00000000001215dc
     0.22%  python3.10  python3.10            [.] 0x00000000001215ab
     0.21%  python3.10  python3.10            [.] 0x00000000001215cb
     0.21%  python3.10  python3.10            [.] 0x0000000000121635
     0.19%  python3.10  python3.10            [.] 0x0000000000121679
     0.19%  python3.10  python3.10            [.] 0x000000000012167d
     0.16%  python3.10  python3.10            [.] 0x000000000012160f
     0.16%  python3.10  python3.10            [.] 0x0000000000121616
     0.15%  python3.10  python3.10            [.] 0x00000000001215e9
     0.13%  python3.10  [kernel.kallsyms]     [k] psi_group_change
     0.11%  python3.10  python3.10            [.] 0x00000000001215e5
     0.11%  python3.10  python3.10            [.] 0x0000000000121596
     0.10%  python3.10  python3.10            [.] 0x0000000000121628
     0.10%  python3.10  python3.10            [.] 0x000000000012159d
     0.09%  python3.10  python3.10            [.] 0x00000000001215a7
     0.09%  python3.10  python3.10            [.] 0x00000000001215e2
     0.09%  python3.10  python3.10            [.] 0x0000000000121600
     0.09%  python3.10  python3.10            [.] 0x0000000000121638
     0.08%  python3.10  python3.10            [.] 0x0000000000121594
     0.07%  python3.10  python3.10            [.] 0x00000000001215d8
     0.07%  :2185011    python3.10            [.] _PyEval_EvalFrameDefault
     0.07%  python3.10  python3.10            [.] 0x0000000000121677
     0.07%  python3.10  python3.10            [.] 0x000000000012167b
     0.07%  python3.10  python3.10            [.] 0x00000000001215bc
     0.07%  python3.10  [kernel.kallsyms]     [k] syscall_exit_to_user_mode
     0.07%  python3.10  [kernel.kallsyms]     [k] perf_event_alloc
     0.07%  python3.10  python3.10            [.] 0x000000000012167f
     0.07%  :2185095    python3.10            [.] _PyEval_EvalFrameDefault
     0.06%  :2185385    python3.10            [.] _PyEval_EvalFrameDefault
     0.06%  :2185066    python3.10            [.] _PyEval_EvalFrameDefault
     0.05%  :2185186    python3.10            [.] _PyEval_EvalFrameDefault
     0.05%  :2185265    python3.10            [.] _PyEval_EvalFrameDefault
     0.05%  python3.10  [kernel.kallsyms]     [k] memset_erms
     0.05%  python3.10  [kernel.kallsyms]     [k] merge_sched_in
     0.05%  python3.10  [kernel.kallsyms]     [k] syscall_return_via_sysret
     0.05%  python3.10  [kernel.kallsyms]     [k] event_sched_in
     0.05%  python3.10  [kernel.kallsyms]     [k] error_entry
     0.05%  python3.10  [kernel.kallsyms]     [k] entry_SYSCALL_64_after_hwframe
     0.04%  python3.10  [kernel.kallsyms]     [k] native_read_msr
     0.04%  :2185357    python3.10            [.] _PyEval_EvalFrameDefault
     0.04%  python3.10  [kernel.kallsyms]     [k] irqentry_exit_to_user_mode
     0.04%  python3.10  python3.10            [.] 0x00000000001215a2
     0.03%  python3.10  [kernel.kallsyms]     [k] __get_user_8
     0.03%  python3.10  libc.so.6             [.] __GI___strncasecmp_l_sse2
     0.03%  python3.10  [kernel.kallsyms]     [k] inherit_event.constprop.0
     0.03%  python3.10  libc.so.6             [.] __strcat_ssse3
     0.03%  python3.10  [kernel.kallsyms]     [k] visit_groups_merge.constprop.0.isra.0
     0.03%  python3.10  [kernel.kallsyms]     [k] enqueue_entity
     0.03%  python3.10  [kernel.kallsyms]     [k] __update_load_avg_se
