# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 7K of event 'cycles'
# Event count (approx.): 1576256808
#
# Overhead  Command     Shared Object      Symbol                                   
# ........  ..........  .................  .........................................
#
    16.15%  python3.10  python3.10         [.] _PyEval_EvalFrameDefault
     2.45%  python3.10  python3.10         [.] _PyObject_MakeTpCall
     1.64%  python3.10  [kernel.kallsyms]  [k] merge_sched_in
     1.53%  python3.10  [kernel.kallsyms]  [k] psi_group_change
     1.41%  python3.10  python3.10         [.] PyTraceBack_Here
     1.37%  python3.10  [kernel.kallsyms]  [k] rb_next
     1.30%  python3.10  [kernel.kallsyms]  [k] syscall_exit_to_user_mode
     1.28%  python3.10  [kernel.kallsyms]  [k] perf_event_update_userpage
     1.15%  python3.10  python3.10         [.] _PyObject_GetMethod
     1.12%  python3.10  [kernel.kallsyms]  [k] perf_event_groups_first
     1.02%  python3.10  [kernel.kallsyms]  [k] event_sched_in
     0.92%  python3.10  [kernel.kallsyms]  [k] syscall_return_via_sysret
     0.92%  python3.10  [kernel.kallsyms]  [k] do_sys_poll
     0.82%  python3.10  [kernel.kallsyms]  [k] visit_groups_merge.constprop.0.isra.0
     0.80%  python3.10  [kernel.kallsyms]  [k] sock_poll
     0.78%  python3.10  python3.10         [.] _PyFunction_Vectorcall
     0.76%  python3.10  python3.10         [.] PyType_GenericAlloc
     0.76%  python3.10  [kernel.kallsyms]  [k] __schedule
     0.68%  python3.10  python3.10         [.] PyList_Append
     0.66%  python3.10  [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
     0.61%  python3.10  [kernel.kallsyms]  [k] __fget_files
     0.60%  python3.10  [kernel.kallsyms]  [k] do_poll.constprop.0
     0.54%  python3.10  python3.10         [.] PyLong_FromString
     0.53%  python3.10  [kernel.kallsyms]  [k] timerqueue_add
     0.53%  python3.10  python3.10         [.] _PyUnicode_JoinArray
     0.50%  python3.10  libc.so.6          [.] ____wcstof_l_internal
     0.49%  python3.10  [kernel.kallsyms]  [k] perf_swevent_add
     0.49%  python3.10  libc.so.6          [.] ____wcstold_l_internal
     0.48%  python3.10  libc.so.6          [.] __stpncpy_sse2_unaligned
     0.48%  python3.10  libc.so.6          [.] __vstrfmon_l_internal
     0.48%  python3.10  libc.so.6          [.] __strncpy_sse2_unaligned
     0.46%  python3.10  [kernel.kallsyms]  [k] ctx_sched_in
     0.46%  python3.10  [kernel.kallsyms]  [k] __fget_light
     0.44%  python3.10  python3.10         [.] 0x00000000001d4961
     0.40%  python3.10  [kernel.kallsyms]  [k] restore_fpregs_from_fpstate
     0.37%  python3.10  [kernel.kallsyms]  [k] native_sched_clock
     0.36%  python3.10  [kernel.kallsyms]  [k] ___perf_sw_event
     0.36%  python3.10  python3.10         [.] 0x000000000011e943
     0.36%  python3.10  libc.so.6          [.] 0x00000000001a1104
     0.34%  python3.10  python3.10         [.] 0x00000000002ec2e5
     0.33%  python3.10  [kernel.kallsyms]  [k] schedule_hrtimeout_range_clock
     0.33%  python3.10  [kernel.kallsyms]  [k] __x64_sys_poll
     0.32%  python3.10  python3.10         [.] _PyErr_SetObject
     0.32%  python3.10  python3.10         [.] 0x000000000017c3fc
     0.32%  python3.10  libc.so.6          [.] __GI___strncasecmp_l_sse2
     0.31%  python3.10  [kernel.kallsyms]  [k] update_cfs_group
     0.31%  python3.10  libc.so.6          [.] 0x000000000019d981
     0.31%  python3.10  python3.10         [.] PyObject_GetAttr
     0.31%  python3.10  python3.10         [.] PyDict_Contains
     0.30%  python3.10  [kernel.kallsyms]  [k] __perf_event_task_sched_in
