CS ID,CS PID
2-39-82-384,2298925
2-39-138-566,2298807
2-39-125-559,2298821
2-39-79-376,2298832
2-39-124-22,2298850
2-39-79-383,2298903
2-39-79-382,2298856
2-39-95-27,2298888
2-39-128-18,2298867
2-39-131-565,2298910
2-39-78-365,2298921
2-39-79-377,2298922
2-39-79-380,2298916
2-39-79-381,2298917
2-39-126-560,2298919
2-39-139-28,2298927
2-39-125-21,2299102
2-39-90-26,2298924
2-39-88-438,2298933
2-39-130-31,2298799
2-39-83-386,2298926
2-39-88-24,2298801
2-39-127-19,2299090
2-39-95-444,2298914
2-39-92-442,2298915
2-39-123-23,2298826
2-39-127-561,2298872
2-39-91-437,2298862
2-39-92-436,2299022
2-39-78-360,2298877
2-39-83-387,2298923
2-39-139-567,2298920
2-39-129-563,2299070
2-39-78-361,2298813
2-39-78-367,2298935
2-39-126-20,2298899
2-39-91-441,2298845
2-39-129-17,2298918
2-39-78-364,2298893
2-39-130-564,2299046
2-39-89-25,2298936
2-39-124-558,2298838
2-39-78-362,2298934
2-39-128-562,2299105
2-39-78-366,2299109
2-39-89-439,2299127
2-39-131-30,2299132
2-39-138-29,2299120
2-39-79-379,2299151
2-39-78-363,2299148
2-39-90-440,2299156
2-39-123-557,2299159
2-39-79-378,2299163
