# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 253K of event 'cycles'
# Event count (approx.): 123309724822
#
# Overhead  Command     Shared Object      Symbol                                        
# ........  ..........  .................  ..............................................
#
    49.46%  :2299258    python3.10         [.] _PyEval_EvalFrameDefault
     7.46%  :2299258    python3.10         [.] PyObject_RichCompare
     5.12%  :2299258    python3.10         [.] 0x000000000012161a
     4.25%  :2299258    python3.10         [.] 0x0000000000121590
     2.75%  :2299258    python3.10         [.] 0x0000000000179c52
     1.81%  :2299258    python3.10         [.] 0x00000000001215c4
     1.67%  python3.10  python3.10         [.] _PyEval_EvalFrameDefault
     1.64%  :2299258    python3.10         [.] 0x000000000015b546
     1.31%  :2299258    python3.10         [.] 0x0000000000121605
     1.21%  :2299258    python3.10         [.] 0x0000000000121613
     1.19%  :2299258    python3.10         [.] 0x0000000000179c0e
     0.99%  :2299258    python3.10         [.] 0x000000000012160b
     0.96%  :2299258    python3.10         [.] 0x0000000000121676
     0.78%  :2299258    python3.10         [.] 0x0000000000121623
     0.67%  :2299258    python3.10         [.] 0x000000000012159b
     0.64%  :2299258    python3.10         [.] 0x00000000001215a3
     0.61%  :2299258    python3.10         [.] 0x0000000000121730
     0.57%  :2299258    python3.10         [.] 0x00000000001215ab
     0.54%  :2299258    python3.10         [.] 0x0000000000121737
     0.52%  :2299258    python3.10         [.] 0x0000000000121679
     0.49%  :2299258    python3.10         [.] 0x0000000000121653
     0.44%  :2299258    python3.10         [.] 0x00000000001215f2
     0.40%  :2299258    python3.10         [.] 0x00000000001215dc
     0.38%  :2299258    python3.10         [.] 0x000000000015b506
     0.38%  :2299258    python3.10         [.] 0x0000000000121596
     0.38%  :2299258    python3.10         [.] 0x0000000000121635
     0.37%  :2299258    python3.10         [.] 0x000000000012167d
     0.35%  :2299258    python3.10         [.] 0x000000000012160f
     0.33%  :2299258    python3.10         [.] 0x00000000001215f7
     0.33%  :2299258    python3.10         [.] 0x0000000000121616
     0.32%  :2299258    python3.10         [.] 0x0000000000121628
     0.31%  python3.10  python3.10         [.] 0x000000000012161a
     0.31%  :2299258    python3.10         [.] 0x00000000001215cb
     0.30%  :2299258    python3.10         [.] 0x000000000015b500
     0.30%  :2299258    python3.10         [.] 0x00000000001215e9
     0.30%  :2299258    python3.10         [.] 0x0000000000179be0
     0.29%  :2299258    python3.10         [.] 0x0000000000121638
     0.29%  :2299258    python3.10         [.] 0x000000000012167b
     0.27%  :2299258    python3.10         [.] 0x000000000015b541
     0.27%  :2299258    python3.10         [.] 0x000000000015b537
     0.24%  :2299258    python3.10         [.] 0x0000000000179c4e
     0.24%  :2299258    python3.10         [.] 0x0000000000121600
     0.22%  :2299258    python3.10         [.] 0x0000000000173d50
     0.21%  :2299258    python3.10         [.] 0x0000000000173d58
     0.21%  :2299258    python3.10         [.] 0x0000000000179be6
     0.20%  :2299258    python3.10         [.] 0x0000000000179c13
     0.20%  :2299258    python3.10         [.] 0x0000000000179be8
     0.19%  :2299258    python3.10         [.] 0x0000000000121594
     0.19%  :2299258    python3.10         [.] 0x000000000015b568
     0.18%  :2299258    python3.10         [.] 0x0000000000121660
     0.18%  :2299258    python3.10         [.] 0x0000000000179c02
     0.17%  :2299258    python3.10         [.] 0x0000000000179c5a
     0.17%  :2299258    python3.10         [.] 0x000000000015b56e
     0.17%  :2299258    python3.10         [.] 0x000000000015b557
     0.17%  :2299258    python3.10         [.] 0x000000000012159d
     0.16%  :2299258    python3.10         [.] 0x0000000000121677
     0.16%  :2299258    python3.10         [.] 0x0000000000179c42
     0.16%  :2299258    python3.10         [.] 0x0000000000179c3b
     0.16%  :2299258    python3.10         [.] 0x0000000000179bee
     0.15%  :2299258    python3.10         [.] 0x000000000015b520
     0.15%  :2299258    python3.10         [.] 0x0000000000121740
     0.14%  :2299258    python3.10         [.] 0x00000000001215a7
     0.14%  :2299258    python3.10         [.] 0x00000000001215e5
