# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 228K of event 'cycles'
# Event count (approx.): 111299116382
#
# Overhead  Command     Shared Object         Symbol                                     
# ........  ..........  ....................  ...........................................
#
    48.38%  :2299311    python3.10            [.] _PyEval_EvalFrameDefault
     8.25%  :2299311    python3.10            [.] PyObject_RichCompare
     5.58%  :2299311    python3.10            [.] 0x000000000012161a
     4.67%  :2299311    python3.10            [.] 0x0000000000121590
     3.20%  :2299311    python3.10            [.] 0x0000000000179c52
     2.18%  :2299311    python3.10            [.] 0x00000000001215c4
     1.92%  :2299311    python3.10            [.] 0x000000000015b546
     1.49%  :2299311    python3.10            [.] 0x0000000000121605
     1.39%  :2299311    python3.10            [.] 0x0000000000179c0e
     1.34%  :2299311    python3.10            [.] 0x0000000000121613
     1.21%  python3.10  python3.10            [.] _PyEval_EvalFrameDefault
     1.09%  :2299311    python3.10            [.] 0x000000000012160b
     1.06%  :2299311    python3.10            [.] 0x0000000000121676
     0.77%  :2299311    python3.10            [.] 0x0000000000121623
     0.74%  :2299311    python3.10            [.] 0x000000000012159b
     0.69%  :2299311    python3.10            [.] 0x00000000001215a3
     0.68%  :2299311    python3.10            [.] 0x00000000001215ab
     0.62%  :2299311    python3.10            [.] 0x0000000000121653
     0.60%  :2299311    python3.10            [.] 0x0000000000121730
     0.60%  :2299311    python3.10            [.] 0x0000000000121737
     0.54%  :2299311    python3.10            [.] 0x0000000000121679
     0.46%  :2299311    python3.10            [.] 0x00000000001215dc
     0.44%  :2299311    python3.10            [.] 0x0000000000121635
     0.41%  :2299311    python3.10            [.] 0x000000000012167d
     0.40%  :2299311    python3.10            [.] 0x00000000001215f2
     0.36%  :2299311    python3.10            [.] 0x00000000001215cb
     0.33%  :2299311    python3.10            [.] 0x00000000001215e9
     0.32%  :2299311    python3.10            [.] 0x000000000012167b
     0.32%  :2299311    python3.10            [.] 0x0000000000121628
     0.31%  :2299311    python3.10            [.] 0x000000000012160f
     0.30%  :2299311    python3.10            [.] 0x0000000000121600
     0.28%  :2299311    python3.10            [.] 0x000000000015b541
     0.28%  :2299311    python3.10            [.] 0x0000000000121638
     0.27%  :2299311    python3.10            [.] 0x000000000015b537
