# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 206K of event 'cycles'
# Event count (approx.): 99825844788
#
# Overhead  Command     Shared Object         Symbol                                   
# ........  ..........  ....................  .........................................
#
    50.06%  python3.10  python3.10            [.] _PyEval_EvalFrameDefault
     8.00%  python3.10  python3.10            [.] PyObject_RichCompare
     5.75%  python3.10  python3.10            [.] 0x000000000012161a
     4.68%  python3.10  python3.10            [.] 0x0000000000121590
     3.14%  python3.10  python3.10            [.] 0x0000000000179c52
     2.07%  python3.10  python3.10            [.] 0x00000000001215c4
     1.90%  python3.10  python3.10            [.] 0x000000000015b546
     1.45%  python3.10  python3.10            [.] 0x0000000000121605
     1.37%  python3.10  python3.10            [.] 0x0000000000121613
     1.33%  python3.10  python3.10            [.] 0x0000000000179c0e
     1.15%  python3.10  python3.10            [.] 0x000000000012160b
     1.05%  python3.10  python3.10            [.] 0x0000000000121676
     0.86%  python3.10  python3.10            [.] 0x0000000000121623
     0.68%  python3.10  python3.10            [.] 0x00000000001215a3
     0.67%  python3.10  python3.10            [.] 0x000000000012159b
     0.63%  python3.10  python3.10            [.] 0x0000000000121730
     0.63%  python3.10  python3.10            [.] 0x00000000001215ab
     0.57%  python3.10  python3.10            [.] 0x0000000000121737
     0.55%  python3.10  python3.10            [.] 0x0000000000121653
     0.53%  python3.10  python3.10            [.] 0x0000000000121679
     0.51%  python3.10  python3.10            [.] 0x0000000000121635
     0.49%  python3.10  python3.10            [.] 0x00000000001215dc
     0.41%  python3.10  python3.10            [.] 0x00000000001215f2
     0.41%  python3.10  python3.10            [.] 0x000000000012167d
     0.35%  python3.10  python3.10            [.] 0x0000000000121628
     0.34%  python3.10  python3.10            [.] 0x00000000001215e9
     0.34%  python3.10  python3.10            [.] 0x00000000001215cb
     0.34%  python3.10  python3.10            [.] 0x000000000012160f
     0.31%  python3.10  python3.10            [.] 0x000000000012167b
     0.30%  python3.10  python3.10            [.] 0x0000000000121600
     0.30%  python3.10  python3.10            [.] 0x0000000000121616
     0.29%  python3.10  python3.10            [.] 0x000000000015b537
     0.29%  python3.10  python3.10            [.] 0x0000000000121638
     0.28%  python3.10  python3.10            [.] 0x000000000015b541
     0.27%  python3.10  python3.10            [.] 0x000000000015b506
     0.26%  python3.10  python3.10            [.] 0x00000000001215f7
     0.25%  python3.10  python3.10            [.] 0x0000000000179be0
     0.21%  python3.10  python3.10            [.] 0x0000000000179c13
     0.20%  python3.10  python3.10            [.] 0x0000000000179c4e
     0.19%  python3.10  python3.10            [.] 0x0000000000121660
     0.19%  python3.10  python3.10            [.] 0x0000000000121677
     0.18%  python3.10  python3.10            [.] 0x0000000000179be8
     0.18%  python3.10  python3.10            [.] 0x000000000015b557
     0.18%  python3.10  python3.10            [.] 0x0000000000179c3b
     0.18%  python3.10  python3.10            [.] 0x0000000000179c02
     0.18%  python3.10  python3.10            [.] 0x0000000000121596
     0.18%  python3.10  python3.10            [.] 0x0000000000179bee
     0.18%  python3.10  python3.10            [.] 0x000000000015b56e
     0.18%  python3.10  python3.10            [.] 0x0000000000179c5a
     0.17%  python3.10  python3.10            [.] 0x000000000015b568
