# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 9K of event 'cycles'
# Event count (approx.): 2005521535
#
# Overhead  Command     Shared Object                             Symbol                                   
# ........  ..........  ........................................  .........................................
#
    19.17%  python3.10  python3.10                                [.] _PyEval_EvalFrameDefault
     1.96%  python3.10  python3.10                                [.] _PyObject_MakeTpCall
     1.34%  python3.10  [kernel.kallsyms]                         [k] syscall_exit_to_user_mode
     1.14%  python3.10  python3.10                                [.] _PyObject_GetMethod
     0.96%  python3.10  python3.10                                [.] _PyUnicode_JoinArray
     0.95%  python3.10  [kernel.kallsyms]                         [k] syscall_return_via_sysret
     0.92%  python3.10  libc.so.6                                 [.] ____wcstof_l_internal
     0.90%  python3.10  python3.10                                [.] PyList_Append
     0.84%  python3.10  [kernel.kallsyms]                         [k] merge_sched_in
     0.83%  python3.10  [kernel.kallsyms]                         [k] perf_event_update_userpage
     0.82%  python3.10  [kernel.kallsyms]                         [k] psi_group_change
     0.76%  python3.10  [kernel.kallsyms]                         [k] entry_SYSCALL_64_after_hwframe
     0.71%  python3.10  python3.10                                [.] 0x000000000015effa
     0.68%  python3.10  python3.10                                [.] PyLong_FromString
     0.68%  python3.10  [kernel.kallsyms]                         [k] event_sched_in
     0.68%  python3.10  [kernel.kallsyms]                         [k] visit_groups_merge.constprop.0.isra.0
     0.68%  python3.10  python3.10                                [.] PyTraceBack_Here
     0.68%  python3.10  python3.10                                [.] 0x000000000015b546
     0.63%  python3.10  python3.10                                [.] 0x00000000001732ee
     0.59%  python3.10  python3.10                                [.] 0x000000000017c3fc
     0.59%  python3.10  [kernel.kallsyms]                         [k] rb_next
     0.58%  python3.10  [kernel.kallsyms]                         [k] perf_event_groups_first
     0.53%  python3.10  [kernel.kallsyms]                         [k] perf_swevent_add
     0.53%  python3.10  python3.10                                [.] 0x00000000001d4961
     0.49%  python3.10  libc.so.6                                 [.] __strncpy_sse2_unaligned
     0.42%  python3.10  [kernel.kallsyms]                         [k] __fget_files
     0.41%  python3.10  python3.10                                [.] PyDict_Contains
     0.40%  python3.10  [kernel.kallsyms]                         [k] do_poll.constprop.0
     0.39%  python3.10  [kernel.kallsyms]                         [k] native_sched_clock
     0.37%  python3.10  python3.10                                [.] 0x00000000001740bb
     0.36%  python3.10  python3.10                                [.] 0x0000000000174090
     0.36%  python3.10  python3.10                                [.] 0x0000000000137b1b
     0.34%  python3.10  python3.10                                [.] 0x0000000000188dd7
     0.31%  python3.10  [kernel.kallsyms]                         [k] restore_fpregs_from_fpstate
     0.31%  python3.10  python3.10                                [.] 0x000000000018d155
     0.31%  python3.10  libc.so.6                                 [.] __netlink_request
     0.31%  python3.10  [kernel.kallsyms]                         [k] __perf_event_task_sched_in
     0.31%  python3.10  python3.10                                [.] _PyObject_LookupSpecial
     0.31%  python3.10  python3.10                                [.] _PyObject_GenericGetAttrWithDict
     0.30%  python3.10  python3.10                                [.] 0x00000000001795d6
     0.29%  python3.10  python3.10                                [.] 0x000000000017f87a
     0.29%  python3.10  [kernel.kallsyms]                         [k] ctx_sched_in
     0.29%  python3.10  libc.so.6                                 [.] __vstrfmon_l_internal
     0.28%  python3.10  python3.10                                [.] 0x000000000015efdc
     0.28%  python3.10  [kernel.kallsyms]                         [k] iterate_groups
     0.28%  python3.10  [kernel.kallsyms]                         [k] sock_poll
     0.27%  python3.10  libc.so.6                                 [.] __strncat_sse2_unaligned
     0.27%  python3.10  [kernel.kallsyms]                         [k] do_syscall_64
     0.26%  python3.10  [kernel.kallsyms]                         [k] do_sys_poll
     0.26%  python3.10  python3.10                                [.] _PyUnicode_InsertThousandsGrouping
     0.26%  python3.10  python3.10                                [.] PyType_GenericAlloc
     0.25%  python3.10  python3.10                                [.] 0x00000000001d495d
     0.25%  python3.10  python3.10                                [.] 0x000000000015f000
     0.25%  python3.10  libc.so.6                                 [.] parse_qtd_backslash
     0.24%  python3.10  python3.10                                [.] 0x00000000001b640a
     0.24%  python3.10  python3.10                                [.] 0x0000000000127f5d
     0.24%  python3.10  python3.10                                [.] PyObject_GetAttr
     0.24%  python3.10  libc.so.6                                 [.] ____wcstold_l_internal
     0.24%  python3.10  [kernel.kallsyms]                         [k] timerqueue_add
     0.23%  python3.10  python3.10                                [.] 0x00000000001732de
     0.23%  python3.10  python3.10                                [.] 0x0000000000137b95
     0.23%  python3.10  python3.10                                [.] 0x000000000015ef86
     0.23%  python3.10  [kernel.kallsyms]                         [k] __update_load_avg_se
     0.22%  python3.10  [kernel.kallsyms]                         [k] __get_user_8
     0.22%  python3.10  [kernel.kallsyms]                         [k] update_load_avg
     0.21%  python3.10  python3.10                                [.] 0x000000000020bf65
     0.21%  python3.10  python3.10                                [.] _PyUnicode_FromASCII
     0.21%  python3.10  python3.10                                [.] 0x000000000018d589
     0.21%  python3.10  [kernel.kallsyms]                         [k] arch_perf_update_userpage
     0.21%  python3.10  [kernel.kallsyms]                         [k] perf_log_itrace_start
     0.21%  python3.10  libc.so.6                                 [.] __GI___strncasecmp_l_sse2
     0.21%  python3.10  python3.10                                [.] _PyFunction_Vectorcall
     0.21%  python3.10  libc.so.6                                 [.] parse_expression
     0.21%  python3.10  python3.10                                [.] 0x000000000015b537
     0.20%  python3.10  [kernel.kallsyms]                         [k] pick_next_entity
     0.20%  python3.10  libc.so.6                                 [.] __stpncpy_sse2_unaligned
     0.20%  python3.10  python3.10                                [.] _PyErr_SetObject
     0.20%  python3.10  python3.10                                [.] 0x0000000000152260
     0.19%  python3.10  python3.10                                [.] 0x00000000001d4955
     0.19%  python3.10  [kernel.kallsyms]                         [k] __fget_light
     0.19%  python3.10  libc.so.6                                 [.] re_compile_internal
     0.18%  python3.10  [kernel.kallsyms]                         [k] _raw_spin_lock
     0.18%  python3.10  libc.so.6                                 [.] 0x000000000019d981
     0.18%  python3.10  [kernel.kallsyms]                         [k] read_tsc
     0.18%  python3.10  python3.10                                [.] 0x000000000015b506
     0.18%  python3.10  [kernel.kallsyms]                         [k] update_curr
     0.18%  python3.10  libc.so.6                                 [.] 0x00000000001a0940
     0.18%  python3.10  python3.10                                [.] 0x000000000020bec2
     0.18%  python3.10  [kernel.kallsyms]                         [k] schedule
     0.18%  python3.10  [kernel.kallsyms]                         [k] ip_finish_output2
     0.18%  python3.10  [kernel.kallsyms]                         [k] psi_task_switch
     0.18%  python3.10  [kernel.kallsyms]                         [k] perf_event_context_sched_out
     0.18%  python3.10  python3.10                                [.] _PyUnicodeWriter_PrepareInternal
     0.18%  python3.10  python3.10                                [.] 0x00000000001228f6
     0.17%  python3.10  [kernel.kallsyms]                         [k] __x64_sys_poll
     0.17%  python3.10  [kernel.kallsyms]                         [k] __calc_delta
     0.17%  python3.10  python3.10                                [.] 0x000000000020beee
     0.17%  python3.10  [kernel.kallsyms]                         [k] native_write_msr
     0.17%  python3.10  python3.10                                [.] 0x00000000001598cd
     0.17%  python3.10  python3.10                                [.] 0x00000000000b63fb
     0.17%  python3.10  libc.so.6                                 [.] setsourcefilter
     0.17%  python3.10  [kernel.kallsyms]                         [k] tcp_clean_rtx_queue.constprop.0
     0.17%  python3.10  python3.10                                [.] 0x0000000000121590
     0.16%  python3.10  python3.10                                [.] _PyDict_GetItemIdWithError
     0.16%  python3.10  python3.10                                [.] 0x0000000000243806
     0.16%  python3.10  python3.10                                [.] 0x0000000000127f54
