# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 18K of event 'cycles'
# Event count (approx.): 7929876812
#
# Overhead  Command     Shared Object         Symbol                                     
# ........  ..........  ....................  ...........................................
#
    44.61%  python3.10  python3.10            [.] _PyEval_EvalFrameDefault
    21.31%  :2311079    python3.10            [.] _PyEval_EvalFrameDefault
     2.75%  :2311079    python3.10            [.] PyObject_RichCompare
     2.16%  :2311079    python3.10            [.] 0x000000000012161a
     1.79%  python3.10  python3.10            [.] 0x000000000012161a
     1.30%  :2311079    python3.10            [.] 0x0000000000121590
     1.05%  python3.10  python3.10            [.] 0x00000000001215c4
     1.04%  :2311079    python3.10            [.] 0x0000000000179c52
     0.94%  python3.10  python3.10            [.] 0x0000000000121590
     0.81%  python3.10  python3.10            [.] 0x0000000000121605
     0.58%  :2311079    python3.10            [.] 0x0000000000179c4e
     0.56%  :2311079    python3.10            [.] 0x0000000000121613
     0.55%  python3.10  python3.10            [.] 0x0000000000121613
     0.54%  :2311079    python3.10            [.] 0x00000000001215c4
     0.48%  :2311345    python3.10            [.] _PyEval_EvalFrameDefault
     0.46%  :2311079    python3.10            [.] 0x000000000015b546
     0.41%  :2311079    python3.10            [.] 0x0000000000121676
     0.41%  python3.10  python3.10            [.] 0x00000000001215f2
     0.40%  python3.10  python3.10            [.] 0x0000000000121737
     0.39%  python3.10  python3.10            [.] 0x0000000000121730
     0.38%  :2311306    python3.10            [.] _PyEval_EvalFrameDefault
     0.38%  :2311079    python3.10            [.] 0x0000000000121737
     0.36%  :2311079    python3.10            [.] 0x0000000000121734
     0.32%  :2311079    python3.10            [.] 0x0000000000121730
     0.32%  :2311079    python3.10            [.] 0x00000000001215ab
     0.31%  python3.10  python3.10            [.] 0x000000000012167d
     0.30%  python3.10  python3.10            [.] 0x0000000000121676
     0.30%  python3.10  python3.10            [.] 0x00000000001215dc
     0.30%  python3.10  python3.10            [.] 0x00000000001215ab
     0.29%  python3.10  python3.10            [.] 0x000000000012159b
     0.28%  :2311079    python3.10            [.] 0x0000000000121605
     0.28%  python3.10  python3.10            [.] 0x000000000012160b
     0.28%  :2311079    python3.10            [.] 0x0000000000121653
     0.28%  :2311079    python3.10            [.] 0x000000000012159b
     0.27%  :2311079    python3.10            [.] 0x0000000000121679
     0.25%  :2311079    python3.10            [.] 0x000000000012160b
     0.24%  python3.10  python3.10            [.] 0x00000000001215a3
     0.24%  :2311250    python3.10            [.] _PyEval_EvalFrameDefault
     0.24%  python3.10  python3.10            [.] 0x00000000001215cb
     0.23%  :2311079    python3.10            [.] 0x0000000000121596
     0.23%  :2311079    python3.10            [.] 0x00000000001215f2
     0.22%  :2311079    python3.10            [.] 0x000000000015b54f
     0.22%  :2311079    python3.10            [.] 0x0000000000121623
     0.20%  :2311079    python3.10            [.] 0x000000000012167d
     0.19%  python3.10  python3.10            [.] 0x00000000001215f7
     0.19%  :2311079    python3.10            [.] 0x000000000015b537
     0.18%  :2311079    python3.10            [.] 0x00000000001215a3
     0.18%  :2311271    python3.10            [.] _PyEval_EvalFrameDefault
     0.17%  python3.10  python3.10            [.] 0x0000000000121679
     0.17%  python3.10  python3.10            [.] 0x0000000000121596
     0.17%  python3.10  python3.10            [.] 0x0000000000121600
     0.17%  :2311079    python3.10            [.] 0x0000000000179c46
     0.16%  :2311079    python3.10            [.] 0x00000000001215dc
     0.16%  :2311079    python3.10            [.] 0x00000000001215cb
     0.16%  :2311079    python3.10            [.] 0x000000000015b541
     0.15%  python3.10  python3.10            [.] 0x00000000001215a7
     0.13%  :2311079    python3.10            [.] 0x00000000001215f7
     0.13%  :2311079    python3.10            [.] 0x000000000015b568
     0.13%  :2311079    python3.10            [.] 0x0000000000121667
     0.12%  :2311079    python3.10            [.] 0x000000000015b506
     0.11%  python3.10  python3.10            [.] 0x00000000001215e2
     0.11%  :2311079    python3.10            [.] 0x0000000000179c42
     0.11%  python3.10  python3.10            [.] 0x00000000001215e9
     0.11%  :2311079    python3.10            [.] 0x000000000015b55b
     0.11%  :2311079    python3.10            [.] 0x0000000000179c5a
     0.11%  :2311079    python3.10            [.] 0x00000000001215e9
     0.10%  :2311079    python3.10            [.] 0x0000000000179c0e
     0.10%  :2311079    python3.10            [.] 0x000000000015b56e
     0.10%  :2311079    python3.10            [.] 0x0000000000121660
     0.10%  :2311079    python3.10            [.] 0x000000000015b520
     0.10%  :2311079    python3.10            [.] 0x0000000000121616
     0.09%  :2311079    python3.10            [.] 0x000000000012160f
     0.09%  python3.10  python3.10            [.] 0x00000000001215bc
     0.09%  python3.10  python3.10            [.] 0x000000000012160f
     0.09%  :2311079    python3.10            [.] 0x0000000000173d50
     0.09%  :2311079    python3.10            [.] 0x0000000000179be6
     0.09%  :2311079    python3.10            [.] 0x0000000000179be4
     0.08%  :2311079    python3.10            [.] 0x0000000000121677
     0.08%  python3.10  python3.10            [.] 0x0000000000121677
     0.08%  :2311079    python3.10            [.] 0x000000000012167b
     0.08%  :2311079    python3.10            [.] 0x0000000000179be0
     0.08%  :2311079    python3.10            [.] 0x000000000015b50e
     0.08%  :2311079    python3.10            [.] 0x0000000000173d58
     0.08%  python3.10  python3.10            [.] 0x00000000001215a0
     0.08%  :2311079    python3.10            [.] 0x0000000000121600
     0.07%  :2311079    python3.10            [.] 0x0000000000121628
     0.07%  :2311079    python3.10            [.] 0x0000000000179c02
     0.07%  :2311079    python3.10            [.] 0x0000000000179be8
     0.07%  :2311079    python3.10            [.] 0x000000000015b500
     0.07%  :2311079    python3.10            [.] 0x00000000001215a7
     0.07%  python3.10  python3.10            [.] 0x000000000012167b
     0.07%  :2311079    python3.10            [.] 0x0000000000179c3b
     0.07%  :2311079    python3.10            [.] 0x000000000015b55d
     0.07%  :2311079    python3.10            [.] 0x000000000012159d
     0.06%  python3.10  python3.10            [.] 0x00000000001215e5
     0.06%  python3.10  [kernel.kallsyms]     [k] zap_pte_range
     0.06%  :2311079    python3.10            [.] 0x0000000000121635
     0.06%  python3.10  python3.10            [.] 0x000000000012167f
     0.06%  python3.10  python3.10            [.] 0x00000000001215d8
     0.06%  :2311079    python3.10            [.] 0x0000000000121594
     0.05%  :2311079    python3.10            [.] 0x0000000000121740
     0.05%  :2311079    python3.10            [.] 0x00000000001215bc
     0.05%  :2311079    python3.10            [.] 0x000000000015b557
     0.05%  :2311079    python3.10            [.] 0x0000000000121599
