# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 12K of event 'cycles'
# Event count (approx.): 4650999646
#
# Overhead  Command     Shared Object      Symbol                                      
# ........  ..........  .................  ............................................
#
    76.22%  python3.10  python3.10         [.] _PyEval_EvalFrameDefault
     2.76%  python3.10  python3.10         [.] 0x000000000012161a
     1.42%  python3.10  python3.10         [.] 0x00000000001215c4
     1.38%  python3.10  python3.10         [.] 0x0000000000121590
     1.27%  python3.10  python3.10         [.] 0x0000000000121605
     0.82%  python3.10  python3.10         [.] 0x0000000000121676
     0.76%  python3.10  python3.10         [.] 0x0000000000121613
     0.74%  python3.10  python3.10         [.] 0x0000000000121737
     0.63%  :2312497    python3.10         [.] _PyEval_EvalFrameDefault
     0.54%  :2312463    python3.10         [.] _PyEval_EvalFrameDefault
     0.53%  python3.10  python3.10         [.] 0x0000000000121730
     0.48%  python3.10  python3.10         [.] 0x000000000012159b
     0.48%  python3.10  python3.10         [.] 0x00000000001215dc
     0.48%  python3.10  python3.10         [.] 0x00000000001215a3
     0.47%  python3.10  python3.10         [.] 0x0000000000121596
     0.46%  python3.10  python3.10         [.] 0x00000000001215f7
     0.46%  python3.10  python3.10         [.] 0x000000000012160b
     0.44%  python3.10  python3.10         [.] 0x00000000001215ab
     0.43%  python3.10  python3.10         [.] 0x00000000001215f2
     0.42%  :2312584    python3.10         [.] _PyEval_EvalFrameDefault
     0.42%  python3.10  python3.10         [.] 0x000000000012167d
     0.39%  :2312544    python3.10         [.] _PyEval_EvalFrameDefault
     0.37%  :2312335    python3.10         [.] _PyEval_EvalFrameDefault
     0.35%  :2312603    python3.10         [.] _PyEval_EvalFrameDefault
     0.35%  python3.10  python3.10         [.] 0x00000000001215cb
     0.32%  python3.10  python3.10         [.] 0x00000000001215e9
     0.29%  python3.10  python3.10         [.] 0x0000000000121679
     0.25%  python3.10  python3.10         [.] 0x00000000001215a7
     0.20%  python3.10  python3.10         [.] 0x0000000000121600
     0.18%  python3.10  python3.10         [.] 0x00000000001215e2
     0.18%  python3.10  python3.10         [.] 0x000000000012159d
     0.17%  python3.10  python3.10         [.] 0x000000000012167f
     0.16%  python3.10  python3.10         [.] 0x00000000001215bc
     0.15%  python3.10  python3.10         [.] 0x00000000001215e5
     0.15%  python3.10  python3.10         [.] 0x0000000000121616
     0.13%  python3.10  python3.10         [.] 0x00000000001215a2
     0.13%  :2312626    python3.10         [.] _PyEval_EvalFrameDefault
     0.12%  python3.10  python3.10         [.] 0x0000000000121677
     0.12%  python3.10  python3.10         [.] 0x000000000012167b
     0.11%  python3.10  python3.10         [.] 0x00000000001215d8
     0.11%  python3.10  python3.10         [.] 0x00000000001215a0
     0.09%  python3.10  [kernel.kallsyms]  [k] psi_group_change
     0.08%  python3.10  python3.10         [.] 0x000000000012166e
     0.08%  python3.10  [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
     0.07%  python3.10  [kernel.kallsyms]  [k] try_to_wake_up
     0.07%  python3.10  [kernel.kallsyms]  [k] merge_sched_in
     0.06%  python3.10  [kernel.kallsyms]  [k] zap_pte_range
     0.06%  python3.10  [kernel.kallsyms]  [k] perf_event_alloc
     0.05%  python3.10  [kernel.kallsyms]  [k] kfree
     0.05%  python3.10  [kernel.kallsyms]  [k] syscall_return_via_sysret
     0.05%  python3.10  [kernel.kallsyms]  [k] update_curr
     0.05%  :2312394    python3.10         [.] _PyEval_EvalFrameDefault
     0.05%  python3.10  python3.10         [.] 0x0000000000121599
     0.04%  python3.10  [kernel.kallsyms]  [k] native_write_msr_safe
     0.04%  :2312497    python3.10         [.] 0x000000000012161a
     0.04%  :2312335    python3.10         [.] 0x0000000000121590
     0.04%  :2312497    python3.10         [.] 0x00000000001215c4
     0.04%  python3.10  [kernel.kallsyms]  [k] perf_event_update_time
     0.04%  python3.10  [kernel.kallsyms]  [k] irqentry_exit_to_user_mode
     0.04%  python3.10  libc.so.6          [.] ____wcstold_l_internal
     0.04%  :2312335    python3.10         [.] 0x0000000000121605
     0.04%  python3.10  [kernel.kallsyms]  [k] kmem_cache_alloc_node_trace
     0.04%  python3.10  [kernel.kallsyms]  [k] __schedule
     0.03%  python3.10  [kernel.kallsyms]  [k] native_queued_spin_lock_slowpath.part.0
     0.03%  python3.10  [kernel.kallsyms]  [k] exit_to_user_mode_loop
     0.03%  python3.10  [kernel.kallsyms]  [k] syscall_exit_to_user_mode
     0.03%  python3.10  python3.10         [.] 0x00000000001215c8
     0.03%  python3.10  [kernel.kallsyms]  [k] enqueue_task_fair
     0.03%  python3.10  python3.10         [.] 0x0000000000121594
     0.03%  python3.10  [kernel.kallsyms]  [k] iterate_groups
     0.03%  python3.10  python3.10         [.] 0x000000000012160f
     0.03%  python3.10  [kernel.kallsyms]  [k] perf_event_update_userpage
     0.03%  python3.10  python3.10         [.] _PyObject_GenericSetAttrWithDict
     0.03%  python3.10  python3.10         [.] 0x000000000015f004
     0.03%  :2312463    python3.10         [.] 0x0000000000121596
     0.03%  :2312463    python3.10         [.] 0x0000000000121616
     0.03%  python3.10  [kernel.kallsyms]  [k] perf_log_itrace_start
     0.03%  python3.10  [kernel.kallsyms]  [k] update_load_avg
     0.03%  python3.10  python3.10         [.] 0x00000000001215b2
     0.03%  :2312584    python3.10         [.] 0x0000000000121730
     0.03%  python3.10  python3.10         [.] 0x00000000001215df
     0.02%  :2312626    python3.10         [.] 0x00000000001215c4
     0.02%  python3.10  [kernel.kallsyms]  [k] __get_user_8
     0.02%  python3.10  python3.10         [.] 0x0000000000121734
     0.02%  python3.10  [kernel.kallsyms]  [k] __update_load_avg_se
     0.02%  python3.10  [kernel.kallsyms]  [k] native_read_msr
     0.02%  python3.10  python3.10         [.] _PyObject_GenericGetAttrWithDict
     0.02%  python3.10  [kernel.kallsyms]  [k] event_sched_in
     0.02%  python3.10  [kernel.kallsyms]  [k] update_min_vruntime
     0.02%  python3.10  [kernel.kallsyms]  [k] perf_event_context_sched_out
     0.02%  python3.10  [kernel.kallsyms]  [k] select_idle_sibling
     0.02%  python3.10  python3.10         [.] 0x00000000001215c0
     0.02%  python3.10  [kernel.kallsyms]  [k] __calc_delta
     0.02%  python3.10  [kernel.kallsyms]  [k] futex_wait
     0.02%  python3.10  [kernel.kallsyms]  [k] psi_task_change
     0.02%  python3.10  [kernel.kallsyms]  [k] x86_pmu_enable
     0.02%  python3.10  [kernel.kallsyms]  [k] futex_wake
     0.02%  python3.10  python3.10         [.] 0x000000000012161d
     0.02%  python3.10  [kernel.kallsyms]  [k] _raw_spin_lock_irqsave
     0.02%  :2312626    python3.10         [.] 0x00000000001215bc
     0.02%  python3.10  [kernel.kallsyms]  [k] put_prev_entity
     0.02%  python3.10  [kernel.kallsyms]  [k] native_apic_msr_eoi_write
     0.02%  python3.10  [kernel.kallsyms]  [k] perf_swevent_add
     0.02%  python3.10  libc.so.6          [.] parse_qtd_backslash
     0.02%  python3.10  python3.10         [.] 0x00000000001795ed
     0.02%  python3.10  libc.so.6          [.] __strcat_ssse3
     0.02%  python3.10  [kernel.kallsyms]  [k] cgroup_post_fork
     0.02%  python3.10  [kernel.kallsyms]  [k] perf_pmu_nop_void
     0.02%  python3.10  [kernel.kallsyms]  [k] _raw_spin_lock
     0.02%  python3.10  [kernel.kallsyms]  [k] mem_cgroup_charge_statistics.constprop.0
     0.02%  python3.10  [kernel.kallsyms]  [k] perf_init_event
     0.02%  python3.10  libc.so.6          [.] __strncat_ssse3
     0.02%  python3.10  libc.so.6          [.] __GI___strncasecmp_l_sse2
     0.02%  python3.10  [kernel.kallsyms]  [k] __irqentry_text_end
     0.02%  python3.10  [kernel.kallsyms]  [k] memcg_slab_free_hook
     0.02%  python3.10  [kernel.kallsyms]  [k] __rseq_handle_notify_resume
     0.02%  python3.10  [kernel.kallsyms]  [k] __srcu_read_lock
     0.02%  python3.10  [kernel.kallsyms]  [k] mutex_unlock
     0.02%  python3.10  [kernel.kallsyms]  [k] perf_iterate_ctx
     0.02%  python3.10  python3.10         [.] PyArg_UnpackTuple
     0.02%  python3.10  python3.10         [.] PyUnicode_Format
     0.02%  python3.10  python3.10         [.] 0x000000000011eb17
     0.02%  python3.10  python3.10         [.] 0x00000000001566e8
     0.02%  python3.10  python3.10         [.] 0x000000000015bb8c
     0.02%  python3.10  python3.10         [.] 0x000000000017cba0
     0.02%  python3.10  [kernel.kallsyms]  [k] set_next_entity
     0.02%  python3.10  python3.10         [.] 0x00000000001d495d
     0.02%  python3.10  [kernel.kallsyms]  [k] inherit_task_group.isra.0
     0.02%  python3.10  python3.10         [.] 0x0000000000152321
     0.01%  python3.10  [kernel.kallsyms]  [k] slab_free_freelist_hook.constprop.0
     0.01%  python3.10  python3.10         [.] 0x000000000015ef70
     0.01%  python3.10  [kernel.kallsyms]  [k] rb_next
     0.01%  :2312497    python3.10         [.] 0x0000000000121613
     0.01%  python3.10  python3.10         [.] 0x000000000021b6d7
     0.01%  python3.10  [kernel.kallsyms]  [k] alloc_thread_stack_node
     0.01%  python3.10  [kernel.kallsyms]  [k] memset_erms
     0.01%  python3.10  [kernel.kallsyms]  [k] put_page
     0.01%  python3.10  python3.10         [.] 0x0000000000143445
     0.01%  python3.10  [kernel.kallsyms]  [k] ctx_sched_in
     0.01%  python3.10  libc.so.6          [.] ____wcstof_l_internal
     0.01%  :2312497    python3.10         [.] 0x0000000000121730
     0.01%  python3.10  [kernel.kallsyms]  [k] memcpy_erms
     0.01%  python3.10  [kernel.kallsyms]  [k] rcu_all_qs
     0.01%  python3.10  python3.10         [.] PyUnicode_FromFormatV
     0.01%  python3.10  python3.10         [.] 0x000000000012d146
     0.01%  :2312463    python3.10         [.] 0x00000000001215e9
     0.01%  :2312463    python3.10         [.] 0x0000000000121730
     0.01%  :2312335    python3.10         [.] 0x000000000012159b
     0.01%  :2312335    python3.10         [.] 0x0000000000121596
     0.01%  :2312335    python3.10         [.] 0x000000000012167f
     0.01%  :2312335    python3.10         [.] 0x0000000000121600
     0.01%  python3.10  libcrypto.so.3     [.] 0x0000000000307464
     0.01%  python3.10  python3.10         [.] 0x0000000000189080
     0.01%  :2312584    python3.10         [.] 0x00000000001215f7
     0.01%  python3.10  [kernel.kallsyms]  [k] exit_creds
     0.01%  python3.10  python3.10         [.] 0x0000000000122820
     0.01%  python3.10  python3.10         [.] 0x000000000015b15c
     0.01%  python3.10  python3.10         [.] 0x00000000001215ed
     0.01%  :2312584    python3.10         [.] 0x00000000001215cb
     0.01%  :2312335    python3.10         [.] 0x00000000001215a3
     0.01%  python3.10  [kernel.kallsyms]  [k] task_active_pid_ns
     0.01%  python3.10  [kernel.kallsyms]  [k] do_syscall_64
     0.01%  python3.10  [kernel.kallsyms]  [k] intel_pmu_event_map
     0.01%  python3.10  [kernel.kallsyms]  [k] ktime_get_update_offsets_now
     0.01%  :2312584    [kernel.kallsyms]  [k] ctx_sched_in
     0.01%  :2312544    libc.so.6          [.] __GI___strncasecmp_l_sse2
     0.01%  python3.10  [kernel.kallsyms]  [k] native_sched_clock
     0.01%  python3.10  [kernel.kallsyms]  [k] kmem_cache_free
     0.01%  python3.10  python3.10         [.] PyLong_FromUnsignedLong
     0.01%  python3.10  python3.10         [.] PyObject_IsTrue
     0.01%  python3.10  python3.10         [.] 0x000000000012d084
     0.01%  python3.10  python3.10         [.] 0x0000000000152293
     0.01%  python3.10  python3.10         [.] 0x00000000001641c6
     0.01%  :2312335    [kernel.kallsyms]  [k] perf_mux_hrtimer_handler
     0.01%  :2312603    python3.10         [.] 0x00000000001215f2
     0.01%  :2312335    python3.10         [.] 0x0000000000121737
     0.01%  :2312463    python3.10         [.] 0x000000000012159b
     0.01%  python3.10  [kernel.kallsyms]  [k] hrtimer_start_range_ns
     0.01%  python3.10  [kernel.kallsyms]  [k] rcu_read_unlock_strict
     0.01%  python3.10  python3.10         [.] 0x0000000000206c7a
     0.01%  python3.10  [kernel.kallsyms]  [k] p4d_offset
     0.01%  :2312626    python3.10         [.] 0x0000000000121605
     0.01%  python3.10  python3.10         [.] 0x000000000020bf65
     0.01%  python3.10  [kernel.kallsyms]  [k] save_fpregs_to_fpstate
     0.01%  python3.10  [kernel.kallsyms]  [k] __hrtimer_next_event_base
     0.01%  python3.10  [kernel.kallsyms]  [k] task_clock_event_add
     0.01%  python3.10  python3.10         [.] 0x000000000015b546
     0.01%  :2312335    python3.10         [.] 0x000000000012161a
     0.01%  python3.10  [kernel.kallsyms]  [k] perf_mux_hrtimer_handler
     0.01%  :2312603    python3.10         [.] 0x0000000000121613
     0.01%  python3.10  [kernel.kallsyms]  [k] sysvec_apic_timer_interrupt
     0.01%  :2312626    python3.10         [.] 0x0000000000121737
     0.01%  :2312584    python3.10         [.] 0x00000000001215ab
     0.01%  :2312626    python3.10         [.] 0x000000000012161a
     0.01%  python3.10  [kernel.kallsyms]  [k] switch_fpu_return
     0.01%  python3.10  [kernel.kallsyms]  [k] perf_event_groups_first
     0.01%  python3.10  [kernel.kallsyms]  [k] inherit_event.constprop.0
     0.01%  python3.10  [kernel.kallsyms]  [k] perf_event_init_context
     0.01%  python3.10  python3.10         [.] 0x000000000011b4c6
     0.01%  :2312463    [kernel.kallsyms]  [k] __sysvec_apic_timer_interrupt
     0.01%  python3.10  [kernel.kallsyms]  [k] sched_slice
     0.01%  :2312544    python3.10         [.] 0x000000000012160b
     0.01%  python3.10  [kernel.kallsyms]  [k] idle_cpu
     0.01%  python3.10  python3.10         [.] 0x0000000000127f5d
     0.01%  python3.10  [kernel.kallsyms]  [k] update_cfs_group
     0.01%  python3.10  [kernel.kallsyms]  [k] __update_load_avg_cfs_rq
     0.01%  :2312544    python3.10         [.] 0x0000000000121605
     0.01%  python3.10  python3.10         [.] _PyObject_GetMethod
     0.01%  python3.10  [kernel.kallsyms]  [k] task_tick_fair
     0.01%  :2312584    python3.10         [.] 0x0000000000121737
     0.01%  python3.10  [kernel.kallsyms]  [k] unmap_page_range
     0.01%  python3.10  [kernel.kallsyms]  [k] __hrtimer_run_queues
     0.01%  python3.10  python3.10         [.] 0x000000000015ffe6
     0.01%  python3.10  [kernel.kallsyms]  [k] migrate_task_rq_fair
     0.01%  python3.10  python3.10         [.] 0x0000000000121672
     0.01%  python3.10  python3.10         [.] 0x0000000000179e0a
     0.01%  python3.10  [kernel.kallsyms]  [k] __mod_memcg_lruvec_state
     0.01%  python3.10  [kernel.kallsyms]  [k] smp_call_function_many_cond
     0.01%  python3.10  python3.10         [.] 0x0000000000188e69
     0.01%  python3.10  [kernel.kallsyms]  [k] hrtimer_interrupt
     0.01%  python3.10  [kernel.kallsyms]  [k] pmd_pfn
     0.01%  python3.10  [kernel.kallsyms]  [k] scheduler_tick
     0.01%  python3.10  python3.10         [.] 0x0000000000178180
     0.01%  python3.10  [kernel.kallsyms]  [k] perf_adjust_freq_unthr_context
     0.01%  :2312626    python3.10         [.] 0x00000000001215f7
     0.01%  python3.10  [kernel.kallsyms]  [k] native_flush_tlb_one_user
     0.01%  python3.10  [kernel.kallsyms]  [k] lapic_next_deadline
     0.01%  :2312584    python3.10         [.] 0x00000000001215c4
     0.01%  python3.10  python3.10         [.] _PyObject_MakeTpCall
     0.01%  python3.10  libc.so.6          [.] __strncpy_sse2_unaligned
     0.01%  python3.10  [kernel.kallsyms]  [k] tcp_delack_timer_handler
     0.01%  python3.10  [kernel.kallsyms]  [k] __perf_event_task_sched_out
     0.01%  python3.10  [kernel.kallsyms]  [k] __memcg_kmem_uncharge_page
     0.01%  python3.10  [kernel.kallsyms]  [k] gup_pte_range
     0.01%  :2312394    python3.10         [.] 0x0000000000121590
     0.01%  python3.10  [kernel.kallsyms]  [k] __mod_lruvec_state
     0.01%  python3.10  [kernel.kallsyms]  [k] dequeue_task_fair
     0.01%  python3.10  [kernel.kallsyms]  [k] dequeue_entity
     0.01%  :2312584    python3.10         [.] 0x00000000001215e5
     0.01%  python3.10  [kernel.kallsyms]  [k] native_load_gs_index
     0.01%  python3.10  [kernel.kallsyms]  [k] tick_sched_timer
     0.01%  python3.10  [kernel.kallsyms]  [k] __sysvec_thermal
     0.01%  python3.10  python3.10         [.] 0x000000000012b0f8
     0.01%  python3.10  [kernel.kallsyms]  [k] asm_sysvec_thermal
     0.01%  python3.10  python3.10         [.] 0x000000000018d22d
     0.01%  :2312497    python3.10         [.] 0x00000000001215a0
     0.01%  python3.10  libcrypto.so.3     [.] EVP_MD_free
     0.01%  python3.10  [kernel.kallsyms]  [k] invoke_rcu_core
     0.01%  python3.10  python3.10         [.] 0x0000000000122901
     0.01%  python3.10  python3.10         [.] 0x0000000000152275
     0.01%  python3.10  python3.10         [.] 0x0000000000166d99
     0.01%  python3.10  python3.10         [.] 0x000000000016ab55
     0.01%  :2312463    python3.10         [.] 0x0000000000121590
     0.01%  python3.10  [kernel.kallsyms]  [k] acct_collect
     0.01%  python3.10  [kernel.kallsyms]  [k] perf_swevent_event
     0.01%  python3.10  libc.so.6          [.] 0x00000000001a0951
     0.01%  :2312584    python3.10         [.] 0x000000000012161a
     0.00%  python3.10  python3.10         [.] PyList_Append
     0.00%  :2312394    [kernel.kallsyms]  [k] syscall_exit_to_user_mode
     0.00%  python3.10  [kernel.kallsyms]  [k] __intel_pmu_enable_all.constprop.0
     0.00%  python3.10  libc.so.6          [.] _nss_dns_gethostbyaddr2_r
     0.00%  python3.10  [kernel.kallsyms]  [k] free_pcp_prepare
     0.00%  :2312497    [kernel.kallsyms]  [k] error_entry
     0.00%  python3.10  [kernel.kallsyms]  [k] check_preempt_wakeup
     0.00%  python3.10  [kernel.kallsyms]  [k] psi_task_switch
     0.00%  python3.10  python3.10         [.] _PyThreadState_DeleteCurrent
     0.00%  python3.10  [kernel.kallsyms]  [k] rcu_cblist_dequeue
     0.00%  python3.10  python3.10         [.] 0x00000000001522f3
     0.00%  python3.10  [kernel.kallsyms]  [k] set_task_cpu
     0.00%  python3.10  libc.so.6          [.] re_compile_internal
     0.00%  python3.10  [kernel.kallsyms]  [k] security_task_free
     0.00%  python3.10  python3.10         [.] 0x000000000017f968
     0.00%  python3.10  [kernel.kallsyms]  [k] tcp_write_timer_handler
     0.00%  :2312394    [kernel.kallsyms]  [k] rb_erase
     0.00%  :2312394    [kernel.kallsyms]  [k] __hrtimer_init
     0.00%  :2312394    [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
     0.00%  :2312394    [kernel.kallsyms]  [k] iterate_groups
     0.00%  :2312394    [kernel.kallsyms]  [k] perf_event_context_sched_out
     0.00%  :2312394    python3.10         [.] 0x000000000011b514
     0.00%  python3.10  [kernel.kallsyms]  [k] __x64_sys_futex
     0.00%  :2312394    python3.10         [.] 0x0000000000152321
     0.00%  python3.10  [kernel.kallsyms]  [k] free_ctx
     0.00%  python3.10  python3.10         [.] 0x000000000017c3d0
     0.00%  python3.10  [kernel.kallsyms]  [k] irq_exit_rcu
     0.00%  python3.10  [kernel.kallsyms]  [k] __slab_free
     0.00%  python3.10  [kernel.kallsyms]  [k] note_gp_changes
     0.00%  python3.10  [kernel.kallsyms]  [k] find_busiest_group
     0.00%  python3.10  python3.10         [.] _PyObject_LookupSpecial
     0.00%  python3.10  [kernel.kallsyms]  [k] rcu_segcblist_accelerate
     0.00%  :2312544    [kernel.kallsyms]  [k] __irqentry_text_end
     0.00%  python3.10  [kernel.kallsyms]  [k] task_h_load
     0.00%  python3.10  python3.10         [.] 0x0000000000188eee
     0.00%  python3.10  python3.10         [.] 0x0000000000277459
     0.00%  python3.10  libc.so.6          [.] 0x00000000001a0aee
     0.00%  python3.10  [kernel.kallsyms]  [k] arch_local_irq_enable
     0.00%  python3.10  [kernel.kallsyms]  [k] visit_groups_merge.constprop.0.isra.0
     0.00%  python3.10  [kernel.kallsyms]  [k] __softirqentry_text_start
     0.00%  python3.10  [kernel.kallsyms]  [k] native_write_msr
     0.00%  python3.10  [kernel.kallsyms]  [k] asm_sysvec_reschedule_ipi
