# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 4K of event 'cycles'
# Event count (approx.): 637177653
#
# Overhead  Command     Shared Object                             Symbol                                   
# ........  ..........  ........................................  .........................................
#
    24.76%  python3.10  python3.10                                [.] _PyEval_EvalFrameDefault
     2.94%  python3.10  python3.10                                [.] _PyObject_MakeTpCall
     1.76%  python3.10  python3.10                                [.] _PyUnicode_JoinArray
     1.27%  python3.10  python3.10                                [.] PyLong_FromString
     0.80%  python3.10  libc.so.6                                 [.] ____wcstof_l_internal
     0.79%  python3.10  python3.10                                [.] 0x00000000001d4961
     0.77%  python3.10  python3.10                                [.] 0x0000000000127f5d
     0.71%  python3.10  python3.10                                [.] 0x000000000020bf65
     0.69%  python3.10  python3.10                                [.] 0x000000000017c3fc
     0.63%  python3.10  python3.10                                [.] _PyObject_LookupSpecial
     0.57%  python3.10  [kernel.kallsyms]                         [k] perf_event_groups_first
     0.51%  python3.10  python3.10                                [.] _PyObject_GetMethod
     0.50%  python3.10  python3.10                                [.] 0x0000000000174090
     0.50%  python3.10  python3.10                                [.] 0x000000000020beee
     0.49%  python3.10  python3.10                                [.] PyList_Append
     0.48%  python3.10  [kernel.kallsyms]                         [k] rb_next
     0.46%  python3.10  [kernel.kallsyms]                         [k] psi_group_change
     0.44%  python3.10  python3.10                                [.] 0x0000000000179530
     0.44%  python3.10  python3.10                                [.] 0x000000000015efc7
     0.44%  python3.10  python3.10                                [.] 0x000000000015f000
     0.44%  python3.10  [kernel.kallsyms]                         [k] syscall_exit_to_user_mode
     0.43%  python3.10  [kernel.kallsyms]                         [k] perf_event_update_userpage
     0.39%  python3.10  python3.10                                [.] 0x000000000017c380
     0.39%  python3.10  [kernel.kallsyms]                         [k] perf_event_update_time
     0.38%  python3.10  python3.10                                [.] 0x0000000000137b1b
     0.36%  python3.10  python3.10                                [.] PyTraceBack_Here
     0.36%  python3.10  python3.10                                [.] 0x0000000000188e21
     0.35%  python3.10  python3.10                                [.] 0x00000000002942ff
     0.35%  python3.10  libcrypto.so.3                            [.] OPENSSL_cleanse
     0.34%  python3.10  python3.10                                [.] 0x00000000001d4955
     0.33%  python3.10  python3.10                                [.] _PyLong_New
     0.31%  python3.10  [kernel.kallsyms]                         [k] visit_groups_merge.constprop.0.isra.0
     0.31%  python3.10  python3.10                                [.] _PyUnicode_InsertThousandsGrouping
     0.31%  python3.10  python3.10                                [.] 0x0000000000127f54
     0.31%  python3.10  [kernel.kallsyms]                         [k] merge_sched_in
     0.31%  python3.10  libc.so.6                                 [.] re_search_internal
     0.30%  python3.10  python3.10                                [.] 0x000000000011d4fc
     0.30%  python3.10  python3.10                                [.] 0x0000000000137a60
     0.30%  python3.10  python3.10                                [.] 0x000000000017c3f8
     0.30%  python3.10  python3.10                                [.] 0x000000000015b546
     0.29%  python3.10  python3.10                                [.] PyObject_RichCompare
     0.29%  python3.10  [kernel.kallsyms]                         [k] __sys_sendto
     0.29%  python3.10  python3.10                                [.] 0x000000000020bec2
     0.28%  python3.10  libc.so.6                                 [.] 0x00000000001a0940
     0.28%  python3.10  python3.10                                [.] 0x00000000001d4951
     0.28%  python3.10  libc.so.6                                 [.] 0x00000000001a0970
     0.28%  python3.10  python3.10                                [.] 0x00000000001795fe
     0.27%  python3.10  libcrypto.so.3                            [.] EVP_MD_CTX_reset
     0.27%  python3.10  python3.10                                [.] 0x0000000000188efb
     0.27%  python3.10  python3.10                                [.] _PyUnicode_ToDecimalDigit
     0.27%  python3.10  [kernel.kallsyms]                         [k] native_write_msr
     0.27%  python3.10  python3.10                                [.] 0x00000000001b640a
     0.26%  python3.10  [kernel.kallsyms]                         [k] syscall_return_via_sysret
     0.26%  python3.10  python3.10                                [.] 0x00000000001228f6
     0.26%  python3.10  python3.10                                [.] 0x000000000015effa
     0.25%  python3.10  libc.so.6                                 [.] re_compile_internal
     0.25%  python3.10  python3.10                                [.] 0x000000000018d068
     0.25%  python3.10  [kernel.kallsyms]                         [k] tcp_clean_rtx_queue.constprop.0
     0.25%  python3.10  python3.10                                [.] 0x0000000000137b95
     0.25%  python3.10  python3.10                                [.] 0x00000000001795e5
     0.24%  python3.10  python3.10                                [.] 0x0000000000206a23
     0.24%  python3.10  [kernel.kallsyms]                         [k] do_poll.constprop.0
