CS ID,CS PID
2-39-127-561,2323522
2-39-92-436,2323507
2-39-79-378,2323510
2-39-79-380,2323540
2-39-126-560,2323589
2-39-126-20,2323571
2-39-78-366,2323565
2-39-83-387,2323547
2-39-79-381,2323583
2-39-125-21,2323578
2-39-78-361,2323644
2-39-139-28,2323595
2-39-138-29,2323670
2-39-78-362,2323650
2-39-127-19,2323654
2-39-95-27,2323671
2-39-78-363,2323529
2-39-91-437,2323559
2-39-129-17,2323554
2-39-88-24,2323660
2-39-129-563,2323672
2-39-79-377,2323535
2-39-83-386,2323681
2-39-131-30,2323664
2-39-128-18,2323662
2-39-78-360,2323673
2-39-124-558,2323518
2-39-79-379,2323675
2-39-79-376,2323676
2-39-88-438,2323677
2-39-79-382,2323679
2-39-95-444,2323678
2-39-123-23,2323680
2-39-130-564,2323682
2-39-78-367,2323683
2-39-130-31,2323674
2-39-82-384,2323688
2-39-79-383,2323684
2-39-92-442,2323694
2-39-131-565,2323689
2-39-78-364,2323701
2-39-139-567,2323712
2-39-123-557,2323716
2-39-89-439,2323724
2-39-91-441,2323729
2-39-90-26,2323741
2-39-138-566,2323749
2-39-125-559,2323757
2-39-124-22,2323766
2-39-89-25,2323773
2-39-78-365,2323769
2-39-90-440,2323795
2-39-128-562,2323799
