# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 51K of event 'cycles'
# Event count (approx.): 27577440501
#
# Overhead  Command     Shared Object                             Symbol                                     
# ........  ..........  ........................................  ...........................................
#
    44.42%  :2323931    python3.10                                [.] _PyEval_EvalFrameDefault
    13.27%  python3.10  python3.10                                [.] _PyEval_EvalFrameDefault
     4.58%  :2323931    python3.10                                [.] PyObject_RichCompare
     3.79%  :2323931    python3.10                                [.] 0x000000000012161a
     1.36%  :2323931    python3.10                                [.] 0x0000000000121590
     1.28%  :2323931    python3.10                                [.] 0x0000000000121676
     1.26%  :2323931    python3.10                                [.] 0x0000000000179c4e
     1.15%  :2323931    python3.10                                [.] 0x0000000000179c52
     1.11%  :2323931    python3.10                                [.] 0x0000000000121596
     0.92%  python3.10  python3.10                                [.] 0x000000000012161a
     0.79%  :2323931    python3.10                                [.] 0x0000000000121613
     0.77%  :2323931    python3.10                                [.] 0x00000000001215f2
     0.74%  :2323931    python3.10                                [.] 0x0000000000121605
     0.73%  :2323931    python3.10                                [.] 0x0000000000121679
     0.72%  :2323931    python3.10                                [.] 0x000000000012160b
     0.71%  :2323931    python3.10                                [.] 0x0000000000121730
     0.65%  :2323931    python3.10                                [.] 0x00000000001215f7
     0.63%  :2323931    python3.10                                [.] 0x000000000012159b
     0.61%  :2323931    python3.10                                [.] 0x0000000000121623
     0.54%  :2323931    python3.10                                [.] 0x0000000000121737
     0.54%  :2323931    python3.10                                [.] 0x00000000001215a3
     0.46%  :2323931    python3.10                                [.] 0x000000000012159d
     0.43%  :2323931    python3.10                                [.] 0x0000000000121616
     0.40%  :2323931    python3.10                                [.] 0x000000000015b506
     0.38%  :2323931    python3.10                                [.] 0x00000000001215c4
     0.36%  :2323931    python3.10                                [.] 0x0000000000121594
     0.36%  :2323931    python3.10                                [.] 0x000000000015b500
     0.35%  :2323931    python3.10                                [.] 0x00000000001215a7
     0.34%  :2323931    python3.10                                [.] 0x0000000000173d50
     0.32%  :2323931    python3.10                                [.] 0x000000000012160f
     0.32%  :2323931    python3.10                                [.] 0x0000000000179c46
     0.31%  :2323931    python3.10                                [.] 0x000000000012167d
     0.30%  :2323931    python3.10                                [.] 0x00000000001215cb
     0.29%  :2323931    python3.10                                [.] 0x00000000001215bc
     0.29%  :2323931    python3.10                                [.] 0x00000000001215ab
     0.26%  :2323931    python3.10                                [.] 0x0000000000121635
     0.26%  :2323931    python3.10                                [.] 0x0000000000179be6
     0.25%  :2323931    python3.10                                [.] 0x0000000000179c42
     0.24%  :2323931    python3.10                                [.] 0x0000000000179c0e
     0.24%  :2323931    python3.10                                [.] 0x0000000000179be0
     0.24%  :2323931    python3.10                                [.] 0x00000000001215a2
     0.23%  :2323931    python3.10                                [.] 0x000000000015b546
     0.23%  :2323931    python3.10                                [.] 0x000000000012167b
     0.23%  :2323931    python3.10                                [.] 0x0000000000121667
     0.23%  :2323931    python3.10                                [.] 0x00000000001215e9
     0.21%  :2323931    python3.10                                [.] 0x00000000001215dc
     0.20%  :2323931    python3.10                                [.] 0x000000000015b537
     0.19%  :2323931    python3.10                                [.] 0x0000000000121628
     0.19%  :2323931    python3.10                                [.] 0x0000000000173d58
     0.18%  :2323931    python3.10                                [.] 0x0000000000121599
     0.18%  python3.10  python3.10                                [.] 0x0000000000121676
     0.18%  :2323931    python3.10                                [.] 0x00000000001215e5
     0.18%  python3.10  python3.10                                [.] 0x00000000001215bc
     0.18%  :2323931    python3.10                                [.] 0x0000000000179be8
     0.17%  :2323931    python3.10                                [.] 0x0000000000121653
     0.17%  :2323931    python3.10                                [.] 0x0000000000121638
     0.17%  python3.10  python3.10                                [.] 0x0000000000121590
     0.17%  :2323931    python3.10                                [.] 0x000000000015b520
     0.17%  :2323931    python3.10                                [.] 0x0000000000179c02
     0.16%  :2323931    python3.10                                [.] 0x0000000000121677
     0.16%  :2323931    python3.10                                [.] 0x000000000015b54f
     0.16%  python3.10  python3.10                                [.] 0x000000000012160b
     0.16%  :2323931    python3.10                                [.] 0x0000000000179c15
     0.16%  :2323931    python3.10                                [.] 0x000000000015b568
     0.15%  :2323931    python3.10                                [.] 0x0000000000179be4
     0.15%  :2323931    python3.10                                [.] 0x0000000000121660
     0.15%  :2323931    python3.10                                [.] 0x0000000000179c13
