# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 45K of event 'cycles'
# Event count (approx.): 22467796130
#
# Overhead  Command     Shared Object         Symbol                                     
# ........  ..........  ....................  ...........................................
#
    46.71%  :2323975    python3.10            [.] _PyEval_EvalFrameDefault
     9.82%  python3.10  python3.10            [.] _PyEval_EvalFrameDefault
     4.80%  :2323975    python3.10            [.] PyObject_RichCompare
     4.22%  :2323975    python3.10            [.] 0x000000000012161a
     1.50%  :2323975    python3.10            [.] 0x0000000000121676
     1.47%  :2323975    python3.10            [.] 0x0000000000179c4e
     1.39%  :2323975    python3.10            [.] 0x0000000000121590
     1.37%  :2323975    python3.10            [.] 0x0000000000179c52
     1.10%  :2323975    python3.10            [.] 0x0000000000121596
     0.97%  :2323975    python3.10            [.] 0x0000000000121613
     0.86%  :2323975    python3.10            [.] 0x0000000000121679
     0.83%  :2323975    python3.10            [.] 0x00000000001215f2
     0.83%  :2323975    python3.10            [.] 0x0000000000121605
     0.76%  :2323975    python3.10            [.] 0x000000000012160b
     0.71%  :2323975    python3.10            [.] 0x0000000000121623
     0.70%  :2323975    python3.10            [.] 0x00000000001215f7
     0.65%  :2323975    python3.10            [.] 0x000000000012159b
     0.64%  :2323975    python3.10            [.] 0x0000000000121730
     0.64%  python3.10  python3.10            [.] 0x000000000012161a
     0.64%  :2323975    python3.10            [.] 0x0000000000121737
     0.53%  :2323975    python3.10            [.] 0x000000000012159d
     0.52%  :2323975    python3.10            [.] 0x00000000001215a3
     0.47%  :2323975    python3.10            [.] 0x0000000000121616
     0.43%  :2323975    python3.10            [.] 0x00000000001215c4
     0.40%  :2323975    python3.10            [.] 0x00000000001215a7
     0.39%  :2323975    python3.10            [.] 0x000000000012167d
     0.38%  :2323975    python3.10            [.] 0x0000000000179c46
     0.34%  :2323975    python3.10            [.] 0x000000000015b506
     0.33%  :2323975    python3.10            [.] 0x000000000012160f
     0.30%  :2323975    python3.10            [.] 0x0000000000121635
     0.29%  :2323975    python3.10            [.] 0x0000000000121594
     0.29%  :2323975    python3.10            [.] 0x00000000001215e9
     0.29%  :2323975    python3.10            [.] 0x00000000001215a2
     0.29%  :2323975    python3.10            [.] 0x00000000001215cb
     0.29%  :2323975    python3.10            [.] 0x000000000015b500
     0.29%  :2323975    python3.10            [.] 0x00000000001215ab
     0.28%  :2323975    python3.10            [.] 0x00000000001215bc
     0.27%  :2323975    python3.10            [.] 0x0000000000179c0e
     0.27%  :2323975    python3.10            [.] 0x000000000012167b
     0.27%  :2323975    python3.10            [.] 0x0000000000179be6
     0.27%  :2323975    python3.10            [.] 0x00000000001215dc
     0.26%  :2323975    python3.10            [.] 0x0000000000179be0
     0.25%  :2323975    python3.10            [.] 0x0000000000173d50
     0.24%  :2323975    python3.10            [.] 0x000000000015b546
     0.22%  :2323975    python3.10            [.] 0x0000000000179c42
     0.22%  :2323975    python3.10            [.] 0x0000000000121653
     0.22%  :2323975    python3.10            [.] 0x0000000000121667
     0.20%  :2323975    python3.10            [.] 0x0000000000121628
     0.20%  :2323975    python3.10            [.] 0x00000000001215e2
     0.19%  :2323975    python3.10            [.] 0x000000000015b537
     0.19%  :2323975    python3.10            [.] 0x0000000000121638
     0.18%  :2323975    python3.10            [.] 0x0000000000179c02
     0.17%  :2323975    python3.10            [.] 0x00000000001215e5
     0.17%  :2323975    python3.10            [.] 0x000000000015b54f
     0.17%  :2323975    python3.10            [.] 0x000000000015b520
     0.17%  :2323975    python3.10            [.] 0x0000000000121677
     0.17%  python3.10  python3.10            [.] 0x0000000000121613
     0.17%  :2323975    python3.10            [.] 0x0000000000179be4
     0.17%  :2323975    python3.10            [.] 0x000000000015b568
     0.16%  :2323975    python3.10            [.] 0x0000000000121660
     0.16%  python3.10  python3.10            [.] 0x0000000000121676
     0.16%  :2323975    python3.10            [.] 0x0000000000179c5a
     0.15%  :2323975    python3.10            [.] 0x0000000000173d58
     0.14%  :2323975    python3.10            [.] 0x000000000015b56e
     0.14%  :2323975    python3.10            [.] 0x0000000000121599
     0.14%  :2323975    python3.10            [.] 0x0000000000179c21
     0.14%  python3.10  python3.10            [.] 0x0000000000121590
     0.14%  :2323975    python3.10            [.] 0x000000000015b557
     0.14%  :2323975    python3.10            [.] 0x0000000000121600
     0.14%  :2323975    python3.10            [.] 0x000000000012167f
     0.14%  :2323975    python3.10            [.] 0x000000000015b541
     0.13%  python3.10  python3.10            [.] 0x0000000000121679
     0.12%  :2324385    python3.10            [.] _PyEval_EvalFrameDefault
     0.12%  :2323975    python3.10            [.] 0x0000000000179c15
     0.12%  :2323975    python3.10            [.] 0x00000000001215a6
     0.11%  :2323975    python3.10            [.] 0x0000000000179be8
     0.11%  :2323975    python3.10            [.] 0x0000000000179c3b
     0.11%  :2323975    python3.10            [.] 0x0000000000179c13
     0.11%  :2323975    python3.10            [.] 0x00000000001215a0
     0.10%  :2323975    python3.10            [.] 0x000000000015b50e
     0.10%  :2323975    python3.10            [.] 0x0000000000179bea
     0.10%  python3.10  python3.10            [.] 0x00000000001215f2
     0.10%  :2323975    python3.10            [.] 0x000000000015b55b
     0.10%  python3.10  python3.10            [.] 0x000000000012160b
     0.09%  :2323975    python3.10            [.] 0x00000000001215b2
     0.09%  python3.10  python3.10            [.] 0x0000000000121623
     0.09%  :2323975    python3.10            [.] 0x000000000015b504
     0.09%  python3.10  python3.10            [.] 0x0000000000121596
     0.09%  :2323975    python3.10            [.] 0x0000000000179c56
     0.09%  python3.10  python3.10            [.] 0x0000000000121737
     0.09%  python3.10  python3.10            [.] 0x0000000000121605
     0.09%  :2323975    python3.10            [.] 0x0000000000179c25
     0.09%  :2323975    python3.10            [.] 0x0000000000179c2e
     0.09%  python3.10  python3.10            [.] 0x00000000001215bc
     0.09%  :2323975    python3.10            [.] 0x0000000000121675
     0.09%  :2323975    python3.10            [.] 0x0000000000121740
     0.08%  :2323975    python3.10            [.] 0x00000000001215ed
     0.08%  :2323975    python3.10            [.] 0x00000000001215d8
     0.08%  :2323975    python3.10            [.] 0x0000000000179bfb
     0.08%  :2323975    python3.10            [.] 0x0000000000179c38
     0.08%  :2323975    python3.10            [.] 0x00000000001215c8
     0.08%  :2323975    python3.10            [.] 0x0000000000173d54
     0.08%  :2323975    python3.10            [.] 0x0000000000121757
     0.07%  :2323975    python3.10            [.] 0x000000000015b55d
     0.07%  :2323975    python3.10            [.] 0x000000000015b509
     0.07%  python3.10  python3.10            [.] 0x000000000012159b
     0.07%  :2323975    python3.10            [.] 0x000000000015b50b
     0.07%  :2323975    python3.10            [.] 0x0000000000121751
     0.07%  python3.10  python3.10            [.] 0x0000000000121730
     0.07%  :2323975    python3.10            [.] 0x000000000015b50a
     0.07%  :2323975    python3.10            [.] 0x00000000001215c0
     0.07%  python3.10  python3.10            [.] 0x00000000001215cb
     0.06%  python3.10  python3.10            [.] 0x00000000001215a3
     0.06%  python3.10  python3.10            [.] 0x00000000001215f7
     0.06%  python3.10  python3.10            [.] 0x00000000001215c4
     0.05%  python3.10  python3.10            [.] 0x000000000012160f
     0.05%  :2323975    python3.10            [.] 0x0000000000179bee
     0.05%  :2323975    python3.10            [.] 0x00000000001215df
     0.05%  :2323975    python3.10            [.] 0x0000000000121749
     0.05%  python3.10  python3.10            [.] 0x000000000012167d
     0.05%  :2323975    python3.10            [.] 0x0000000000121734
