# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 6K of event 'cycles'
# Event count (approx.): 2088778333
#
# Overhead  Command     Shared Object                             Symbol                                 
# ........  ..........  ........................................  .......................................
#
    72.52%  python3.10  python3.10                                [.] _PyEval_EvalFrameDefault
     5.56%  python3.10  python3.10                                [.] 0x000000000012161a
     1.18%  python3.10  python3.10                                [.] 0x0000000000121676
     0.99%  python3.10  python3.10                                [.] 0x0000000000121596
     0.87%  python3.10  python3.10                                [.] 0x000000000012160b
     0.86%  python3.10  python3.10                                [.] 0x0000000000121605
     0.84%  python3.10  python3.10                                [.] 0x0000000000121679
     0.78%  python3.10  python3.10                                [.] 0x0000000000121613
     0.70%  python3.10  python3.10                                [.] 0x0000000000121590
     0.70%  python3.10  python3.10                                [.] 0x0000000000121730
     0.66%  python3.10  python3.10                                [.] 0x0000000000121623
     0.66%  python3.10  python3.10                                [.] 0x00000000001215bc
     0.55%  python3.10  python3.10                                [.] 0x000000000012159b
     0.53%  python3.10  python3.10                                [.] 0x0000000000121737
     0.50%  python3.10  python3.10                                [.] 0x000000000012167d
     0.50%  python3.10  python3.10                                [.] 0x00000000001215f2
     0.47%  python3.10  python3.10                                [.] 0x00000000001215e9
     0.41%  python3.10  python3.10                                [.] 0x0000000000121616
     0.37%  python3.10  python3.10                                [.] 0x000000000012160f
     0.36%  python3.10  python3.10                                [.] 0x0000000000121635
     0.36%  python3.10  python3.10                                [.] 0x00000000001215a3
     0.35%  python3.10  python3.10                                [.] 0x00000000001215f7
     0.32%  python3.10  python3.10                                [.] 0x00000000001215dc
     0.30%  python3.10  python3.10                                [.] 0x00000000001215cb
     0.27%  python3.10  python3.10                                [.] 0x00000000001215c4
     0.27%  python3.10  python3.10                                [.] 0x00000000001215a7
     0.25%  python3.10  [kernel.kallsyms]                         [k] syscall_exit_to_user_mode
     0.24%  python3.10  python3.10                                [.] 0x00000000001215a2
     0.22%  python3.10  python3.10                                [.] 0x00000000001215e2
     0.18%  python3.10  python3.10                                [.] 0x000000000012159d
     0.17%  python3.10  python3.10                                [.] 0x000000000012167b
     0.17%  python3.10  python3.10                                [.] 0x0000000000121628
     0.17%  python3.10  [kernel.kallsyms]                         [k] __schedule
     0.17%  python3.10  python3.10                                [.] 0x000000000012167f
     0.17%  python3.10  python3.10                                [.] 0x00000000001215ab
     0.17%  python3.10  [kernel.kallsyms]                         [k] event_sched_in
     0.16%  python3.10  [kernel.kallsyms]                         [k] psi_group_change
     0.16%  python3.10  python3.10                                [.] 0x0000000000121638
     0.15%  python3.10  python3.10                                [.] 0x0000000000121599
     0.13%  python3.10  python3.10                                [.] 0x0000000000121600
     0.13%  python3.10  [kernel.kallsyms]                         [k] update_load_avg
     0.11%  python3.10  [kernel.kallsyms]                         [k] memset_erms
     0.11%  python3.10  python3.10                                [.] 0x0000000000121677
     0.10%  python3.10  [kernel.kallsyms]                         [k] inherit_task_group.isra.0
     0.10%  python3.10  [kernel.kallsyms]                         [k] inherit_event.constprop.0
     0.10%  python3.10  python3.10                                [.] 0x00000000001215a0
     0.10%  python3.10  [kernel.kallsyms]                         [k] __cond_resched
     0.10%  python3.10  [kernel.kallsyms]                         [k] __calc_delta
     0.09%  python3.10  [kernel.kallsyms]                         [k] _raw_spin_lock
     0.08%  python3.10  python3.10                                [.] 0x0000000000121594
     0.08%  python3.10  libc.so.6                                 [.] __GI___strncasecmp_l_sse2
     0.08%  python3.10  libc.so.6                                 [.] __strcat_ssse3
     0.08%  python3.10  [kernel.kallsyms]                         [k] memcg_slab_post_alloc_hook
     0.08%  python3.10  [kernel.kallsyms]                         [k] hash_futex
     0.07%  python3.10  [kernel.kallsyms]                         [k] mutex_lock
     0.07%  python3.10  [kernel.kallsyms]                         [k] kfree
     0.07%  python3.10  python3.10                                [.] 0x00000000001215b2
     0.07%  python3.10  [kernel.kallsyms]                         [k] hrtimer_sleeper_start_expires
     0.07%  python3.10  python3.10                                [.] 0x000000000015ffca
     0.07%  python3.10  python3.10                                [.] 0x000000000012166e
     0.07%  python3.10  [kernel.kallsyms]                         [k] futex_wake
     0.07%  python3.10  [kernel.kallsyms]                         [k] perf_event_update_userpage
     0.07%  python3.10  python3.10                                [.] 0x0000000000152321
     0.07%  python3.10  python3.10                                [.] _PyObject_MakeTpCall
     0.07%  python3.10  libc.so.6                                 [.] parse_qtd_backslash
     0.06%  python3.10  python3.10                                [.] _PyObject_LookupSpecial
     0.06%  python3.10  python3.10                                [.] _PyObject_GetMethod
     0.06%  python3.10  [kernel.kallsyms]                         [k] do_syscall_64
     0.06%  python3.10  [kernel.kallsyms]                         [k] rb_next
     0.06%  python3.10  python3.10                                [.] 0x000000000016748f
     0.06%  python3.10  python3.10                                [.] 0x000000000020690f
     0.05%  python3.10  [kernel.kallsyms]                         [k] __perf_event_task_sched_in
     0.05%  python3.10  [kernel.kallsyms]                         [k] native_write_msr
     0.05%  python3.10  [kernel.kallsyms]                         [k] update_sg_lb_stats
     0.05%  python3.10  [kernel.kallsyms]                         [k] update_curr
     0.05%  python3.10  [kernel.kallsyms]                         [k] syscall_return_via_sysret
     0.05%  python3.10  [kernel.kallsyms]                         [k] sched_clock_cpu
     0.05%  python3.10  [kernel.kallsyms]                         [k] __alloc_pages
     0.05%  python3.10  [kernel.kallsyms]                         [k] __kmalloc
     0.05%  python3.10  [kernel.kallsyms]                         [k] perf_event_init_context
     0.05%  python3.10  libc.so.6                                 [.] __memmove_sse2_unaligned_erms
