# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 6K of event 'cycles'
# Event count (approx.): 1161683327
#
# Overhead  Command     Shared Object                             Symbol                                   
# ........  ..........  ........................................  .........................................
#
    23.13%  python3.10  python3.10                                [.] _PyEval_EvalFrameDefault
     2.20%  python3.10  python3.10                                [.] _PyObject_MakeTpCall
     1.21%  python3.10  python3.10                                [.] PyList_Append
     1.18%  python3.10  libc.so.6                                 [.] ____wcstof_l_internal
     1.08%  python3.10  python3.10                                [.] _PyUnicode_JoinArray
     0.94%  python3.10  python3.10                                [.] 0x000000000017c3fc
     0.90%  python3.10  python3.10                                [.] PyLong_FromString
     0.62%  python3.10  python3.10                                [.] 0x000000000015efdc
     0.56%  python3.10  python3.10                                [.] _PyUnicodeWriter_PrepareInternal
     0.55%  python3.10  python3.10                                [.] 0x000000000020bef5
     0.52%  python3.10  python3.10                                [.] _PyObject_GetMethod
     0.51%  python3.10  python3.10                                [.] 0x00000000001d4961
     0.50%  python3.10  python3.10                                [.] 0x00000000001d495d
     0.47%  python3.10  python3.10                                [.] 0x00000000001795d6
     0.46%  python3.10  python3.10                                [.] 0x000000000015f020
     0.42%  python3.10  libc.so.6                                 [.] __strncat_sse2_unaligned
     0.40%  python3.10  [kernel.kallsyms]                         [k] merge_sched_in
     0.40%  python3.10  python3.10                                [.] 0x000000000018d066
     0.37%  python3.10  python3.10                                [.] 0x0000000000174090
     0.36%  python3.10  [kernel.kallsyms]                         [k] syscall_exit_to_user_mode
     0.36%  python3.10  python3.10                                [.] 0x0000000000137b95
     0.36%  python3.10  python3.10                                [.] 0x0000000000188efb
     0.35%  python3.10  python3.10                                [.] 0x000000000015effa
     0.34%  python3.10  libc.so.6                                 [.] ____wcstold_l_internal
     0.34%  python3.10  python3.10                                [.] PyDict_Contains
     0.33%  python3.10  python3.10                                [.] PyObject_GetAttr
     0.32%  python3.10  [kernel.kallsyms]                         [k] entry_SYSCALL_64_after_hwframe
     0.32%  python3.10  libc.so.6                                 [.] 0x00000000001a0940
     0.32%  python3.10  python3.10                                [.] _PyObject_LookupSpecial
     0.31%  python3.10  python3.10                                [.] 0x0000000000127f5d
     0.30%  python3.10  [kernel.kallsyms]                         [k] psi_group_change
     0.30%  python3.10  [kernel.kallsyms]                         [k] perf_event_update_userpage
     0.30%  python3.10  [kernel.kallsyms]                         [k] perf_event_groups_first
     0.29%  python3.10  python3.10                                [.] _PyUnicodeWriter_Init
     0.29%  python3.10  python3.10                                [.] 0x000000000020bf65
     0.29%  python3.10  python3.10                                [.] PyUnicode_New
     0.28%  python3.10  python3.10                                [.] 0x000000000017c3ef
     0.27%  python3.10  python3.10                                [.] 0x000000000015ef70
     0.27%  python3.10  [kernel.kallsyms]                         [k] syscall_return_via_sysret
     0.27%  python3.10  libc.so.6                                 [.] __vstrfmon_l_internal
     0.26%  python3.10  python3.10                                [.] 0x000000000018d59d
     0.26%  python3.10  [kernel.kallsyms]                         [k] event_sched_in
     0.26%  python3.10  libc.so.6                                 [.] __GI___strncasecmp_l_sse2
     0.26%  python3.10  python3.10                                [.] 0x000000000012287d
     0.25%  python3.10  python3.10                                [.] 0x0000000000150bcb
     0.25%  python3.10  python3.10                                [.] 0x0000000000206c7a
     0.25%  python3.10  libc.so.6                                 [.] __stpncpy_sse2_unaligned
     0.25%  python3.10  python3.10                                [.] 0x00000000001b640a
     0.25%  python3.10  [kernel.kallsyms]                         [k] rb_next
     0.25%  python3.10  python3.10                                [.] 0x000000000017f87a
     0.24%  python3.10  python3.10                                [.] _PyBytes_Resize
     0.24%  python3.10  libcrypto.so.3                            [.] OPENSSL_cleanse
     0.24%  python3.10  python3.10                                [.] _PyLong_New
     0.24%  python3.10  python3.10                                [.] 0x000000000015b541
     0.24%  python3.10  python3.10                                [.] 0x0000000000188dd3
     0.23%  python3.10  python3.10                                [.] 0x00000000001740bb
     0.23%  python3.10  python3.10                                [.] _PyUnicode_ToDecimalDigit
     0.23%  python3.10  python3.10                                [.] 0x000000000018bfce
     0.23%  python3.10  python3.10                                [.] 0x000000000015ef93
     0.23%  python3.10  python3.10                                [.] 0x0000000000188eee
     0.22%  python3.10  libc.so.6                                 [.] 0x00000000001a0975
     0.22%  python3.10  python3.10                                [.] PyFunction_NewWithQualName
     0.22%  python3.10  [kernel.kallsyms]                         [k] __fget_files
     0.22%  python3.10  python3.10                                [.] 0x0000000000206a23
     0.22%  python3.10  python3.10                                [.] 0x0000000000188e95
     0.22%  python3.10  python3.10                                [.] _PyUnicode_FromASCII
     0.21%  python3.10  python3.10                                [.] 0x000000000015b56c
     0.20%  python3.10  python3.10                                [.] 0x00000000001d4955
     0.20%  python3.10  python3.10                                [.] 0x000000000020bea0
     0.20%  python3.10  [kernel.kallsyms]                         [k] do_sys_poll
     0.20%  python3.10  python3.10                                [.] 0x000000000017c380
     0.20%  python3.10  python3.10                                [.] 0x0000000000137b1b
     0.20%  python3.10  [kernel.kallsyms]                         [k] tcp_clean_rtx_queue.constprop.0
     0.19%  python3.10  [kernel.kallsyms]                         [k] copy_user_enhanced_fast_string
     0.19%  python3.10  python3.10                                [.] 0x00000000001795c3
     0.19%  python3.10  python3.10                                [.] 0x000000000018d700
