CS ID,CS PID
2-39-78-361,2335363
2-39-88-438,2335263
2-39-79-379,2335279
2-39-92-442,2335380
2-39-125-559,2335290
2-39-79-383,2335350
2-39-127-19,2335360
2-39-130-564,2335367
2-39-79-381,2335377
2-39-78-367,2335375
2-39-78-364,2335284
2-39-88-24,2335266
2-39-123-23,2335368
2-39-79-382,2335374
2-39-129-17,2335386
2-39-79-376,2335355
2-39-131-30,2335271
2-39-79-380,2335302
2-39-79-378,2335365
2-39-78-363,2335296
2-39-130-31,2335376
2-39-78-365,2335379
2-39-124-558,2335381
2-39-131-565,2335378
2-39-92-436,2335382
2-39-90-440,2335384
2-39-123-557,2335383
2-39-82-384,2335385
2-39-91-437,2335387
2-39-125-21,2335388
2-39-89-25,2335389
2-39-127-561,2335411
2-39-78-362,2335416
2-39-126-20,2335418
2-39-95-444,2335426
2-39-126-560,2335407
2-39-128-562,2335428
2-39-83-386,2335430
2-39-95-27,2335433
2-39-83-387,2335444
2-39-124-22,2335441
2-39-138-566,2335470
2-39-89-439,2335452
2-39-128-18,2335458
2-39-129-563,2335483
2-39-139-567,2335497
2-39-78-366,2335512
2-39-138-29,2335506
2-39-79-377,2335530
2-39-78-360,2335534
2-39-90-26,2335520
2-39-91-441,2335527
2-39-139-28,2335523
