# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 137K of event 'cycles'
# Event count (approx.): 68414781190
#
# Overhead  Command     Shared Object                             Symbol                                        
# ........  ..........  ........................................  ..............................................
#
    72.75%  python3.10  python3.10                                [.] _PyEval_EvalFrameDefault
     3.04%  python3.10  python3.10                                [.] 0x000000000012161a
     2.59%  python3.10  python3.10                                [.] PyObject_RichCompare
     1.06%  python3.10  python3.10                                [.] 0x0000000000121590
     0.84%  python3.10  python3.10                                [.] 0x0000000000121676
     0.76%  python3.10  python3.10                                [.] 0x0000000000121613
     0.69%  python3.10  python3.10                                [.] 0x00000000001215f2
     0.64%  python3.10  python3.10                                [.] 0x00000000001215f7
     0.63%  python3.10  python3.10                                [.] 0x0000000000121596
     0.62%  python3.10  python3.10                                [.] 0x0000000000121605
     0.57%  python3.10  python3.10                                [.] 0x0000000000121679
     0.57%  python3.10  python3.10                                [.] 0x000000000012159b
     0.55%  python3.10  python3.10                                [.] 0x000000000012160b
     0.54%  python3.10  python3.10                                [.] 0x00000000001215c4
     0.54%  python3.10  python3.10                                [.] 0x0000000000179c52
     0.50%  python3.10  python3.10                                [.] 0x0000000000121730
     0.47%  python3.10  python3.10                                [.] 0x0000000000121737
     0.43%  python3.10  python3.10                                [.] 0x00000000001215a3
     0.32%  python3.10  python3.10                                [.] 0x0000000000121653
     0.32%  python3.10  python3.10                                [.] 0x00000000001215a7
     0.31%  python3.10  python3.10                                [.] 0x000000000012159d
     0.30%  python3.10  python3.10                                [.] 0x000000000015b546
     0.30%  python3.10  python3.10                                [.] 0x00000000001215cb
     0.29%  python3.10  python3.10                                [.] 0x00000000001215ab
     0.27%  python3.10  python3.10                                [.] 0x00000000001215bc
     0.26%  python3.10  python3.10                                [.] 0x000000000012167d
     0.25%  python3.10  python3.10                                [.] 0x0000000000179c4e
     0.24%  python3.10  python3.10                                [.] 0x0000000000121623
     0.24%  python3.10  python3.10                                [.] 0x00000000001215e9
     0.23%  python3.10  python3.10                                [.] 0x00000000001215dc
     0.23%  python3.10  python3.10                                [.] 0x0000000000121616
     0.21%  python3.10  python3.10                                [.] 0x000000000012160f
     0.19%  python3.10  python3.10                                [.] 0x00000000001215a2
     0.18%  python3.10  python3.10                                [.] 0x000000000012167b
     0.17%  python3.10  python3.10                                [.] 0x00000000001215e5
     0.16%  python3.10  python3.10                                [.] 0x0000000000179c0e
     0.15%  python3.10  python3.10                                [.] 0x000000000015b537
     0.15%  python3.10  python3.10                                [.] 0x00000000001215e2
     0.14%  python3.10  python3.10                                [.] 0x000000000015b506
     0.14%  python3.10  python3.10                                [.] 0x0000000000179c46
     0.14%  python3.10  python3.10                                [.] 0x000000000015b541
     0.13%  python3.10  python3.10                                [.] 0x0000000000121635
     0.12%  python3.10  python3.10                                [.] 0x0000000000179c02
     0.12%  python3.10  python3.10                                [.] 0x0000000000121600
     0.11%  python3.10  python3.10                                [.] 0x0000000000121594
     0.11%  python3.10  python3.10                                [.] 0x0000000000179c42
     0.10%  python3.10  python3.10                                [.] 0x0000000000121677
     0.09%  python3.10  python3.10                                [.] 0x0000000000121667
     0.09%  python3.10  python3.10                                [.] 0x000000000012167f
     0.09%  python3.10  [kernel.kallsyms]                         [k] psi_group_change
     0.09%  python3.10  python3.10                                [.] 0x0000000000121638
     0.09%  python3.10  python3.10                                [.] 0x0000000000179be6
     0.08%  python3.10  python3.10                                [.] 0x0000000000179be0
     0.08%  python3.10  python3.10                                [.] 0x0000000000121628
     0.08%  python3.10  python3.10                                [.] 0x00000000001215d8
     0.08%  python3.10  python3.10                                [.] 0x0000000000173d50
     0.08%  python3.10  python3.10                                [.] 0x0000000000179c5a
     0.08%  python3.10  python3.10                                [.] 0x000000000015b53b
     0.07%  python3.10  python3.10                                [.] 0x000000000015b520
     0.07%  python3.10  python3.10                                [.] 0x00000000001215a0
     0.07%  python3.10  python3.10                                [.] 0x000000000015b568
     0.07%  python3.10  python3.10                                [.] 0x0000000000121599
     0.07%  python3.10  python3.10                                [.] 0x000000000015b56e
     0.07%  python3.10  python3.10                                [.] 0x000000000015b500
     0.07%  python3.10  python3.10                                [.] 0x0000000000179be8
     0.06%  python3.10  python3.10                                [.] 0x0000000000121660
     0.06%  python3.10  python3.10                                [.] 0x00000000001215a6
     0.06%  python3.10  python3.10                                [.] 0x0000000000179c13
     0.06%  python3.10  python3.10                                [.] 0x0000000000173d58
     0.06%  python3.10  python3.10                                [.] _PyObject_MakeTpCall
     0.06%  python3.10  python3.10                                [.] 0x000000000015b557
     0.06%  python3.10  [kernel.kallsyms]                         [k] syscall_exit_to_user_mode
     0.05%  python3.10  python3.10                                [.] 0x000000000015b50e
     0.05%  python3.10  python3.10                                [.] 0x0000000000179c3b
     0.05%  python3.10  [kernel.kallsyms]                         [k] merge_sched_in
     0.05%  python3.10  python3.10                                [.] 0x0000000000179bee
     0.05%  python3.10  python3.10                                [.] 0x0000000000121740
     0.05%  python3.10  python3.10                                [.] 0x0000000000179c0b
     0.05%  python3.10  [kernel.kallsyms]                         [k] irqentry_exit_to_user_mode
     0.05%  python3.10  python3.10                                [.] 0x0000000000179c2e
     0.05%  python3.10  python3.10                                [.] 0x00000000001215ed
     0.04%  python3.10  python3.10                                [.] 0x0000000000179c15
     0.04%  python3.10  [kernel.kallsyms]                         [k] syscall_return_via_sysret
     0.04%  python3.10  python3.10                                [.] 0x00000000001215c0
     0.04%  python3.10  python3.10                                [.] 0x00000000001215b2
     0.04%  python3.10  [kernel.kallsyms]                         [k] error_entry
     0.04%  python3.10  python3.10                                [.] 0x0000000000121751
     0.04%  python3.10  python3.10                                [.] 0x000000000012166e
     0.04%  python3.10  [kernel.kallsyms]                         [k] entry_SYSCALL_64_after_hwframe
     0.04%  python3.10  python3.10                                [.] 0x0000000000121675
     0.04%  python3.10  python3.10                                [.] 0x0000000000179c21
     0.03%  python3.10  python3.10                                [.] _PyObject_GetMethod
     0.03%  python3.10  [kernel.kallsyms]                         [k] native_read_msr
     0.03%  python3.10  python3.10                                [.] 0x0000000000179c25
     0.03%  python3.10  python3.10                                [.] _PyUnicode_JoinArray
     0.03%  python3.10  [kernel.kallsyms]                         [k] memset_erms
     0.03%  python3.10  [kernel.kallsyms]                         [k] asm_sysvec_apic_timer_interrupt
     0.03%  python3.10  libc.so.6                                 [.] __strcat_ssse3
     0.03%  python3.10  [kernel.kallsyms]                         [k] __irqentry_text_end
     0.03%  python3.10  python3.10                                [.] 0x00000000001215c8
     0.03%  python3.10  python3.10                                [.] 0x000000000012175a
     0.03%  python3.10  python3.10                                [.] 0x0000000000121757
     0.03%  python3.10  [kernel.kallsyms]                         [k] perf_event_alloc
     0.02%  python3.10  [kernel.kallsyms]                         [k] rb_next
     0.02%  python3.10  [kernel.kallsyms]                         [k] native_write_msr
     0.02%  python3.10  python3.10                                [.] 0x0000000000121749
     0.02%  python3.10  python3.10                                [.] 0x0000000000121754
     0.02%  python3.10  python3.10                                [.] 0x00000000001215df
     0.02%  python3.10  [kernel.kallsyms]                         [k] native_sched_clock
     0.02%  python3.10  [kernel.kallsyms]                         [k] update_load_avg
     0.02%  python3.10  python3.10                                [.] 0x000000000015b504
     0.02%  python3.10  [kernel.kallsyms]                         [k] event_sched_in
     0.02%  python3.10  [kernel.kallsyms]                         [k] __update_load_avg_se
     0.02%  python3.10  [kernel.kallsyms]                         [k] native_write_msr_safe
     0.02%  python3.10  python3.10                                [.] 0x000000000015b50b
     0.02%  python3.10  [kernel.kallsyms]                         [k] _raw_spin_lock
