# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 79K of event 'cycles'
# Event count (approx.): 39665687302
#
# Overhead  Command     Shared Object                             Symbol                                      
# ........  ..........  ........................................  ............................................
#
    84.79%  python3.10  python3.10                                [.] _PyEval_EvalFrameDefault
     1.52%  python3.10  python3.10                                [.] 0x000000000012161a
     0.71%  python3.10  python3.10                                [.] 0x0000000000121590
     0.61%  python3.10  python3.10                                [.] 0x0000000000121676
     0.45%  python3.10  python3.10                                [.] 0x00000000001215f2
     0.44%  python3.10  python3.10                                [.] 0x00000000001215f7
     0.41%  python3.10  python3.10                                [.] 0x0000000000121596
     0.40%  python3.10  python3.10                                [.] 0x00000000001215c4
     0.38%  python3.10  python3.10                                [.] 0x0000000000121605
     0.36%  python3.10  python3.10                                [.] 0x0000000000121730
     0.36%  python3.10  python3.10                                [.] 0x0000000000121737
     0.35%  python3.10  python3.10                                [.] 0x0000000000121613
     0.34%  python3.10  python3.10                                [.] 0x000000000012159b
     0.31%  python3.10  python3.10                                [.] 0x0000000000121679
     0.28%  python3.10  python3.10                                [.] 0x00000000001215a3
     0.27%  python3.10  python3.10                                [.] 0x000000000012160b
     0.26%  python3.10  python3.10                                [.] 0x00000000001215a7
     0.24%  python3.10  python3.10                                [.] 0x00000000001215bc
     0.21%  python3.10  python3.10                                [.] 0x000000000012159d
     0.20%  python3.10  python3.10                                [.] 0x00000000001215cb
     0.18%  python3.10  python3.10                                [.] 0x00000000001215dc
     0.17%  python3.10  python3.10                                [.] 0x000000000012167d
     0.15%  python3.10  python3.10                                [.] 0x00000000001215e9
     0.14%  python3.10  python3.10                                [.] 0x00000000001215a2
     0.14%  python3.10  python3.10                                [.] 0x00000000001215ab
     0.13%  python3.10  python3.10                                [.] 0x00000000001215e2
     0.12%  python3.10  python3.10                                [.] 0x00000000001215e5
     0.11%  python3.10  python3.10                                [.] 0x000000000012167b
     0.10%  python3.10  python3.10                                [.] 0x0000000000121616
     0.09%  python3.10  python3.10                                [.] 0x000000000012160f
     0.09%  :2337763    python3.10                                [.] _PyEval_EvalFrameDefault
     0.09%  python3.10  [kernel.kallsyms]                         [k] psi_group_change
     0.08%  python3.10  python3.10                                [.] _PyObject_MakeTpCall
     0.08%  :2338193    python3.10                                [.] _PyEval_EvalFrameDefault
     0.07%  python3.10  [kernel.kallsyms]                         [k] memset_erms
     0.07%  :2338131    python3.10                                [.] _PyEval_EvalFrameDefault
     0.06%  python3.10  python3.10                                [.] 0x0000000000121677
     0.06%  :2338360    python3.10                                [.] _PyEval_EvalFrameDefault
     0.06%  :2338331    python3.10                                [.] _PyEval_EvalFrameDefault
