# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 6K of event 'cycles'
# Event count (approx.): 1317230081
#
# Overhead  Command     Shared Object                             Symbol                                     
# ........  ..........  ........................................  ...........................................
#
    19.00%  python3.10  python3.10                                [.] _PyEval_EvalFrameDefault
     2.37%  python3.10  python3.10                                [.] _PyObject_MakeTpCall
     1.64%  python3.10  [kernel.kallsyms]                         [k] perf_event_update_userpage
     1.37%  python3.10  [kernel.kallsyms]                         [k] syscall_exit_to_user_mode
     1.19%  python3.10  [kernel.kallsyms]                         [k] merge_sched_in
     1.14%  python3.10  python3.10                                [.] PyTraceBack_Here
     1.05%  python3.10  python3.10                                [.] _PyObject_GetMethod
     0.95%  python3.10  [kernel.kallsyms]                         [k] psi_group_change
     0.77%  python3.10  python3.10                                [.] _PyUnicode_JoinArray
     0.73%  python3.10  [kernel.kallsyms]                         [k] rb_next
     0.73%  python3.10  [kernel.kallsyms]                         [k] syscall_return_via_sysret
     0.72%  python3.10  [kernel.kallsyms]                         [k] event_sched_in
     0.71%  python3.10  [kernel.kallsyms]                         [k] do_sys_poll
     0.68%  python3.10  libc.so.6                                 [.] ____wcstof_l_internal
     0.67%  python3.10  python3.10                                [.] PyLong_FromString
     0.63%  python3.10  [kernel.kallsyms]                         [k] do_poll.constprop.0
     0.61%  python3.10  python3.10                                [.] PyList_Append
     0.59%  python3.10  [kernel.kallsyms]                         [k] visit_groups_merge.constprop.0.isra.0
     0.57%  python3.10  [kernel.kallsyms]                         [k] entry_SYSCALL_64_after_hwframe
     0.56%  python3.10  [kernel.kallsyms]                         [k] perf_swevent_add
     0.53%  python3.10  libc.so.6                                 [.] __vstrfmon_l_internal
     0.53%  python3.10  [kernel.kallsyms]                         [k] perf_event_groups_first
     0.52%  python3.10  python3.10                                [.] _PyObject_GenericGetAttrWithDict
     0.51%  python3.10  [kernel.kallsyms]                         [k] native_sched_clock
     0.46%  python3.10  [kernel.kallsyms]                         [k] __get_user_8
     0.46%  python3.10  [kernel.kallsyms]                         [k] __fget_files
     0.45%  python3.10  libc.so.6                                 [.] __strncpy_sse2_unaligned
     0.44%  python3.10  [kernel.kallsyms]                         [k] restore_fpregs_from_fpstate
     0.42%  python3.10  python3.10                                [.] 0x000000000015effa
     0.41%  python3.10  libc.so.6                                 [.] __GI___strncasecmp_l_sse2
     0.39%  python3.10  python3.10                                [.] 0x000000000020bef5
     0.39%  python3.10  [kernel.kallsyms]                         [k] __fget_light
     0.38%  python3.10  python3.10                                [.] 0x00000000001d4961
     0.37%  python3.10  libc.so.6                                 [.] re_search_internal
     0.37%  python3.10  [kernel.kallsyms]                         [k] dequeue_task_fair
     0.37%  python3.10  [kernel.kallsyms]                         [k] __perf_event_task_sched_in
     0.37%  python3.10  [kernel.kallsyms]                         [k] tcp_poll
     0.36%  python3.10  libc.so.6                                 [.] __netlink_request
     0.36%  python3.10  libc.so.6                                 [.] parse_qtd_backslash
     0.34%  python3.10  python3.10                                [.] PyType_GenericAlloc
     0.34%  python3.10  libc.so.6                                 [.] __stpncpy_sse2_unaligned
     0.33%  python3.10  libc.so.6                                 [.] __strcat_ssse3
     0.33%  python3.10  [kernel.kallsyms]                         [k] __schedule
     0.32%  python3.10  python3.10                                [.] _PyErr_SetObject
     0.32%  python3.10  python3.10                                [.] 0x00000000001d48e8
     0.32%  python3.10  python3.10                                [.] 0x0000000000127f5d
     0.32%  python3.10  python3.10                                [.] 0x000000000015efdc
     0.30%  python3.10  [kernel.kallsyms]                         [k] ctx_sched_in
     0.29%  python3.10  python3.10                                [.] _PyUnicodeWriter_PrepareInternal
     0.29%  python3.10  python3.10                                [.] 0x0000000000137a60
     0.28%  python3.10  python3.10                                [.] PyDict_Contains
     0.28%  python3.10  python3.10                                [.] 0x000000000017c3fc
     0.28%  python3.10  python3.10                                [.] 0x000000000011e943
     0.27%  python3.10  libc.so.6                                 [.] __strncat_sse2_unaligned
     0.27%  python3.10  python3.10                                [.] 0x0000000000188e5e
     0.27%  python3.10  [kernel.kallsyms]                         [k] __update_load_avg_se
     0.26%  python3.10  [kernel.kallsyms]                         [k] _raw_spin_lock
     0.25%  python3.10  python3.10                                [.] 0x0000000000127f54
     0.25%  python3.10  libc.so.6                                 [.] ____wcstold_l_internal
     0.25%  python3.10  [kernel.kallsyms]                         [k] perf_event_update_time
     0.25%  python3.10  python3.10                                [.] 0x0000000000167e50
     0.25%  python3.10  python3.10                                [.] _PyTime_GetMonotonicClock
     0.24%  python3.10  [kernel.kallsyms]                         [k] sock_poll
     0.24%  python3.10  [kernel.kallsyms]                         [k] __x64_sys_poll
     0.24%  python3.10  [kernel.kallsyms]                         [k] kfree
     0.23%  python3.10  python3.10                                [.] _PyUnicode_ToDecimalDigit
     0.22%  python3.10  python3.10                                [.] 0x00000000001740af
     0.22%  python3.10  python3.10                                [.] 0x000000000015efaa
     0.21%  python3.10  [vdso]                                    [.] 0x00000000000007f7
     0.21%  python3.10  [kernel.kallsyms]                         [k] do_syscall_64
     0.21%  python3.10  python3.10                                [.] 0x00000000001d495d
     0.20%  python3.10  python3.10                                [.] 0x000000000012161a
     0.20%  python3.10  python3.10                                [.] 0x0000000000122901
     0.20%  python3.10  python3.10                                [.] PyObject_GetAttr
     0.20%  python3.10  [kernel.kallsyms]                         [k] update_curr
     0.20%  python3.10  python3.10                                [.] 0x0000000000188e95
     0.20%  python3.10  python3.10                                [.] PyEval_RestoreThread
     0.20%  python3.10  [kernel.kallsyms]                         [k] schedule_hrtimeout_range_clock
     0.20%  python3.10  [kernel.kallsyms]                         [k] native_write_msr
     0.20%  python3.10  python3.10                                [.] _PyFunction_Vectorcall
     0.19%  python3.10  [kernel.kallsyms]                         [k] perf_pmu_nop_int
     0.19%  python3.10  python3.10                                [.] 0x0000000000174090
     0.18%  python3.10  [kernel.kallsyms]                         [k] cubictcp_acked
     0.18%  python3.10  [kernel.kallsyms]                         [k] __hrtimer_init
     0.18%  python3.10  libc.so.6                                 [.] setsourcefilter
     0.18%  python3.10  python3.10                                [.] 0x00000000001740a7
     0.18%  python3.10  python3.10                                [.] 0x000000000018d151
     0.18%  python3.10  [kernel.kallsyms]                         [k] psi_task_switch
     0.18%  python3.10  [kernel.kallsyms]                         [k] ktime_get_ts64
     0.18%  python3.10  python3.10                                [.] 0x0000000000121653
     0.18%  python3.10  python3.10                                [.] 0x00000000002b77be
     0.17%  python3.10  python3.10                                [.] 0x0000000000122820
     0.17%  python3.10  python3.10                                [.] 0x000000000015f000
     0.17%  python3.10  python3.10                                [.] _PyErr_NormalizeException
     0.17%  python3.10  python3.10                                [.] 0x000000000011ec68
     0.17%  python3.10  python3.10                                [.] 0x000000000017c3ef
     0.17%  python3.10  python3.10                                [.] 0x000000000020bea0
     0.17%  python3.10  libc.so.6                                 [.] 0x000000000019d981
     0.17%  python3.10  python3.10                                [.] 0x0000000000188efb
     0.16%  python3.10  python3.10                                [.] 0x000000000015ef7f
     0.16%  python3.10  python3.10                                [.] 0x00000000001740bb
     0.16%  python3.10  python3.10                                [.] 0x000000000018bfef
     0.16%  python3.10  python3.10                                [.] _PyUnicode_InsertThousandsGrouping
     0.16%  python3.10  python3.10                                [.] PyErr_GivenExceptionMatches
     0.16%  python3.10  [kernel.kallsyms]                         [k] pick_next_task_fair
     0.16%  python3.10  libc.so.6                                 [.] 0x00000000001a10e0
     0.16%  python3.10  python3.10                                [.] 0x000000000011b2d0
     0.16%  python3.10  [kernel.kallsyms]                         [k] iterate_groups
     0.16%  python3.10  python3.10                                [.] 0x000000000018bf76
     0.16%  python3.10  [kernel.kallsyms]                         [k] calc_timer_values
     0.15%  python3.10  libc.so.6                                 [.] re_compile_internal
     0.15%  python3.10  python3.10                                [.] 0x000000000017c38a
     0.15%  python3.10  [kernel.kallsyms]                         [k] ip_finish_output2
     0.15%  python3.10  python3.10                                [.] 0x000000000017f87a
     0.15%  python3.10  [kernel.kallsyms]                         [k] update_load_avg
     0.15%  python3.10  python3.10                                [.] 0x0000000000206a23
     0.15%  python3.10  python3.10                                [.] 0x000000000020bf65
     0.15%  python3.10  python3.10                                [.] 0x00000000001228f6
     0.15%  python3.10  [kernel.kallsyms]                         [k] dequeue_entity
     0.15%  python3.10  [kernel.kallsyms]                         [k] arch_perf_update_userpage
     0.14%  python3.10  python3.10                                [.] 0x00000000001435a2
     0.14%  python3.10  [kernel.kallsyms]                         [k] schedule
     0.14%  python3.10  [kernel.kallsyms]                         [k] update_cfs_group
     0.14%  python3.10  python3.10                                [.] 0x00000000001732ee
     0.14%  python3.10  [kernel.kallsyms]                         [k] update_min_vruntime
     0.14%  python3.10  python3.10                                [.] 0x00000000002942ff
     0.14%  python3.10  python3.10                                [.] 0x000000000015ef70
     0.14%  python3.10  [kernel.kallsyms]                         [k] get_nohz_timer_target
     0.14%  python3.10  python3.10                                [.] 0x000000000011b311
     0.14%  python3.10  python3.10                                [.] 0x00000000001d4955
     0.14%  python3.10  python3.10                                [.] 0x0000000000137b8d
     0.14%  python3.10  python3.10                                [.] 0x000000000015ef86
     0.13%  python3.10  python3.10                                [.] 0x000000000018bfd8
     0.13%  python3.10  libc.so.6                                 [.] 0x00000000001a1100
     0.13%  python3.10  python3.10                                [.] PyUnicode_AsEncodedString
     0.13%  python3.10  [kernel.kallsyms]                         [k] select_estimate_accuracy
     0.13%  python3.10  [kernel.kallsyms]                         [k] __get_user_4
     0.13%  python3.10  libc.so.6                                 [.] 0x00000000001a0970
     0.13%  python3.10  python3.10                                [.] 0x000000000017a8e0
     0.13%  python3.10  python3.10                                [.] 0x00000000002ec2e5
     0.13%  python3.10  python3.10                                [.] 0x000000000015b537
     0.13%  python3.10  libc.so.6                                 [.] 0x000000000019d960
     0.13%  python3.10  python3.10                                [.] 0x000000000018d608
     0.13%  python3.10  [kernel.kallsyms]                         [k] tcp_add_backlog
     0.13%  python3.10  python3.10                                [.] 0x0000000000206c5f
     0.13%  python3.10  python3.10                                [.] 0x000000000029b6cb
     0.12%  python3.10  python3.10                                [.] 0x00000000000b63fb
     0.12%  python3.10  python3.10                                [.] 0x0000000000206c7a
     0.12%  python3.10  python3.10                                [.] PyEval_SaveThread
     0.12%  python3.10  python3.10                                [.] 0x000000000023ec62
     0.12%  python3.10  python3.10                                [.] 0x0000000000122870
     0.12%  python3.10  [kernel.kallsyms]                         [k] sched_clock_cpu
     0.12%  python3.10  [kernel.kallsyms]                         [k] tcp_recvmsg_locked
     0.12%  python3.10  python3.10                                [.] 0x00000000002b8420
     0.12%  python3.10  python3.10                                [.] PyUnicode_New
     0.12%  python3.10  [kernel.kallsyms]                         [k] switch_fpu_return
     0.12%  python3.10  python3.10                                [.] 0x000000000011b2d4
     0.12%  python3.10  python3.10                                [.] 0x0000000000188dd7
     0.12%  python3.10  python3.10                                [.] PyObject_Format
     0.12%  python3.10  [kernel.kallsyms]                         [k] __check_object_size.part.0
     0.11%  python3.10  python3.10                                [.] 0x000000000017c3a6
     0.11%  python3.10  python3.10                                [.] 0x00000000001f6e59
     0.11%  python3.10  [kernel.kallsyms]                         [k] hrtimer_start_range_ns
     0.11%  python3.10  python3.10                                [.] 0x0000000000189014
     0.11%  python3.10  [kernel.kallsyms]                         [k] cpuacct_charge
     0.11%  python3.10  [kernel.kallsyms]                         [k] exit_to_user_mode_prepare
     0.11%  python3.10  [vdso]                                    [.] 0x00000000000007b0
     0.11%  python3.10  python3.10                                [.] 0x00000000001795d6
     0.11%  python3.10  python3.10                                [.] 0x0000000000188e69
     0.11%  python3.10  [kernel.kallsyms]                         [k] __tcp_transmit_skb
     0.11%  python3.10  python3.10                                [.] 0x000000000020bf50
     0.11%  python3.10  python3.10                                [.] 0x00000000001740a1
     0.11%  python3.10  python3.10                                [.] 0x000000000018d585
     0.11%  python3.10  python3.10                                [.] 0x00000000001d48d0
     0.11%  python3.10  python3.10                                [.] 0x000000000015efc7
     0.10%  python3.10  python3.10                                [.] _PyUnicode_FromASCII
     0.10%  python3.10  [kernel.kallsyms]                         [k] pick_next_entity
     0.10%  python3.10  python3.10                                [.] 0x00000000002b7730
     0.10%  python3.10  python3.10                                [.] 0x00000000001894c3
     0.10%  python3.10  [kernel.kallsyms]                         [k] check_preempt_wakeup
     0.10%  python3.10  python3.10                                [.] 0x000000000018d22d
