CS ID,CS PID
2-39-139-28,2401016
2-39-79-377,2401058
2-39-92-442,2401074
2-39-130-564,2401107
2-39-91-437,2401072
2-39-138-566,2401067
2-39-130-31,2401071
2-39-123-557,2401075
2-39-79-382,2401076
2-39-138-29,2401073
2-39-83-386,2401079
2-39-126-20,2401080
2-39-83-387,2401081
2-39-79-376,2401121
2-39-78-364,2401086
2-39-78-361,2401087
2-39-131-565,2401085
2-39-78-365,2401126
2-39-126-560,2401127
2-39-89-439,2401096
2-39-89-25,2401089
2-39-90-26,2401088
2-39-127-561,2401097
2-39-131-30,2401098
2-39-79-383,2401104
2-39-79-380,2401106
2-39-127-19,2401105
2-39-78-360,2401108
2-39-91-441,2401109
2-39-123-23,2401110
2-39-95-27,2401113
2-39-128-18,2401111
2-39-78-363,2401112
2-39-129-17,2401114
2-39-95-444,2401116
2-39-139-567,2401115
2-39-124-558,2401117
2-39-129-563,2401118
2-39-79-378,2401119
2-39-125-21,2401120
2-39-78-367,2401082
2-39-79-381,2401122
2-39-78-362,2401123
2-39-88-24,2401124
2-39-79-379,2401125
2-39-82-384,2401083
2-39-128-562,2401128
2-39-124-22,2401084
2-39-125-559,2401095
2-39-88-438,2401132
2-39-78-366,2401135
2-39-90-440,2401143
2-39-92-436,2401133
