# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 143K of event 'cycles'
# Event count (approx.): 69234565273
#
# Overhead  Command     Shared Object                             Symbol                                     
# ........  ..........  ........................................  ...........................................
#
    50.52%  :2401283    python3.10                                [.] _PyEval_EvalFrameDefault
     7.06%  :2401283    python3.10                                [.] PyObject_RichCompare
     3.85%  python3.10  python3.10                                [.] _PyEval_EvalFrameDefault
     3.66%  :2401283    python3.10                                [.] 0x0000000000121590
     3.16%  :2401283    python3.10                                [.] 0x000000000012161a
     2.13%  :2401283    python3.10                                [.] 0x0000000000179c52
     2.04%  :2401283    python3.10                                [.] 0x00000000001215c4
     1.99%  :2401283    python3.10                                [.] 0x0000000000121605
     1.97%  :2401283    python3.10                                [.] 0x000000000015b546
     1.43%  :2401283    python3.10                                [.] 0x000000000015b537
     0.92%  :2401283    python3.10                                [.] 0x0000000000121613
     0.76%  :2401283    python3.10                                [.] 0x0000000000121676
     0.67%  :2401283    python3.10                                [.] 0x0000000000121730
     0.65%  :2401283    python3.10                                [.] 0x000000000012159b
     0.63%  :2401283    python3.10                                [.] 0x00000000001215a3
     0.61%  :2401283    python3.10                                [.] 0x000000000015b541
     0.59%  :2401283    python3.10                                [.] 0x0000000000121653
     0.57%  :2401283    python3.10                                [.] 0x0000000000121737
     0.56%  :2401283    python3.10                                [.] 0x000000000012160b
     0.55%  :2401283    python3.10                                [.] 0x000000000015b53b
     0.51%  :2401283    python3.10                                [.] 0x00000000001215ab
     0.45%  :2401283    python3.10                                [.] 0x00000000001215f2
     0.44%  :2401283    python3.10                                [.] 0x000000000012167d
     0.42%  :2401283    python3.10                                [.] 0x0000000000121596
     0.41%  :2401283    python3.10                                [.] 0x00000000001215dc
     0.38%  :2401283    python3.10                                [.] 0x000000000015b506
     0.37%  :2401283    python3.10                                [.] 0x0000000000121594
     0.36%  :2401283    python3.10                                [.] 0x00000000001215cb
     0.30%  :2401283    python3.10                                [.] 0x0000000000121679
     0.29%  :2401283    python3.10                                [.] 0x000000000015b500
     0.29%  :2401283    python3.10                                [.] 0x000000000012167b
     0.29%  :2401283    python3.10                                [.] 0x00000000001215e9
     0.28%  :2401283    python3.10                                [.] 0x00000000001215f7
     0.27%  :2401283    python3.10                                [.] 0x0000000000179c02
     0.25%  :2401283    python3.10                                [.] 0x000000000012159d
     0.25%  :2401283    python3.10                                [.] 0x0000000000121600
     0.25%  :2401283    python3.10                                [.] 0x0000000000179c42
     0.24%  :2401283    python3.10                                [.] 0x0000000000121734
     0.22%  :2401283    python3.10                                [.] 0x0000000000179c0e
     0.21%  :2401283    python3.10                                [.] 0x0000000000179be8
     0.21%  :2401283    python3.10                                [.] 0x0000000000173d50
     0.21%  :2401283    python3.10                                [.] 0x0000000000179be0
     0.20%  :2401283    python3.10                                [.] 0x000000000015b568
     0.19%  python3.10  python3.10                                [.] 0x000000000012161a
     0.19%  :2401283    python3.10                                [.] 0x000000000015b56e
     0.19%  :2401283    python3.10                                [.] 0x0000000000121677
     0.19%  python3.10  python3.10                                [.] 0x0000000000121590
     0.18%  :2401283    python3.10                                [.] 0x0000000000121660
     0.18%  :2401283    python3.10                                [.] 0x000000000015b557
     0.18%  :2401283    python3.10                                [.] 0x0000000000121616
     0.17%  :2401283    python3.10                                [.] 0x00000000001215bc
     0.17%  :2401283    python3.10                                [.] 0x0000000000179c5a
     0.16%  :2401283    python3.10                                [.] 0x0000000000121675
     0.16%  :2401283    python3.10                                [.] 0x00000000001215e5
     0.16%  :2401283    python3.10                                [.] 0x000000000012167f
     0.16%  :2401283    python3.10                                [.] 0x0000000000179c4e
     0.15%  :2401283    python3.10                                [.] 0x00000000001215a7
     0.15%  :2401283    python3.10                                [.] 0x0000000000121740
     0.15%  :2401283    python3.10                                [.] 0x000000000015b54b
     0.15%  :2401283    python3.10                                [.] 0x0000000000179c15
     0.15%  :2401283    python3.10                                [.] 0x000000000015b520
     0.14%  :2401283    python3.10                                [.] 0x00000000001215e2
     0.14%  :2401283    python3.10                                [.] 0x0000000000179bee
     0.14%  :2401283    python3.10                                [.] 0x0000000000173d58
     0.13%  :2401283    python3.10                                [.] 0x0000000000179be6
     0.13%  python3.10  python3.10                                [.] 0x00000000001215c4
     0.12%  :2401283    python3.10                                [.] 0x000000000015b50e
     0.11%  :2401283    python3.10                                [.] 0x0000000000179c2e
     0.11%  :2401283    python3.10                                [.] 0x0000000000179c13
     0.11%  :2401283    python3.10                                [.] 0x000000000015b504
     0.11%  :2401283    python3.10                                [.] 0x0000000000121599
     0.11%  :2401283    python3.10                                [.] 0x00000000001215d8
     0.11%  :2401283    python3.10                                [.] 0x000000000012166e
     0.11%  :2401283    python3.10                                [.] 0x00000000001215c8
     0.10%  :2401283    python3.10                                [.] 0x000000000012175a
     0.10%  :2401283    python3.10                                [.] 0x00000000001215ed
     0.10%  :2401283    python3.10                                [.] 0x00000000001215a6
     0.10%  :2401283    python3.10                                [.] 0x0000000000179c56
     0.10%  :2401283    python3.10                                [.] 0x000000000015b50a
     0.09%  python3.10  python3.10                                [.] 0x0000000000121605
     0.09%  :2401283    python3.10                                [.] 0x0000000000121754
     0.09%  :2401283    python3.10                                [.] 0x00000000001215b2
     0.09%  :2401283    python3.10                                [.] 0x0000000000121749
     0.08%  :2401283    python3.10                                [.] 0x000000000015b509
     0.08%  :2401283    python3.10                                [.] 0x0000000000121757
     0.08%  :2401283    python3.10                                [.] 0x00000000001215a2
     0.07%  :2401283    python3.10                                [.] 0x0000000000179c21
     0.07%  :2401283    python3.10                                [.] 0x000000000015b50b
     0.07%  :2401283    python3.10                                [.] 0x0000000000179c46
