# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 6K of event 'cycles'
# Event count (approx.): 2404791020
#
# Overhead  Command     Shared Object         Symbol                                   
# ........  ..........  ....................  .........................................
#
    70.66%  python3.10  python3.10            [.] _PyEval_EvalFrameDefault
     3.73%  python3.10  python3.10            [.] 0x000000000012161a
     3.69%  python3.10  python3.10            [.] 0x0000000000121590
     2.27%  python3.10  python3.10            [.] 0x00000000001215c4
     1.72%  python3.10  python3.10            [.] 0x0000000000121605
     0.93%  python3.10  python3.10            [.] 0x0000000000121613
     0.74%  python3.10  python3.10            [.] 0x00000000001215f2
     0.71%  python3.10  python3.10            [.] 0x0000000000121676
     0.70%  python3.10  python3.10            [.] 0x0000000000121730
     0.69%  python3.10  python3.10            [.] 0x000000000012159b
     0.60%  python3.10  python3.10            [.] 0x00000000001215ab
     0.54%  python3.10  python3.10            [.] 0x000000000012160b
     0.53%  python3.10  python3.10            [.] 0x0000000000121737
     0.49%  python3.10  python3.10            [.] 0x00000000001215a3
     0.46%  python3.10  python3.10            [.] 0x00000000001215dc
     0.41%  python3.10  python3.10            [.] 0x000000000012167d
     0.35%  python3.10  python3.10            [.] 0x00000000001215cb
     0.33%  python3.10  python3.10            [.] 0x00000000001215f7
     0.32%  python3.10  python3.10            [.] 0x00000000001215e9
     0.29%  python3.10  [kernel.kallsyms]     [k] psi_group_change
     0.28%  python3.10  python3.10            [.] 0x0000000000121679
     0.24%  python3.10  python3.10            [.] 0x00000000001215e2
     0.21%  python3.10  python3.10            [.] 0x00000000001215e5
     0.18%  python3.10  python3.10            [.] 0x0000000000121677
     0.18%  python3.10  python3.10            [.] 0x000000000012167f
     0.16%  python3.10  python3.10            [.] 0x0000000000121600
     0.15%  python3.10  [kernel.kallsyms]     [k] syscall_return_via_sysret
     0.14%  python3.10  [kernel.kallsyms]     [k] perf_event_update_userpage
     0.13%  python3.10  python3.10            [.] 0x00000000001215d8
     0.13%  python3.10  python3.10            [.] 0x00000000001215a7
     0.12%  python3.10  python3.10            [.] 0x0000000000121616
     0.12%  python3.10  python3.10            [.] 0x0000000000121596
     0.11%  python3.10  python3.10            [.] 0x000000000012160f
     0.09%  python3.10  [kernel.kallsyms]     [k] event_sched_in
     0.09%  python3.10  [kernel.kallsyms]     [k] entry_SYSCALL_64_after_hwframe
     0.09%  python3.10  [kernel.kallsyms]     [k] __get_user_8
     0.08%  python3.10  [kernel.kallsyms]     [k] native_sched_clock
     0.08%  python3.10  [kernel.kallsyms]     [k] visit_groups_merge.constprop.0.isra.0
     0.08%  python3.10  python3.10            [.] 0x000000000012167b
     0.07%  python3.10  libc.so.6             [.] ____wcstold_l_internal
     0.07%  python3.10  libc.so.6             [.] parse_qtd_backslash
     0.07%  python3.10  [kernel.kallsyms]     [k] syscall_exit_to_user_mode
     0.07%  python3.10  [kernel.kallsyms]     [k] __update_load_avg_se
     0.07%  python3.10  [kernel.kallsyms]     [k] timerqueue_add
     0.07%  python3.10  python3.10            [.] 0x0000000000121734
     0.06%  python3.10  [kernel.kallsyms]     [k] perf_log_itrace_start
     0.06%  python3.10  libcrypto.so.3        [.] 0x00000000003080ac
     0.06%  python3.10  [kernel.kallsyms]     [k] do_syscall_64
     0.06%  python3.10  python3.10            [.] 0x00000000001215bc
     0.06%  python3.10  [kernel.kallsyms]     [k] futex_wait
     0.06%  python3.10  [kernel.kallsyms]     [k] merge_sched_in
     0.06%  python3.10  [kernel.kallsyms]     [k] perf_event_groups_first
     0.06%  python3.10  [kernel.kallsyms]     [k] update_load_avg
     0.06%  python3.10  [kernel.kallsyms]     [k] native_write_msr
     0.06%  python3.10  [kernel.kallsyms]     [k] perf_swevent_add
     0.06%  python3.10  python3.10            [.] 0x00000000001215a6
     0.06%  python3.10  libc.so.6             [.] ____wcstof_l_internal
     0.06%  python3.10  libc.so.6             [.] __strstr_sse2_unaligned
     0.06%  python3.10  [kernel.kallsyms]     [k] inherit_event.constprop.0
     0.06%  python3.10  libc.so.6             [.] __strncat_ssse3
     0.06%  python3.10  python3.10            [.] PyTuple_New
     0.05%  python3.10  [kernel.kallsyms]     [k] ___perf_sw_event
     0.05%  python3.10  [kernel.kallsyms]     [k] _raw_spin_lock
     0.05%  python3.10  [kernel.kallsyms]     [k] kmem_cache_alloc_node
     0.05%  python3.10  [kernel.kallsyms]     [k] check_preempt_wakeup
     0.05%  python3.10  python3.10            [.] _PyObject_MakeTpCall
     0.05%  python3.10  [kernel.kallsyms]     [k] __irqentry_text_end
     0.05%  python3.10  [kernel.kallsyms]     [k] native_write_msr_safe
     0.05%  python3.10  python3.10            [.] 0x000000000011d4fc
     0.05%  python3.10  python3.10            [.] 0x000000000015efdc
     0.05%  python3.10  python3.10            [.] 0x00000000001732de
     0.05%  python3.10  python3.10            [.] 0x0000000000127f5d
     0.05%  python3.10  [kernel.kallsyms]     [k] rb_next
     0.04%  python3.10  python3.10            [.] PyObject_GetAttr
     0.04%  python3.10  [kernel.kallsyms]     [k] zap_pte_range
