# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 6K of event 'cycles'
# Event count (approx.): 2727100317
#
# Overhead  Command     Shared Object                             Symbol                                   
# ........  ..........  ........................................  .........................................
#
    71.47%  python3.10  python3.10                                [.] _PyEval_EvalFrameDefault
     3.29%  python3.10  python3.10                                [.] 0x000000000012161a
     3.19%  python3.10  python3.10                                [.] 0x0000000000121590
     2.01%  python3.10  python3.10                                [.] 0x0000000000121605
     1.85%  python3.10  python3.10                                [.] 0x00000000001215c4
     1.03%  python3.10  python3.10                                [.] 0x0000000000121613
     0.75%  python3.10  python3.10                                [.] 0x0000000000121730
     0.73%  python3.10  python3.10                                [.] 0x0000000000121737
     0.67%  python3.10  python3.10                                [.] 0x0000000000121676
     0.65%  python3.10  python3.10                                [.] 0x00000000001215f2
     0.53%  python3.10  python3.10                                [.] 0x000000000012160b
     0.46%  python3.10  python3.10                                [.] 0x000000000012159b
     0.45%  python3.10  python3.10                                [.] 0x00000000001215f7
     0.40%  python3.10  python3.10                                [.] 0x00000000001215cb
     0.40%  python3.10  python3.10                                [.] 0x00000000001215dc
     0.40%  python3.10  python3.10                                [.] 0x00000000001215a3
     0.39%  python3.10  python3.10                                [.] 0x00000000001215ab
     0.38%  python3.10  python3.10                                [.] 0x000000000012167d
     0.36%  python3.10  python3.10                                [.] 0x00000000001215e9
     0.25%  python3.10  python3.10                                [.] 0x0000000000121677
     0.22%  python3.10  python3.10                                [.] 0x0000000000121679
     0.19%  python3.10  python3.10                                [.] 0x0000000000121734
     0.19%  python3.10  [kernel.kallsyms]                         [k] visit_groups_merge.constprop.0.isra.0
     0.18%  python3.10  [kernel.kallsyms]                         [k] psi_group_change
     0.18%  python3.10  python3.10                                [.] 0x00000000001215e5
     0.17%  python3.10  python3.10                                [.] 0x00000000001215e2
     0.17%  python3.10  python3.10                                [.] 0x0000000000121616
     0.17%  python3.10  python3.10                                [.] 0x0000000000121600
     0.15%  python3.10  [kernel.kallsyms]                         [k] memset_erms
     0.15%  python3.10  python3.10                                [.] 0x00000000001215a7
     0.13%  python3.10  python3.10                                [.] 0x00000000001215d8
     0.13%  python3.10  python3.10                                [.] 0x000000000012167b
     0.13%  python3.10  python3.10                                [.] 0x0000000000121596
     0.12%  python3.10  python3.10                                [.] _PyObject_MakeTpCall
     0.12%  python3.10  python3.10                                [.] 0x0000000000121599
     0.11%  python3.10  libc.so.6                                 [.] __GI___strncasecmp_l_sse2
     0.10%  python3.10  python3.10                                [.] 0x0000000000121594
     0.10%  python3.10  [kernel.kallsyms]                         [k] merge_sched_in
     0.10%  python3.10  [kernel.kallsyms]                         [k] restore_fpregs_from_fpstate
     0.10%  python3.10  [kernel.kallsyms]                         [k] perf_swevent_add
     0.09%  python3.10  libc.so.6                                 [.] ____wcstold_l_internal
     0.09%  python3.10  [kernel.kallsyms]                         [k] __x64_sys_futex
     0.09%  python3.10  [kernel.kallsyms]                         [k] syscall_exit_to_user_mode
     0.09%  python3.10  [kernel.kallsyms]                         [k] iterate_groups
     0.09%  python3.10  python3.10                                [.] 0x000000000012167f
