# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 8K of event 'cycles'
# Event count (approx.): 1864708163
#
# Overhead  Command     Shared Object                             Symbol                                   
# ........  ..........  ........................................  .........................................
#
    22.35%  python3.10  python3.10                                [.] _PyEval_EvalFrameDefault
     2.55%  python3.10  python3.10                                [.] _PyObject_MakeTpCall
     1.16%  python3.10  python3.10                                [.] PyLong_FromString
     0.96%  python3.10  python3.10                                [.] PyList_Append
     0.96%  python3.10  python3.10                                [.] _PyUnicode_JoinArray
     0.93%  python3.10  python3.10                                [.] 0x00000000001d4961
     0.85%  python3.10  [kernel.kallsyms]                         [k] syscall_exit_to_user_mode
     0.77%  python3.10  [kernel.kallsyms]                         [k] syscall_return_via_sysret
     0.72%  python3.10  [kernel.kallsyms]                         [k] psi_group_change
     0.70%  python3.10  [kernel.kallsyms]                         [k] merge_sched_in
     0.70%  python3.10  python3.10                                [.] _PyObject_GetMethod
     0.66%  python3.10  [kernel.kallsyms]                         [k] perf_event_update_userpage
     0.65%  python3.10  [kernel.kallsyms]                         [k] entry_SYSCALL_64_after_hwframe
     0.63%  python3.10  libc.so.6                                 [.] ____wcstof_l_internal
     0.54%  python3.10  python3.10                                [.] PyTraceBack_Here
     0.53%  python3.10  python3.10                                [.] 0x000000000017c3fc
     0.53%  python3.10  python3.10                                [.] 0x0000000000127f5d
     0.51%  python3.10  [kernel.kallsyms]                         [k] event_sched_in
     0.46%  python3.10  python3.10                                [.] 0x000000000015effa
     0.43%  python3.10  python3.10                                [.] 0x000000000017f87a
     0.41%  python3.10  libc.so.6                                 [.] __strncpy_sse2_unaligned
     0.41%  python3.10  python3.10                                [.] 0x000000000015efdc
     0.37%  python3.10  python3.10                                [.] _PyUnicode_FromASCII
     0.36%  python3.10  python3.10                                [.] 0x000000000015b546
     0.36%  python3.10  [kernel.kallsyms]                         [k] perf_swevent_add
     0.36%  python3.10  python3.10                                [.] 0x0000000000188dd7
     0.36%  python3.10  [kernel.kallsyms]                         [k] visit_groups_merge.constprop.0.isra.0
     0.35%  python3.10  [kernel.kallsyms]                         [k] __fget_files
     0.34%  python3.10  libc.so.6                                 [.] __vstrfmon_l_internal
     0.34%  python3.10  [kernel.kallsyms]                         [k] perf_event_groups_first
     0.34%  python3.10  python3.10                                [.] 0x0000000000174090
     0.34%  python3.10  [kernel.kallsyms]                         [k] rb_next
     0.33%  python3.10  python3.10                                [.] PyDict_Contains
     0.33%  python3.10  python3.10                                [.] 0x000000000015efc7
     0.32%  python3.10  libc.so.6                                 [.] re_search_internal
     0.32%  python3.10  libc.so.6                                 [.] __stpncpy_sse2_unaligned
     0.31%  python3.10  python3.10                                [.] 0x00000000001732ee
     0.31%  python3.10  python3.10                                [.] _PyUnicodeWriter_PrepareInternal
     0.30%  python3.10  libc.so.6                                 [.] __strncat_sse2_unaligned
     0.30%  python3.10  libc.so.6                                 [.] ____wcstold_l_internal
     0.29%  python3.10  [kernel.kallsyms]                         [k] native_sched_clock
     0.28%  python3.10  python3.10                                [.] 0x0000000000188e95
     0.28%  python3.10  [kernel.kallsyms]                         [k] __perf_event_task_sched_in
     0.27%  python3.10  python3.10                                [.] 0x0000000000137a9c
     0.27%  python3.10  libc.so.6                                 [.] 0x00000000001a0940
     0.27%  python3.10  python3.10                                [.] 0x000000000017c3ef
     0.27%  python3.10  python3.10                                [.] _PyObject_GenericGetAttrWithDict
     0.26%  python3.10  python3.10                                [.] 0x000000000017c3a6
     0.26%  python3.10  [kernel.kallsyms]                         [k] do_poll.constprop.0
     0.26%  python3.10  python3.10                                [.] 0x000000000018d589
     0.25%  python3.10  [kernel.kallsyms]                         [k] sock_poll
     0.25%  python3.10  python3.10                                [.] 0x0000000000122820
     0.25%  python3.10  [kernel.kallsyms]                         [k] update_curr
     0.25%  python3.10  [kernel.kallsyms]                         [k] psi_task_switch
     0.24%  python3.10  python3.10                                [.] 0x000000000015f020
     0.24%  python3.10  python3.10                                [.] 0x000000000017c3aa
     0.24%  python3.10  python3.10                                [.] 0x000000000020bea0
     0.23%  python3.10  python3.10                                [.] 0x000000000020beee
     0.23%  python3.10  python3.10                                [.] 0x000000000018d151
     0.23%  python3.10  [kernel.kallsyms]                         [k] iterate_groups
     0.22%  python3.10  python3.10                                [.] 0x00000000001b640a
     0.22%  python3.10  python3.10                                [.] 0x00000000001d4955
     0.22%  python3.10  libc.so.6                                 [.] parse_qtd_backslash
     0.21%  python3.10  libc.so.6                                 [.] __strcat_ssse3
     0.21%  python3.10  python3.10                                [.] 0x0000000000206c7a
     0.21%  python3.10  python3.10                                [.] 0x00000000001d495d
     0.21%  python3.10  [kernel.kallsyms]                         [k] do_sys_poll
     0.20%  python3.10  [kernel.kallsyms]                         [k] __tcp_transmit_skb
     0.19%  python3.10  python3.10                                [.] 0x00000000001229d0
     0.19%  python3.10  python3.10                                [.] 0x00000000001228d1
     0.18%  python3.10  python3.10                                [.] 0x000000000020bef5
     0.18%  python3.10  [kernel.kallsyms]                         [k] update_load_avg
     0.18%  python3.10  python3.10                                [.] _PyObject_LookupSpecial
     0.18%  python3.10  python3.10                                [.] _PyUnicode_InsertThousandsGrouping
     0.17%  python3.10  python3.10                                [.] _PyErr_SetObject
     0.17%  python3.10  python3.10                                [.] 0x0000000000150bcb
     0.17%  python3.10  [kernel.kallsyms]                         [k] __schedule
     0.17%  python3.10  python3.10                                [.] 0x000000000020bf65
     0.17%  python3.10  python3.10                                [.] PyObject_GetAttr
     0.17%  python3.10  [kernel.kallsyms]                         [k] _raw_spin_lock
     0.17%  python3.10  [kernel.kallsyms]                         [k] copy_user_enhanced_fast_string
     0.17%  python3.10  python3.10                                [.] 0x00000000001d48d0
     0.16%  python3.10  [kernel.kallsyms]                         [k] __update_load_avg_se
     0.16%  python3.10  libc.so.6                                 [.] round_and_return
     0.16%  python3.10  libc.so.6                                 [.] 0x00000000001a0975
     0.16%  python3.10  [kernel.kallsyms]                         [k] ctx_sched_in
     0.16%  python3.10  python3.10                                [.] 0x0000000000137b1b
     0.16%  python3.10  python3.10                                [.] 0x000000000015b537
     0.16%  python3.10  python3.10                                [.] 0x000000000020bec2
     0.15%  python3.10  python3.10                                [.] 0x000000000018d59d
     0.15%  python3.10  [kernel.kallsyms]                         [k] rb_erase
     0.15%  python3.10  [kernel.kallsyms]                         [k] perf_log_itrace_start
     0.15%  python3.10  python3.10                                [.] 0x000000000015efcc
     0.15%  python3.10  [kernel.kallsyms]                         [k] arch_perf_update_userpage
     0.15%  python3.10  python3.10                                [.] 0x0000000000127f54
     0.15%  python3.10  python3.10                                [.] 0x0000000000137a66
     0.14%  python3.10  python3.10                                [.] 0x00000000001740af
     0.14%  python3.10  python3.10                                [.] 0x000000000015ef70
     0.14%  python3.10  [kernel.kallsyms]                         [k] dequeue_task_fair
     0.14%  python3.10  [kernel.kallsyms]                         [k] sk_stream_alloc_skb
     0.14%  python3.10  [kernel.kallsyms]                         [k] tcp_ack
     0.14%  python3.10  [kernel.kallsyms]                         [k] __hrtimer_init
     0.14%  python3.10  [kernel.kallsyms]                         [k] __fget_light
     0.14%  python3.10  libc.so.6                                 [.] 0x000000000019d981
     0.14%  python3.10  python3.10                                [.] 0x0000000000188de8
     0.13%  python3.10  python3.10                                [.] 0x000000000017c380
     0.13%  python3.10  python3.10                                [.] 0x0000000000206c70
     0.13%  python3.10  [kernel.kallsyms]                         [k] restore_fpregs_from_fpstate
     0.13%  python3.10  python3.10                                [.] 0x000000000015ef93
     0.13%  python3.10  python3.10                                [.] _PyUnicodeWriter_Init
     0.13%  python3.10  python3.10                                [.] 0x0000000000121590
     0.13%  python3.10  python3.10                                [.] 0x000000000015eff0
     0.13%  python3.10  [kernel.kallsyms]                         [k] perf_event_update_time
     0.13%  python3.10  [kernel.kallsyms]                         [k] schedule
     0.13%  python3.10  [kernel.kallsyms]                         [k] do_syscall_64
     0.13%  python3.10  [kernel.kallsyms]                         [k] __get_user_8
     0.13%  python3.10  python3.10                                [.] 0x00000000001508a2
     0.13%  python3.10  python3.10                                [.] 0x00000000001795a2
     0.13%  python3.10  python3.10                                [.] _PyObject_New
     0.13%  python3.10  [kernel.kallsyms]                         [k] dequeue_entity
     0.12%  python3.10  python3.10                                [.] 0x00000000001732e7
     0.12%  python3.10  python3.10                                [.] 0x000000000011b311
     0.12%  python3.10  libc.so.6                                 [.] setsourcefilter
     0.12%  python3.10  [kernel.kallsyms]                         [k] __ksize
     0.12%  python3.10  python3.10                                [.] 0x00000000001228f6
     0.12%  python3.10  libc.so.6                                 [.] 0x000000000019d964
     0.12%  python3.10  python3.10                                [.] 0x000000000015b541
     0.12%  python3.10  python3.10                                [.] 0x000000000011e943
     0.12%  python3.10  python3.10                                [.] 0x0000000000137a60
     0.12%  python3.10  [kernel.kallsyms]                         [k] pick_next_entity
     0.12%  python3.10  python3.10                                [.] 0x00000000001d48d6
     0.12%  python3.10  python3.10                                [.] 0x000000000018bfd8
     0.12%  python3.10  [kernel.kallsyms]                         [k] ___perf_sw_event
     0.12%  python3.10  python3.10                                [.] PyType_GenericAlloc
     0.12%  python3.10  python3.10                                [.] 0x0000000000188e99
     0.11%  python3.10  [kernel.kallsyms]                         [k] tcp_v4_rcv
     0.11%  python3.10  python3.10                                [.] 0x000000000012291a
     0.11%  python3.10  python3.10                                [.] 0x000000000018bfef
     0.11%  python3.10  python3.10                                [.] _PyFunction_Vectorcall
     0.11%  python3.10  [kernel.kallsyms]                         [k] tcp_poll
