CS ID,CS PID
2-39-91-437,2412825
2-39-127-561,2412854
2-39-129-563,2412829
2-39-92-436,2412967
2-39-123-23,2412860
2-39-130-564,2412878
2-39-78-367,2412885
2-39-83-387,2412848
2-39-123-557,2412958
2-39-131-30,2412902
2-39-128-18,2412970
2-39-124-22,2412971
2-39-79-383,2412811
2-39-92-442,2412972
2-39-131-565,2412973
2-39-79-381,2412842
2-39-78-366,2412835
2-39-139-28,2412981
2-39-78-363,2412889
2-39-78-362,2412896
2-39-138-566,2412808
2-39-79-379,2412975
2-39-124-558,2412977
2-39-91-441,2412965
2-39-128-562,2412976
2-39-79-380,2412872
2-39-129-17,2412950
2-39-125-21,2412817
2-39-125-559,2412866
2-39-126-560,2412974
2-39-88-438,2412980
2-39-82-384,2412979
2-39-89-25,2412990
2-39-79-377,2412987
2-39-95-444,2412988
2-39-78-360,2412989
2-39-130-31,2412978
2-39-78-365,2412998
2-39-138-29,2412996
2-39-79-376,2412997
2-39-90-26,2412999
2-39-78-361,2413014
2-39-90-440,2413027
2-39-89-439,2413008
2-39-139-567,2413033
2-39-79-382,2413039
2-39-95-27,2413043
2-39-78-364,2413072
2-39-126-20,2413068
2-39-127-19,2413052
2-39-83-386,2413081
2-39-88-24,2413086
2-39-79-378,2413088
