# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 15K of event 'cycles'
# Event count (approx.): 8564024297
#
# Overhead  Command     Shared Object         Symbol                                     
# ........  ..........  ....................  ...........................................
#
    66.56%  python3.10  python3.10            [.] _PyEval_EvalFrameDefault
     5.01%  python3.10  python3.10            [.] 0x000000000012161a
     1.76%  python3.10  python3.10            [.] 0x0000000000121590
     1.37%  python3.10  python3.10            [.] 0x0000000000121623
     1.07%  python3.10  python3.10            [.] 0x000000000012160b
     1.00%  python3.10  python3.10            [.] 0x0000000000121605
     0.93%  python3.10  python3.10            [.] 0x0000000000121613
     0.90%  python3.10  python3.10            [.] 0x0000000000121596
     0.74%  python3.10  python3.10            [.] 0x0000000000121676
     0.64%  python3.10  python3.10            [.] 0x00000000001215c4
     0.61%  python3.10  python3.10            [.] 0x0000000000121730
     0.55%  python3.10  python3.10            [.] 0x00000000001215f2
     0.54%  python3.10  python3.10            [.] 0x000000000012160f
     0.52%  python3.10  python3.10            [.] 0x00000000001215f7
     0.51%  python3.10  python3.10            [.] 0x000000000012159b
     0.49%  python3.10  python3.10            [.] 0x0000000000121616
     0.43%  python3.10  python3.10            [.] 0x0000000000121628
     0.41%  python3.10  python3.10            [.] 0x0000000000121635
     0.40%  python3.10  python3.10            [.] 0x0000000000121679
     0.40%  :2415397    python3.10            [.] _PyEval_EvalFrameDefault
     0.39%  :2415250    python3.10            [.] _PyEval_EvalFrameDefault
     0.39%  :2415304    python3.10            [.] _PyEval_EvalFrameDefault
     0.38%  python3.10  python3.10            [.] 0x0000000000121737
     0.38%  python3.10  python3.10            [.] 0x00000000001215a3
     0.38%  :2415230    python3.10            [.] _PyEval_EvalFrameDefault
     0.38%  python3.10  python3.10            [.] 0x0000000000121638
     0.34%  python3.10  python3.10            [.] 0x00000000001215cb
     0.33%  :2415330    python3.10            [.] _PyEval_EvalFrameDefault
     0.32%  python3.10  python3.10            [.] 0x000000000012159d
     0.31%  :2415036    python3.10            [.] _PyEval_EvalFrameDefault
     0.29%  :2415207    python3.10            [.] _PyEval_EvalFrameDefault
     0.28%  :2415363    python3.10            [.] _PyEval_EvalFrameDefault
     0.28%  :2415087    python3.10            [.] _PyEval_EvalFrameDefault
     0.25%  python3.10  python3.10            [.] 0x00000000001215ab
     0.24%  python3.10  python3.10            [.] 0x00000000001215e9
     0.22%  :2415492    python3.10            [.] _PyEval_EvalFrameDefault
     0.22%  python3.10  python3.10            [.] 0x00000000001215a2
     0.22%  python3.10  python3.10            [.] 0x00000000001215a7
     0.22%  python3.10  python3.10            [.] 0x000000000012167d
     0.22%  python3.10  python3.10            [.] 0x0000000000121594
     0.21%  python3.10  python3.10            [.] 0x00000000001215e2
     0.20%  python3.10  python3.10            [.] 0x0000000000121599
     0.19%  :2415157    python3.10            [.] _PyEval_EvalFrameDefault
     0.18%  python3.10  python3.10            [.] 0x00000000001215bc
     0.17%  python3.10  python3.10            [.] 0x00000000001215dc
     0.17%  :2415468    python3.10            [.] _PyEval_EvalFrameDefault
     0.16%  python3.10  python3.10            [.] 0x00000000001215e5
     0.14%  python3.10  python3.10            [.] _PyObject_MakeTpCall
     0.14%  python3.10  python3.10            [.] 0x0000000000121600
     0.14%  python3.10  python3.10            [.] 0x00000000001215d8
     0.12%  python3.10  python3.10            [.] 0x000000000012162c
     0.12%  python3.10  python3.10            [.] 0x00000000001215c8
     0.12%  :2415002    python3.10            [.] _PyEval_EvalFrameDefault
     0.12%  :2415427    python3.10            [.] _PyEval_EvalFrameDefault
     0.12%  python3.10  python3.10            [.] 0x000000000012166e
     0.10%  python3.10  python3.10            [.] 0x00000000001215b2
     0.09%  python3.10  [kernel.kallsyms]     [k] psi_group_change
