CS ID,CS PID
2-39-79-382,2425111
2-39-88-24,2425133
2-39-83-387,2425119
2-39-78-367,2425131
2-39-89-25,2425057
2-39-78-365,2425122
2-39-79-378,2425054
2-39-95-444,2425136
2-39-139-28,2425141
2-39-126-560,2425126
2-39-92-436,2425121
2-39-125-559,2425128
2-39-126-20,2425127
2-39-89-439,2425125
2-39-130-564,2425129
2-39-79-379,2425124
2-39-138-29,2425157
2-39-129-563,2425132
2-39-124-558,2425130
2-39-127-561,2425134
2-39-79-381,2425123
2-39-83-386,2425140
2-39-130-31,2425117
2-39-90-440,2425120
2-39-79-376,2425104
2-39-82-384,2425137
2-39-78-364,2425138
2-39-138-566,2425139
2-39-90-26,2425118
2-39-125-21,2425147
2-39-92-442,2425148
2-39-95-27,2425149
2-39-91-441,2425152
2-39-78-360,2425153
2-39-78-361,2425150
2-39-79-383,2425154
2-39-78-363,2425151
2-39-128-18,2425156
2-39-124-22,2425163
2-39-129-17,2425164
2-39-128-562,2425177
2-39-131-565,2425184
2-39-123-23,2425173
2-39-127-19,2425155
2-39-88-438,2425135
2-39-139-567,2425162
2-39-79-380,2425190
2-39-78-366,2425191
2-39-79-377,2425199
2-39-123-557,2425206
2-39-78-362,2425205
2-39-131-30,2425215
2-39-91-437,2425285
