# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 19K of event 'cycles'
# Event count (approx.): 10806273375
#
# Overhead  Command     Shared Object         Symbol                                     
# ........  ..........  ....................  ...........................................
#
    43.64%  python3.10  python3.10            [.] _PyEval_EvalFrameDefault
    21.12%  :2413282    python3.10            [.] _PyEval_EvalFrameDefault
     3.74%  python3.10  python3.10            [.] 0x000000000012161a
     2.41%  :2413282    python3.10            [.] PyObject_RichCompare
     1.12%  python3.10  python3.10            [.] 0x0000000000121590
     0.90%  python3.10  python3.10            [.] 0x0000000000121623
     0.87%  :2413282    python3.10            [.] 0x000000000012161a
     0.84%  :2413282    python3.10            [.] 0x0000000000179c52
     0.75%  python3.10  python3.10            [.] 0x000000000012160b
     0.72%  :2413282    python3.10            [.] 0x0000000000121590
     0.70%  python3.10  python3.10            [.] 0x0000000000121605
     0.62%  python3.10  python3.10            [.] 0x0000000000121613
     0.57%  python3.10  python3.10            [.] 0x0000000000121596
     0.51%  python3.10  python3.10            [.] 0x00000000001215f2
     0.51%  python3.10  python3.10            [.] 0x0000000000121676
     0.50%  python3.10  python3.10            [.] 0x00000000001215c4
     0.45%  :2413282    python3.10            [.] 0x0000000000121676
     0.42%  :2413282    python3.10            [.] 0x0000000000121596
     0.41%  python3.10  python3.10            [.] 0x000000000012160f
     0.41%  python3.10  python3.10            [.] 0x00000000001215f7
     0.39%  python3.10  python3.10            [.] 0x0000000000121616
     0.39%  python3.10  python3.10            [.] 0x0000000000121635
     0.39%  :2413282    python3.10            [.] 0x000000000015b537
     0.37%  python3.10  python3.10            [.] 0x000000000012159b
     0.35%  :2413282    python3.10            [.] 0x0000000000179c4e
     0.33%  :2413282    python3.10            [.] 0x0000000000121730
     0.33%  python3.10  python3.10            [.] 0x0000000000121730
     0.32%  python3.10  python3.10            [.] 0x0000000000121737
     0.31%  python3.10  python3.10            [.] 0x0000000000121679
     0.31%  :2413282    python3.10            [.] 0x00000000001215f2
