# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 10K of event 'cycles'
# Event count (approx.): 4555433993
#
# Overhead  Command     Shared Object         Symbol                                      
# ........  ..........  ....................  ............................................
#
    62.37%  python3.10  python3.10            [.] _PyEval_EvalFrameDefault
     5.74%  python3.10  python3.10            [.] 0x000000000012161a
     2.73%  :2415526    python3.10            [.] _PyEval_EvalFrameDefault
     1.69%  python3.10  python3.10            [.] 0x0000000000121590
     1.35%  python3.10  python3.10            [.] 0x0000000000121613
     1.15%  python3.10  python3.10            [.] 0x0000000000121623
     0.93%  python3.10  python3.10            [.] 0x0000000000121605
     0.87%  python3.10  python3.10            [.] 0x000000000012160b
     0.73%  :2415661    python3.10            [.] _PyEval_EvalFrameDefault
     0.72%  python3.10  python3.10            [.] 0x00000000001215c4
     0.65%  python3.10  python3.10            [.] 0x0000000000121596
     0.64%  python3.10  python3.10            [.] 0x00000000001215f2
     0.63%  python3.10  python3.10            [.] 0x0000000000121676
     0.61%  :2415429    python3.10            [.] _PyEval_EvalFrameDefault
     0.61%  python3.10  python3.10            [.] 0x0000000000121635
     0.60%  python3.10  python3.10            [.] 0x000000000012159b
     0.56%  :2415603    python3.10            [.] _PyEval_EvalFrameDefault
     0.55%  :2415538    python3.10            [.] _PyEval_EvalFrameDefault
     0.54%  python3.10  python3.10            [.] 0x000000000012160f
     0.54%  python3.10  python3.10            [.] 0x0000000000121616
     0.52%  :2415526    python3.10            [.] 0x000000000012161a
     0.52%  :2415637    python3.10            [.] _PyEval_EvalFrameDefault
     0.51%  python3.10  python3.10            [.] 0x0000000000121737
     0.50%  :2415405    python3.10            [.] _PyEval_EvalFrameDefault
     0.50%  python3.10  python3.10            [.] 0x00000000001215f7
     0.48%  python3.10  python3.10            [.] 0x0000000000121638
     0.48%  python3.10  python3.10            [.] 0x0000000000121730
     0.47%  python3.10  python3.10            [.] 0x00000000001215a3
     0.44%  :2415845    python3.10            [.] _PyEval_EvalFrameDefault
     0.44%  :2415451    python3.10            [.] _PyEval_EvalFrameDefault
     0.42%  :2415556    python3.10            [.] _PyEval_EvalFrameDefault
     0.35%  python3.10  python3.10            [.] 0x00000000001215cb
     0.35%  python3.10  python3.10            [.] 0x0000000000121628
     0.35%  python3.10  python3.10            [.] 0x00000000001215dc
     0.34%  :2415393    python3.10            [.] _PyEval_EvalFrameDefault
     0.28%  python3.10  python3.10            [.] 0x0000000000121679
     0.27%  :2415776    python3.10            [.] _PyEval_EvalFrameDefault
     0.26%  python3.10  python3.10            [.] 0x000000000012159d
     0.26%  python3.10  python3.10            [.] 0x00000000001215ab
     0.24%  python3.10  python3.10            [.] 0x000000000012167d
     0.20%  python3.10  python3.10            [.] 0x00000000001215e9
     0.19%  python3.10  python3.10            [.] 0x00000000001215e2
     0.18%  python3.10  python3.10            [.] 0x0000000000121594
     0.17%  python3.10  python3.10            [.] 0x00000000001215bc
     0.17%  python3.10  python3.10            [.] 0x00000000001215a7
     0.16%  python3.10  python3.10            [.] 0x00000000001215e5
     0.14%  :2415526    python3.10            [.] 0x0000000000121590
     0.12%  python3.10  [kernel.kallsyms]     [k] psi_group_change
     0.12%  python3.10  python3.10            [.] 0x00000000001215d8
     0.12%  python3.10  python3.10            [.] 0x0000000000121599
     0.11%  python3.10  python3.10            [.] 0x00000000001215a2
     0.11%  python3.10  python3.10            [.] 0x0000000000121600
     0.11%  python3.10  python3.10            [.] 0x000000000012167b
     0.10%  :2415482    python3.10            [.] _PyEval_EvalFrameDefault
     0.09%  python3.10  python3.10            [.] 0x000000000012166e
     0.08%  python3.10  [kernel.kallsyms]     [k] syscall_return_via_sysret
     0.07%  :2415526    python3.10            [.] 0x00000000001215c4
     0.07%  python3.10  python3.10            [.] 0x00000000001215a6
     0.07%  :2415526    python3.10            [.] 0x0000000000121623
