# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 7K of event 'cycles'
# Event count (approx.): 2917302426
#
# Overhead  Command     Shared Object      Symbol                                     
# ........  ..........  .................  ...........................................
#
    72.13%  python3.10  python3.10         [.] _PyEval_EvalFrameDefault
     2.99%  python3.10  python3.10         [.] 0x000000000012161a
     2.68%  python3.10  python3.10         [.] 0x0000000000121590
     1.75%  python3.10  python3.10         [.] 0x00000000001215c4
     1.49%  python3.10  python3.10         [.] 0x0000000000121605
     0.95%  python3.10  python3.10         [.] 0x0000000000121613
     0.88%  :2426952    python3.10         [.] _PyEval_EvalFrameDefault
     0.77%  python3.10  python3.10         [.] 0x0000000000121730
     0.76%  python3.10  python3.10         [.] 0x00000000001215f2
     0.72%  python3.10  python3.10         [.] 0x0000000000121676
     0.69%  python3.10  python3.10         [.] 0x0000000000121596
     0.56%  python3.10  python3.10         [.] 0x0000000000121737
     0.53%  python3.10  python3.10         [.] 0x000000000012159b
     0.47%  python3.10  python3.10         [.] 0x00000000001215dc
     0.47%  python3.10  python3.10         [.] 0x00000000001215f7
     0.43%  python3.10  python3.10         [.] 0x0000000000121679
     0.39%  python3.10  python3.10         [.] 0x00000000001215cb
     0.38%  python3.10  python3.10         [.] 0x000000000012167d
     0.34%  python3.10  python3.10         [.] 0x000000000012160b
     0.34%  python3.10  python3.10         [.] 0x00000000001215a3
     0.33%  python3.10  python3.10         [.] 0x00000000001215e9
     0.33%  python3.10  python3.10         [.] 0x000000000012159d
     0.31%  python3.10  python3.10         [.] 0x00000000001215ab
     0.28%  python3.10  python3.10         [.] 0x00000000001215a7
     0.25%  python3.10  python3.10         [.] 0x00000000001215bc
     0.23%  python3.10  python3.10         [.] 0x0000000000121616
     0.23%  python3.10  python3.10         [.] 0x00000000001215e5
     0.20%  python3.10  python3.10         [.] 0x00000000001215a2
     0.18%  python3.10  libc.so.6          [.] __GI___strncasecmp_l_sse2
     0.18%  python3.10  [kernel.kallsyms]  [k] perf_event_alloc
     0.18%  python3.10  python3.10         [.] 0x0000000000121594
     0.16%  python3.10  [kernel.kallsyms]  [k] native_sched_clock
     0.16%  python3.10  [kernel.kallsyms]  [k] syscall_exit_to_user_mode
     0.15%  python3.10  [kernel.kallsyms]  [k] perf_event_update_userpage
     0.15%  python3.10  python3.10         [.] 0x000000000012160f
     0.14%  python3.10  python3.10         [.] 0x00000000001215e2
     0.14%  python3.10  python3.10         [.] 0x0000000000121600
     0.14%  python3.10  python3.10         [.] 0x00000000001215d8
     0.13%  python3.10  python3.10         [.] 0x0000000000121599
     0.13%  python3.10  python3.10         [.] 0x000000000012167b
     0.13%  python3.10  [kernel.kallsyms]  [k] psi_group_change
     0.12%  python3.10  python3.10         [.] 0x0000000000121677
     0.12%  python3.10  python3.10         [.] 0x000000000012167f
     0.11%  python3.10  [kernel.kallsyms]  [k] fpregs_assert_state_consistent
     0.10%  python3.10  python3.10         [.] 0x00000000001215b2
     0.09%  python3.10  [kernel.kallsyms]  [k] __update_load_avg_se
     0.09%  python3.10  python3.10         [.] _PyObject_GenericGetAttrWithDict
     0.09%  python3.10  python3.10         [.] 0x00000000001215a6
     0.08%  python3.10  python3.10         [.] 0x00000000001215ed
     0.08%  python3.10  [kernel.kallsyms]  [k] memset_erms
     0.08%  python3.10  [kernel.kallsyms]  [k] visit_groups_merge.constprop.0.isra.0
     0.07%  python3.10  [kernel.kallsyms]  [k] rb_next
     0.07%  python3.10  libc.so.6          [.] __strcat_ssse3
     0.06%  python3.10  python3.10         [.] _PyObject_MakeTpCall
     0.06%  python3.10  [kernel.kallsyms]  [k] zap_pte_range
     0.06%  python3.10  [kernel.kallsyms]  [k] timerqueue_add
     0.06%  python3.10  [kernel.kallsyms]  [k] restore_fpregs_from_fpstate
     0.06%  python3.10  [kernel.kallsyms]  [k] event_sched_in
     0.06%  python3.10  [kernel.kallsyms]  [k] get_timespec64
     0.06%  python3.10  [kernel.kallsyms]  [k] _raw_spin_lock
     0.06%  python3.10  [kernel.kallsyms]  [k] rb_erase
     0.06%  python3.10  [kernel.kallsyms]  [k] intel_put_event_constraints
     0.06%  python3.10  python3.10         [.] _PyObject_GC_New
     0.06%  python3.10  [kernel.kallsyms]  [k] prepare_task_switch
     0.06%  python3.10  [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
     0.06%  python3.10  python3.10         [.] 0x00000000002942ff
     0.06%  python3.10  python3.10         [.] 0x000000000011d510
     0.05%  python3.10  [kernel.kallsyms]  [k] ___perf_sw_event
     0.05%  python3.10  python3.10         [.] 0x00000000001215a0
     0.05%  python3.10  [kernel.kallsyms]  [k] syscall_return_via_sysret
     0.05%  python3.10  [kernel.kallsyms]  [k] asm_sysvec_thermal
     0.05%  python3.10  [kernel.kallsyms]  [k] perf_event_groups_insert
     0.05%  python3.10  python3.10         [.] 0x00000000001215c8
     0.05%  python3.10  python3.10         [.] 0x000000000012290a
     0.05%  python3.10  [kernel.kallsyms]  [k] select_task_rq_fair
     0.05%  :2426952    python3.10         [.] 0x0000000000121590
     0.04%  python3.10  python3.10         [.] _PyObject_LookupSpecial
     0.04%  python3.10  [kernel.kallsyms]  [k] __intel_pmu_enable_all.constprop.0
     0.04%  python3.10  [kernel.kallsyms]  [k] inherit_event.constprop.0
     0.04%  python3.10  [kernel.kallsyms]  [k] __irqentry_text_end
     0.04%  python3.10  python3.10         [.] _PyUnicodeWriter_PrepareInternal
     0.04%  python3.10  python3.10         [.] 0x000000000020bea0
     0.04%  python3.10  [kernel.kallsyms]  [k] rb_insert_color
     0.04%  python3.10  [kernel.kallsyms]  [k] futex_wait
     0.04%  python3.10  [kernel.kallsyms]  [k] __perf_event_task_sched_in
     0.04%  python3.10  libc.so.6          [.] __vstrfmon_l_internal
     0.04%  python3.10  [kernel.kallsyms]  [k] enqueue_entity
     0.04%  python3.10  [kernel.kallsyms]  [k] kmem_cache_alloc_trace
     0.04%  python3.10  [kernel.kallsyms]  [k] futex_wait_setup
     0.04%  python3.10  [kernel.kallsyms]  [k] put_prev_entity
     0.04%  python3.10  libc.so.6          [.] ____wcstof_l_internal
     0.04%  python3.10  libc.so.6          [.] __strncat_ssse3
     0.04%  python3.10  python3.10         [.] 0x000000000017c3fc
     0.04%  python3.10  [kernel.kallsyms]  [k] post_init_entity_util_avg
     0.04%  python3.10  python3.10         [.] _PyFunction_Vectorcall
     0.04%  python3.10  python3.10         [.] 0x0000000000129d3f
     0.04%  python3.10  python3.10         [.] 0x000000000012d084
     0.04%  python3.10  python3.10         [.] 0x000000000027ed4a
     0.04%  python3.10  [kernel.kallsyms]  [k] __get_user_8
     0.04%  python3.10  python3.10         [.] 0x0000000000294a03
     0.04%  python3.10  python3.10         [.] _PyDict_DelItem_KnownHash
     0.04%  python3.10  python3.10         [.] 0x000000000012161d
     0.04%  python3.10  libcrypto.so.3     [.] 0x0000000000308243
