# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 5K of event 'cycles'
# Event count (approx.): 812720660
#
# Overhead  Command     Shared Object                             Symbol                                     
# ........  ..........  ........................................  ...........................................
#
    24.17%  python3.10  python3.10                                [.] _PyEval_EvalFrameDefault
     2.85%  python3.10  python3.10                                [.] _PyObject_MakeTpCall
     1.36%  python3.10  python3.10                                [.] PyList_Append
     1.13%  python3.10  python3.10                                [.] 0x00000000001d4961
     1.11%  python3.10  python3.10                                [.] _PyUnicode_JoinArray
     0.76%  python3.10  python3.10                                [.] PyLong_FromString
     0.68%  python3.10  [kernel.kallsyms]                         [k] perf_event_update_userpage
     0.58%  python3.10  libc.so.6                                 [.] ____wcstof_l_internal
     0.57%  python3.10  python3.10                                [.] 0x0000000000127f5d
     0.55%  python3.10  python3.10                                [.] _PyUnicodeWriter_PrepareInternal
     0.55%  python3.10  libc.so.6                                 [.] __strncat_sse2_unaligned
     0.54%  python3.10  python3.10                                [.] 0x00000000001d48e8
     0.54%  python3.10  [kernel.kallsyms]                         [k] merge_sched_in
     0.52%  python3.10  python3.10                                [.] _PyUnicode_ToDecimalDigit
     0.51%  python3.10  python3.10                                [.] _PyObject_LookupSpecial
     0.51%  python3.10  python3.10                                [.] 0x00000000001d495d
     0.50%  python3.10  python3.10                                [.] 0x0000000000188efb
     0.47%  python3.10  [kernel.kallsyms]                         [k] __tcp_transmit_skb
     0.46%  python3.10  [kernel.kallsyms]                         [k] psi_group_change
     0.45%  python3.10  python3.10                                [.] PyDict_Contains
     0.43%  python3.10  python3.10                                [.] 0x000000000015efdc
     0.41%  python3.10  [kernel.kallsyms]                         [k] visit_groups_merge.constprop.0.isra.0
     0.40%  python3.10  [kernel.kallsyms]                         [k] rb_next
     0.39%  python3.10  python3.10                                [.] _PyUnicodeWriter_Init
     0.38%  python3.10  python3.10                                [.] 0x0000000000174090
     0.37%  python3.10  python3.10                                [.] 0x00000000001732ee
     0.36%  python3.10  python3.10                                [.] 0x000000000017c380
     0.36%  python3.10  python3.10                                [.] 0x00000000001228f6
     0.36%  python3.10  libc.so.6                                 [.] 0x00000000001a0970
     0.36%  python3.10  [kernel.kallsyms]                         [k] event_sched_in
     0.34%  python3.10  python3.10                                [.] 0x0000000000137b1b
     0.34%  python3.10  python3.10                                [.] 0x00000000001d4902
     0.32%  python3.10  python3.10                                [.] 0x000000000020bef5
     0.32%  python3.10  python3.10                                [.] _PyLong_New
     0.32%  python3.10  python3.10                                [.] 0x000000000015b537
     0.31%  python3.10  libc.so.6                                 [.] re_compile_internal
     0.30%  python3.10  [kernel.kallsyms]                         [k] syscall_exit_to_user_mode
     0.30%  python3.10  python3.10                                [.] 0x000000000017a8e0
     0.30%  python3.10  libcrypto.so.3                            [.] OPENSSL_cleanse
     0.28%  python3.10  libc.so.6                                 [.] 0x00000000001a0975
     0.28%  python3.10  python3.10                                [.] 0x000000000017c3fc
     0.28%  python3.10  python3.10                                [.] 0x000000000015f000
     0.27%  python3.10  python3.10                                [.] _PyUnicode_FromASCII
     0.27%  python3.10  python3.10                                [.] _PyObject_GetMethod
     0.27%  python3.10  python3.10                                [.] 0x000000000015b54f
     0.26%  python3.10  python3.10                                [.] 0x000000000020bf65
     0.26%  python3.10  python3.10                                [.] 0x000000000015b546
     0.26%  python3.10  [kernel.kallsyms]                         [k] native_sched_clock
     0.25%  python3.10  [kernel.kallsyms]                         [k] syscall_return_via_sysret
     0.25%  python3.10  python3.10                                [.] 0x000000000018d59d
     0.24%  python3.10  python3.10                                [.] 0x000000000020bea0
     0.24%  python3.10  python3.10                                [.] PyFunction_NewWithQualName
     0.24%  python3.10  [kernel.kallsyms]                         [k] tcp_established_options
     0.24%  python3.10  python3.10                                [.] 0x0000000000137bcf
     0.24%  python3.10  python3.10                                [.] 0x0000000000133924
     0.24%  python3.10  python3.10                                [.] PyNumber_Xor
     0.24%  python3.10  [kernel.kallsyms]                         [k] exit_to_user_mode_prepare
     0.24%  python3.10  python3.10                                [.] 0x00000000001740bb
     0.24%  python3.10  python3.10                                [.] 0x000000000018c0be
     0.23%  python3.10  python3.10                                [.] PyObject_GetBuffer
     0.22%  python3.10  libm.so.6                                 [.] __gammaf_r_finite@GLIBC_2.15
     0.22%  python3.10  [kernel.kallsyms]                         [k] perf_event_groups_first
     0.21%  python3.10  libc.so.6                                 [.] __strcat_ssse3
     0.21%  python3.10  python3.10                                [.] 0x0000000000188dd7
     0.21%  python3.10  [kernel.kallsyms]                         [k] __entry_text_start
     0.21%  python3.10  [kernel.kallsyms]                         [k] entry_SYSCALL_64_after_hwframe
     0.20%  python3.10  libc.so.6                                 [.] parse_qtd_backslash
     0.20%  python3.10  python3.10                                [.] PyUnicode_Decode
     0.20%  python3.10  python3.10                                [.] 0x000000000020beee
     0.20%  python3.10  python3.10                                [.] 0x000000000020bee5
     0.19%  python3.10  python3.10                                [.] 0x0000000000206576
     0.19%  python3.10  python3.10                                [.] 0x000000000015effa
     0.19%  python3.10  python3.10                                [.] 0x000000000017c3aa
     0.19%  python3.10  python3.10                                [.] 0x000000000015ef70
     0.19%  python3.10  python3.10                                [.] 0x000000000016a2a6
     0.19%  python3.10  python3.10                                [.] 0x000000000018d077
     0.19%  python3.10  python3.10                                [.] 0x0000000000188eb7
     0.19%  python3.10  python3.10                                [.] 0x000000000018d151
     0.19%  python3.10  python3.10                                [.] 0x0000000000179570
     0.18%  python3.10  python3.10                                [.] 0x00000000001228d1
     0.18%  python3.10  python3.10                                [.] 0x000000000017c3a6
     0.18%  python3.10  [kernel.kallsyms]                         [k] restore_fpregs_from_fpstate
     0.18%  python3.10  python3.10                                [.] 0x000000000015b506
     0.18%  python3.10  python3.10                                [.] 0x0000000000137a68
     0.18%  python3.10  python3.10                                [.] 0x0000000000152321
     0.18%  python3.10  [kernel.kallsyms]                         [k] tcp_clean_rtx_queue.constprop.0
     0.18%  python3.10  python3.10                                [.] 0x000000000015eff0
     0.17%  python3.10  python3.10                                [.] 0x000000000018d589
     0.17%  python3.10  python3.10                                [.] 0x000000000018d585
     0.17%  python3.10  python3.10                                [.] 0x0000000000179536
     0.17%  python3.10  python3.10                                [.] 0x00000000001894c3
     0.17%  python3.10  python3.10                                [.] PyUnicode_New
     0.17%  python3.10  [kernel.kallsyms]                         [k] ip_skb_dst_mtu
     0.17%  python3.10  [kernel.kallsyms]                         [k] tcp_v4_rcv
     0.17%  python3.10  python3.10                                [.] 0x0000000000120d1a
     0.17%  python3.10  python3.10                                [.] 0x000000000015ef78
     0.17%  python3.10  python3.10                                [.] 0x000000000017956a
     0.17%  python3.10  python3.10                                [.] 0x0000000000188df0
     0.17%  python3.10  python3.10                                [.] 0x0000000000188ec2
     0.17%  python3.10  python3.10                                [.] 0x000000000018d269
     0.17%  python3.10  python3.10                                [.] 0x00000000001b5ac0
     0.17%  python3.10  python3.10                                [.] 0x000000000020bf50
     0.17%  python3.10  libc.so.6                                 [.] ____wcstold_l_internal
     0.17%  python3.10  [kernel.kallsyms]                         [k] memcg_slab_free_hook
     0.17%  python3.10  [kernel.kallsyms]                         [k] do_sys_poll
     0.17%  python3.10  python3.10                                [.] 0x0000000000137a60
     0.17%  python3.10  libcrypto.so.3                            [.] SHA256_Final
     0.16%  python3.10  [kernel.kallsyms]                         [k] raw_local_deliver
     0.16%  python3.10  [kernel.kallsyms]                         [k] set_next_buddy
     0.16%  python3.10  python3.10                                [.] _PyFunction_Vectorcall
     0.16%  python3.10  python3.10                                [.] 0x000000000015b568
     0.16%  python3.10  python3.10                                [.] 0x000000000018d1cb
     0.16%  python3.10  python3.10                                [.] _PyDict_GetItemIdWithError
