# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 6K of event 'cycles'
# Event count (approx.): 1184648822
#
# Overhead  Command     Shared Object                             Symbol                                   
# ........  ..........  ........................................  .........................................
#
    24.19%  python3.10  python3.10                                [.] _PyEval_EvalFrameDefault
     2.52%  python3.10  python3.10                                [.] _PyObject_MakeTpCall
     1.37%  python3.10  python3.10                                [.] _PyUnicode_JoinArray
     0.74%  python3.10  python3.10                                [.] 0x000000000017c3fc
     0.71%  python3.10  python3.10                                [.] PyList_Append
     0.68%  python3.10  python3.10                                [.] 0x00000000001d4961
     0.62%  python3.10  libc.so.6                                 [.] __strncat_sse2_unaligned
     0.59%  python3.10  python3.10                                [.] PyLong_FromString
     0.56%  python3.10  python3.10                                [.] 0x000000000015effa
     0.52%  python3.10  python3.10                                [.] 0x000000000018d589
     0.51%  python3.10  [kernel.kallsyms]                         [k] psi_group_change
     0.50%  python3.10  [kernel.kallsyms]                         [k] merge_sched_in
     0.48%  python3.10  python3.10                                [.] _PyUnicode_InsertThousandsGrouping
     0.47%  python3.10  libc.so.6                                 [.] ____wcstof_l_internal
     0.47%  python3.10  python3.10                                [.] 0x000000000015f020
     0.45%  python3.10  python3.10                                [.] 0x000000000017f87a
     0.44%  python3.10  python3.10                                [.] 0x000000000015b546
     0.44%  python3.10  [kernel.kallsyms]                         [k] perf_event_groups_first
     0.42%  python3.10  python3.10                                [.] 0x000000000015ef70
     0.42%  python3.10  python3.10                                [.] 0x0000000000137b1b
     0.41%  python3.10  [kernel.kallsyms]                         [k] rb_next
     0.40%  python3.10  python3.10                                [.] 0x000000000017958b
     0.39%  python3.10  python3.10                                [.] 0x0000000000127f5d
     0.37%  python3.10  python3.10                                [.] 0x00000000001d495d
     0.36%  python3.10  [kernel.kallsyms]                         [k] entry_SYSCALL_64_after_hwframe
     0.34%  python3.10  python3.10                                [.] 0x000000000020bea0
     0.32%  python3.10  python3.10                                [.] 0x000000000015b506
     0.31%  python3.10  python3.10                                [.] _PyObject_LookupSpecial
     0.30%  python3.10  python3.10                                [.] 0x000000000020bec2
     0.30%  python3.10  [kernel.kallsyms]                         [k] syscall_exit_to_user_mode
     0.30%  python3.10  python3.10                                [.] _PyObject_GetMethod
     0.29%  python3.10  python3.10                                [.] _PyUnicodeWriter_PrepareInternal
     0.29%  python3.10  python3.10                                [.] 0x0000000000137b95
     0.29%  python3.10  python3.10                                [.] 0x000000000020bf65
     0.29%  python3.10  python3.10                                [.] 0x0000000000188d4e
     0.28%  python3.10  libc.so.6                                 [.] ____wcstold_l_internal
     0.28%  python3.10  python3.10                                [.] 0x000000000015efdc
     0.27%  python3.10  python3.10                                [.] 0x000000000015ef7f
     0.27%  python3.10  python3.10                                [.] 0x00000000001740bb
     0.27%  python3.10  libc.so.6                                 [.] 0x00000000001a0951
     0.26%  python3.10  [kernel.kallsyms]                         [k] event_sched_in
     0.26%  python3.10  python3.10                                [.] 0x000000000018d59d
