# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 172K of event 'cycles'
# Event count (approx.): 83401119984
#
# Overhead  Command     Shared Object                             Symbol                                      
# ........  ..........  ........................................  ............................................
#
    72.93%  python3.10  python3.10                                [.] _PyEval_EvalFrameDefault
     3.54%  python3.10  python3.10                                [.] 0x000000000012161a
     2.59%  python3.10  python3.10                                [.] 0x0000000000121590
     1.81%  python3.10  python3.10                                [.] PyObject_RichCompare
     1.24%  python3.10  python3.10                                [.] 0x00000000001215c4
     1.16%  python3.10  python3.10                                [.] 0x0000000000179c52
     1.05%  python3.10  python3.10                                [.] 0x0000000000121605
     0.79%  python3.10  python3.10                                [.] 0x000000000015b546
     0.71%  python3.10  python3.10                                [.] 0x000000000012160b
     0.67%  python3.10  python3.10                                [.] 0x0000000000121613
     0.64%  python3.10  python3.10                                [.] 0x0000000000121676
     0.57%  python3.10  python3.10                                [.] 0x0000000000121623
     0.54%  python3.10  python3.10                                [.] 0x0000000000179c4e
     0.41%  python3.10  python3.10                                [.] 0x000000000012159b
     0.41%  python3.10  python3.10                                [.] 0x00000000001215a3
     0.40%  python3.10  python3.10                                [.] 0x0000000000121737
     0.34%  python3.10  python3.10                                [.] 0x0000000000121730
     0.33%  python3.10  python3.10                                [.] 0x00000000001215ab
     0.31%  python3.10  python3.10                                [.] 0x0000000000121635
     0.29%  python3.10  python3.10                                [.] 0x00000000001215dc
     0.27%  python3.10  python3.10                                [.] 0x000000000012160f
     0.27%  python3.10  python3.10                                [.] 0x00000000001215f7
     0.26%  python3.10  python3.10                                [.] 0x000000000015b53b
     0.26%  python3.10  python3.10                                [.] 0x00000000001215f2
     0.26%  python3.10  python3.10                                [.] 0x0000000000121679
     0.24%  python3.10  python3.10                                [.] 0x00000000001215cb
     0.23%  python3.10  python3.10                                [.] 0x0000000000121628
     0.22%  python3.10  python3.10                                [.] 0x00000000001215e9
     0.22%  python3.10  python3.10                                [.] 0x0000000000121616
     0.22%  python3.10  python3.10                                [.] 0x000000000012167d
     0.18%  python3.10  python3.10                                [.] 0x0000000000121638
     0.17%  python3.10  python3.10                                [.] 0x0000000000121653
     0.15%  python3.10  python3.10                                [.] 0x0000000000121600
     0.14%  python3.10  python3.10                                [.] 0x000000000012167b
     0.12%  python3.10  python3.10                                [.] 0x00000000001215e5
     0.12%  python3.10  python3.10                                [.] 0x0000000000121677
     0.11%  python3.10  [kernel.kallsyms]                         [k] psi_group_change
     0.11%  python3.10  python3.10                                [.] 0x0000000000179c42
     0.10%  python3.10  python3.10                                [.] 0x0000000000121596
     0.09%  python3.10  python3.10                                [.] 0x000000000015b537
     0.08%  python3.10  python3.10                                [.] 0x00000000001215bc
     0.08%  python3.10  python3.10                                [.] 0x00000000001215e2
     0.08%  python3.10  python3.10                                [.] 0x0000000000179be0
     0.08%  python3.10  python3.10                                [.] 0x000000000012167f
     0.07%  python3.10  [kernel.kallsyms]                         [k] syscall_exit_to_user_mode
     0.07%  python3.10  python3.10                                [.] 0x00000000001215a7
     0.07%  python3.10  python3.10                                [.] 0x00000000001215d8
     0.07%  python3.10  python3.10                                [.] 0x0000000000173d50
     0.07%  python3.10  python3.10                                [.] 0x000000000015b506
     0.06%  python3.10  python3.10                                [.] 0x000000000015b568
     0.06%  python3.10  python3.10                                [.] 0x0000000000179c15
     0.06%  python3.10  python3.10                                [.] 0x000000000015b520
     0.06%  python3.10  python3.10                                [.] 0x0000000000121660
     0.05%  python3.10  [kernel.kallsyms]                         [k] entry_SYSCALL_64_after_hwframe
     0.05%  python3.10  python3.10                                [.] 0x000000000015b56e
     0.05%  python3.10  python3.10                                [.] 0x0000000000179bee
     0.05%  python3.10  python3.10                                [.] 0x0000000000179c2e
     0.05%  python3.10  python3.10                                [.] 0x0000000000121740
     0.05%  python3.10  python3.10                                [.] 0x0000000000179c5a
     0.05%  python3.10  python3.10                                [.] 0x0000000000179c02
     0.05%  python3.10  python3.10                                [.] 0x0000000000179be8
     0.05%  python3.10  [kernel.kallsyms]                         [k] merge_sched_in
     0.05%  python3.10  python3.10                                [.] 0x000000000015b557
     0.04%  python3.10  [kernel.kallsyms]                         [k] native_read_msr
     0.04%  python3.10  python3.10                                [.] 0x0000000000121675
     0.04%  python3.10  python3.10                                [.] 0x000000000012166e
     0.04%  python3.10  python3.10                                [.] _PyObject_GetMethod
     0.04%  python3.10  [kernel.kallsyms]                         [k] error_entry
     0.04%  python3.10  python3.10                                [.] 0x000000000012159d
     0.04%  python3.10  python3.10                                [.] 0x000000000015b50e
     0.04%  python3.10  [kernel.kallsyms]                         [k] irqentry_exit_to_user_mode
     0.04%  python3.10  [kernel.kallsyms]                         [k] syscall_return_via_sysret
     0.04%  python3.10  python3.10                                [.] 0x0000000000179c46
     0.04%  python3.10  python3.10                                [.] _PyObject_MakeTpCall
