CS ID,CS PID
2-39-125-21,1915906
2-39-139-28,1915936
2-39-88-438,1915891
2-39-90-440,1915990
2-39-123-23,1915894
2-39-90-26,1915924
2-39-78-362,1915912
2-39-129-563,1915899
2-39-138-566,1915984
2-39-95-444,1915999
2-39-79-383,1916014
2-39-79-380,1915918
2-39-78-366,1915930
2-39-78-361,1916000
2-39-130-31,1915998
2-39-79-381,1916002
2-39-79-379,1916003
2-39-129-17,1916001
2-39-95-27,1916004
2-39-79-382,1916006
2-39-78-360,1916010
2-39-131-565,1916007
2-39-89-439,1915995
2-39-139-567,1916013
2-39-79-376,1916008
2-39-79-377,1916015
2-39-83-387,1916012
2-39-78-364,1916016
2-39-123-557,1916018
2-39-128-562,1916011
2-39-124-558,1916021
2-39-91-441,1916017
2-39-126-20,1916020
2-39-128-18,1916019
2-39-91-437,1916022
2-39-79-378,1916024
2-39-83-386,1915997
2-39-127-19,1916023
2-39-78-363,1916025
2-39-130-564,1916005
2-39-82-384,1916027
2-39-125-559,1916026
2-39-78-365,1916034
2-39-78-367,1916009
2-39-89-25,1916039
2-39-138-29,1916078
2-39-131-30,1916028
2-39-92-436,1916063
2-39-92-442,1916077
2-39-124-22,1916069
2-39-126-560,1916086
2-39-88-24,1916097
2-39-127-561,1916094
