# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 8K of event 'cycles'
# Event count (approx.): 4156881389
#
# Overhead  Command     Shared Object                             Symbol                                   
# ........  ..........  ........................................  .........................................
#
    68.21%  python3.10  python3.10                                [.] _PyEval_EvalFrameDefault
     6.10%  python3.10  python3.10                                [.] 0x000000000012161a
     1.76%  python3.10  python3.10                                [.] 0x0000000000121590
     1.58%  python3.10  python3.10                                [.] 0x0000000000121605
     1.25%  python3.10  python3.10                                [.] 0x0000000000121623
     1.16%  python3.10  python3.10                                [.] 0x0000000000121613
     1.12%  python3.10  python3.10                                [.] 0x000000000012160b
     1.04%  python3.10  python3.10                                [.] 0x00000000001215c4
     0.70%  python3.10  python3.10                                [.] 0x0000000000121676
     0.66%  python3.10  python3.10                                [.] 0x0000000000121635
     0.59%  python3.10  python3.10                                [.] 0x0000000000121730
     0.54%  python3.10  python3.10                                [.] 0x0000000000121638
     0.52%  python3.10  python3.10                                [.] 0x0000000000121737
     0.52%  python3.10  python3.10                                [.] 0x00000000001215a3
     0.51%  python3.10  python3.10                                [.] 0x000000000012159b
     0.47%  python3.10  python3.10                                [.] 0x00000000001215ab
     0.47%  python3.10  python3.10                                [.] 0x0000000000121628
     0.45%  python3.10  python3.10                                [.] 0x000000000012160f
     0.44%  python3.10  python3.10                                [.] 0x00000000001215dc
     0.38%  python3.10  python3.10                                [.] 0x0000000000121600
     0.36%  python3.10  python3.10                                [.] 0x00000000001215cb
     0.31%  python3.10  python3.10                                [.] 0x00000000001215e9
     0.30%  python3.10  python3.10                                [.] 0x0000000000121616
     0.27%  python3.10  python3.10                                [.] 0x000000000012167d
     0.24%  python3.10  python3.10                                [.] _PyObject_MakeTpCall
     0.19%  python3.10  python3.10                                [.] 0x0000000000121679
     0.17%  python3.10  [kernel.kallsyms]                         [k] syscall_exit_to_user_mode
     0.16%  python3.10  python3.10                                [.] 0x00000000001215f2
     0.15%  python3.10  python3.10                                [.] 0x0000000000121677
     0.14%  python3.10  [kernel.kallsyms]                         [k] memset_erms
     0.14%  python3.10  python3.10                                [.] 0x00000000001215e5
     0.12%  python3.10  python3.10                                [.] 0x000000000012167f
     0.12%  python3.10  python3.10                                [.] 0x00000000001215f7
     0.12%  python3.10  python3.10                                [.] _PyObject_GetMethod
     0.11%  python3.10  [kernel.kallsyms]                         [k] psi_group_change
     0.11%  python3.10  [kernel.kallsyms]                         [k] __schedule
     0.11%  python3.10  [kernel.kallsyms]                         [k] event_sched_in
     0.11%  python3.10  libc.so.6                                 [.] ____wcstof_l_internal
     0.10%  python3.10  python3.10                                [.] 0x000000000012166e
     0.10%  python3.10  [kernel.kallsyms]                         [k] syscall_return_via_sysret
     0.10%  python3.10  [kernel.kallsyms]                         [k] __update_load_avg_se
     0.10%  python3.10  python3.10                                [.] _PyUnicode_JoinArray
