# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 7K of event 'cycles'
# Event count (approx.): 3146131731
#
# Overhead  Command     Shared Object                             Symbol                                     
# ........  ..........  ........................................  ...........................................
#
    67.31%  python3.10  python3.10                                [.] _PyEval_EvalFrameDefault
     5.56%  python3.10  python3.10                                [.] 0x000000000012161a
     2.14%  python3.10  python3.10                                [.] 0x0000000000121590
     1.69%  python3.10  python3.10                                [.] 0x0000000000121605
     1.38%  python3.10  python3.10                                [.] 0x00000000001215c4
     1.27%  python3.10  python3.10                                [.] 0x0000000000121613
     1.06%  python3.10  python3.10                                [.] 0x000000000012160b
     1.02%  python3.10  python3.10                                [.] 0x0000000000121623
     0.67%  python3.10  python3.10                                [.] 0x0000000000121635
     0.65%  python3.10  python3.10                                [.] 0x000000000012160f
     0.63%  python3.10  python3.10                                [.] 0x00000000001215ab
     0.62%  python3.10  python3.10                                [.] 0x0000000000121730
     0.61%  python3.10  python3.10                                [.] 0x00000000001215a3
     0.60%  python3.10  python3.10                                [.] 0x0000000000121737
     0.59%  python3.10  python3.10                                [.] 0x0000000000121676
     0.54%  python3.10  python3.10                                [.] 0x000000000012159b
     0.53%  python3.10  python3.10                                [.] 0x00000000001215dc
     0.47%  python3.10  python3.10                                [.] 0x0000000000121628
     0.43%  python3.10  python3.10                                [.] 0x0000000000121638
     0.35%  python3.10  python3.10                                [.] 0x000000000012167d
     0.33%  python3.10  python3.10                                [.] 0x0000000000121616
     0.32%  python3.10  python3.10                                [.] 0x00000000001215e9
     0.29%  python3.10  python3.10                                [.] 0x0000000000121600
     0.25%  python3.10  python3.10                                [.] 0x0000000000121679
     0.24%  python3.10  python3.10                                [.] 0x00000000001215cb
     0.21%  python3.10  python3.10                                [.] 0x00000000001215bc
     0.19%  python3.10  python3.10                                [.] 0x000000000012166e
     0.16%  python3.10  python3.10                                [.] 0x00000000001215e5
     0.14%  python3.10  [kernel.kallsyms]                         [k] psi_group_change
     0.13%  python3.10  python3.10                                [.] 0x0000000000121677
     0.13%  python3.10  python3.10                                [.] _PyObject_MakeTpCall
     0.13%  python3.10  [kernel.kallsyms]                         [k] merge_sched_in
     0.13%  python3.10  [kernel.kallsyms]                         [k] visit_groups_merge.constprop.0.isra.0
     0.13%  python3.10  [kernel.kallsyms]                         [k] memset_erms
     0.12%  python3.10  python3.10                                [.] 0x00000000001215d8
     0.12%  python3.10  python3.10                                [.] 0x00000000001215f7
     0.12%  python3.10  [kernel.kallsyms]                         [k] rb_next
     0.11%  python3.10  python3.10                                [.] 0x00000000001215f2
     0.11%  python3.10  [kernel.kallsyms]                         [k] entry_SYSCALL_64_after_hwframe
     0.11%  python3.10  python3.10                                [.] _PyObject_GetMethod
     0.11%  python3.10  [kernel.kallsyms]                         [k] irqentry_exit_to_user_mode
     0.10%  python3.10  libc.so.6                                 [.] ____wcstold_l_internal
