# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 9K of event 'cycles'
# Event count (approx.): 1932655567
#
# Overhead  Command     Shared Object                             Symbol                                   
# ........  ..........  ........................................  .........................................
#
    18.16%  python3.10  python3.10                                [.] _PyEval_EvalFrameDefault
     2.08%  python3.10  python3.10                                [.] _PyObject_MakeTpCall
     1.11%  python3.10  [kernel.kallsyms]                         [k] syscall_exit_to_user_mode
     1.07%  python3.10  [kernel.kallsyms]                         [k] perf_event_update_userpage
     0.98%  python3.10  python3.10                                [.] _PyObject_GetMethod
     0.97%  python3.10  [kernel.kallsyms]                         [k] entry_SYSCALL_64_after_hwframe
     0.94%  python3.10  python3.10                                [.] _PyUnicode_JoinArray
     0.94%  python3.10  [kernel.kallsyms]                         [k] event_sched_in
     0.94%  python3.10  [kernel.kallsyms]                         [k] psi_group_change
     0.89%  python3.10  python3.10                                [.] 0x00000000001d4961
     0.84%  python3.10  python3.10                                [.] PyLong_FromString
     0.82%  python3.10  [kernel.kallsyms]                         [k] syscall_return_via_sysret
     0.76%  python3.10  [kernel.kallsyms]                         [k] merge_sched_in
     0.71%  python3.10  python3.10                                [.] PyList_Append
     0.69%  python3.10  [kernel.kallsyms]                         [k] rb_next
     0.68%  python3.10  [kernel.kallsyms]                         [k] visit_groups_merge.constprop.0.isra.0
     0.64%  python3.10  python3.10                                [.] PyTraceBack_Here
     0.59%  python3.10  python3.10                                [.] 0x00000000001d495d
     0.56%  python3.10  [kernel.kallsyms]                         [k] perf_event_groups_first
     0.51%  python3.10  libc.so.6                                 [.] ____wcstof_l_internal
     0.47%  python3.10  python3.10                                [.] 0x000000000020bef5
     0.47%  python3.10  [kernel.kallsyms]                         [k] __schedule
     0.46%  python3.10  python3.10                                [.] 0x000000000017c3fc
     0.42%  python3.10  python3.10                                [.] 0x00000000001740bb
     0.41%  python3.10  [kernel.kallsyms]                         [k] do_poll.constprop.0
     0.40%  python3.10  python3.10                                [.] 0x000000000015b546
     0.40%  python3.10  python3.10                                [.] 0x0000000000137b1b
     0.40%  python3.10  [kernel.kallsyms]                         [k] dequeue_task_fair
     0.39%  python3.10  python3.10                                [.] _PyObject_GenericGetAttrWithDict
     0.39%  python3.10  [kernel.kallsyms]                         [k] __perf_event_task_sched_in
     0.38%  python3.10  python3.10                                [.] 0x0000000000174090
     0.38%  python3.10  [kernel.kallsyms]                         [k] sock_poll
     0.36%  python3.10  libc.so.6                                 [.] re_search_internal
     0.36%  python3.10  [kernel.kallsyms]                         [k] perf_swevent_add
     0.36%  python3.10  [kernel.kallsyms]                         [k] iterate_groups
     0.35%  python3.10  [kernel.kallsyms]                         [k] native_sched_clock
     0.34%  python3.10  libc.so.6                                 [.] __strncpy_sse2_unaligned
     0.34%  python3.10  python3.10                                [.] 0x000000000015effa
     0.33%  python3.10  [kernel.kallsyms]                         [k] do_sys_poll
     0.32%  python3.10  [kernel.kallsyms]                         [k] ctx_sched_in
     0.31%  python3.10  python3.10                                [.] PyType_GenericAlloc
     0.31%  python3.10  [kernel.kallsyms]                         [k] __fget_files
     0.30%  python3.10  python3.10                                [.] _PyUnicodeWriter_PrepareInternal
     0.30%  python3.10  [kernel.kallsyms]                         [k] _raw_spin_lock
     0.30%  python3.10  libc.so.6                                 [.] __vstrfmon_l_internal
     0.30%  python3.10  python3.10                                [.] 0x00000000001d48e8
     0.29%  python3.10  python3.10                                [.] 0x00000000001795fe
     0.29%  python3.10  python3.10                                [.] 0x000000000018d589
     0.28%  python3.10  [kernel.kallsyms]                         [k] psi_task_switch
     0.28%  python3.10  libc.so.6                                 [.] ____wcstold_l_internal
     0.26%  python3.10  python3.10                                [.] _PyObject_LookupSpecial
     0.26%  python3.10  python3.10                                [.] PyDict_Contains
     0.26%  python3.10  python3.10                                [.] _PyFunction_Vectorcall
     0.25%  python3.10  libc.so.6                                 [.] parse_qtd_backslash
     0.25%  python3.10  libc.so.6                                 [.] __GI___strncasecmp_l_sse2
     0.25%  python3.10  [kernel.kallsyms]                         [k] __update_load_avg_se
     0.25%  python3.10  python3.10                                [.] 0x00000000001b640a
     0.24%  python3.10  [kernel.kallsyms]                         [k] perf_event_update_time
     0.24%  python3.10  python3.10                                [.] 0x000000000020bea0
     0.23%  python3.10  libc.so.6                                 [.] __netlink_request
     0.23%  python3.10  libc.so.6                                 [.] setsourcefilter
     0.23%  python3.10  [kernel.kallsyms]                         [k] update_load_avg
     0.23%  python3.10  python3.10                                [.] 0x000000000015ef70
     0.22%  python3.10  python3.10                                [.] 0x000000000018d59d
     0.22%  python3.10  [kernel.kallsyms]                         [k] do_syscall_64
     0.22%  python3.10  python3.10                                [.] 0x00000000001228d1
     0.22%  python3.10  [kernel.kallsyms]                         [k] native_write_msr
     0.22%  python3.10  [kernel.kallsyms]                         [k] __calc_delta
     0.22%  python3.10  python3.10                                [.] 0x00000000001228f6
     0.22%  python3.10  [kernel.kallsyms]                         [k] restore_fpregs_from_fpstate
     0.22%  python3.10  python3.10                                [.] 0x00000000001b63ff
     0.21%  python3.10  python3.10                                [.] 0x0000000000127f5d
     0.21%  python3.10  [kernel.kallsyms]                         [k] perf_log_itrace_start
     0.21%  python3.10  python3.10                                [.] PyObject_GetAttr
     0.21%  python3.10  python3.10                                [.] _PyUnicode_InsertThousandsGrouping
     0.21%  python3.10  libc.so.6                                 [.] __stpncpy_sse2_unaligned
     0.20%  python3.10  [kernel.kallsyms]                         [k] update_cfs_group
     0.20%  python3.10  python3.10                                [.] 0x000000000018d151
     0.20%  python3.10  python3.10                                [.] _PyErr_NormalizeException
     0.20%  python3.10  python3.10                                [.] 0x0000000000188efb
     0.20%  python3.10  python3.10                                [.] 0x0000000000188e99
     0.20%  python3.10  [kernel.kallsyms]                         [k] prepare_task_switch
     0.19%  python3.10  libc.so.6                                 [.] re_compile_internal
     0.19%  python3.10  [kernel.kallsyms]                         [k] arch_perf_update_userpage
     0.19%  python3.10  [kernel.kallsyms]                         [k] __fget_light
     0.19%  python3.10  python3.10                                [.] 0x000000000017958b
     0.19%  python3.10  python3.10                                [.] PyFunction_NewWithQualName
     0.18%  python3.10  [kernel.kallsyms]                         [k] _raw_spin_lock_irqsave
     0.18%  python3.10  python3.10                                [.] 0x0000000000188ef6
     0.18%  python3.10  [kernel.kallsyms]                         [k] __cgroup_bpf_run_filter_skb
     0.18%  python3.10  [kernel.kallsyms]                         [k] __get_user_8
     0.18%  python3.10  [kernel.kallsyms]                         [k] tcp_clean_rtx_queue.constprop.0
     0.18%  python3.10  python3.10                                [.] _PyErr_SetObject
     0.17%  python3.10  python3.10                                [.] 0x0000000000121653
     0.17%  python3.10  libc.so.6                                 [.] __strcat_ssse3
     0.17%  python3.10  python3.10                                [.] 0x000000000020bf65
     0.17%  python3.10  python3.10                                [.] _PyUnicode_FromASCII
     0.17%  python3.10  [kernel.kallsyms]                         [k] copy_user_enhanced_fast_string
     0.17%  python3.10  [kernel.kallsyms]                         [k] ktime_get_ts64
     0.17%  python3.10  python3.10                                [.] PyUnicode_Decode
     0.16%  python3.10  python3.10                                [.] 0x000000000015f020
     0.16%  python3.10  [kernel.kallsyms]                         [k] __tcp_transmit_skb
     0.16%  python3.10  python3.10                                [.] 0x0000000000127f54
     0.16%  python3.10  [kernel.kallsyms]                         [k] update_curr
     0.16%  python3.10  python3.10                                [.] 0x0000000000137a60
     0.16%  python3.10  python3.10                                [.] 0x000000000017f87a
     0.16%  python3.10  libc.so.6                                 [.] 0x00000000001a0940
     0.16%  python3.10  python3.10                                [.] 0x0000000000188dd7
     0.16%  python3.10  libc.so.6                                 [.] 0x00000000001a1100
     0.15%  python3.10  python3.10                                [.] 0x000000000012161a
     0.15%  python3.10  python3.10                                [.] 0x000000000020bf52
     0.15%  python3.10  [kernel.kallsyms]                         [k] dequeue_task
     0.15%  python3.10  [kernel.kallsyms]                         [k] ip_finish_output2
     0.15%  python3.10  python3.10                                [.] PyNumber_Xor
     0.15%  python3.10  python3.10                                [.] 0x000000000011b315
     0.15%  python3.10  python3.10                                [.] 0x0000000000188d97
     0.15%  python3.10  python3.10                                [.] 0x0000000000188de4
     0.15%  python3.10  python3.10                                [.] 0x000000000015efc7
     0.14%  python3.10  python3.10                                [.] 0x0000000000188e95
     0.14%  python3.10  python3.10                                [.] 0x000000000018c04e
     0.14%  python3.10  [kernel.kallsyms]                         [k] __pollwait
     0.14%  python3.10  python3.10                                [.] _PyBytes_Resize
     0.14%  python3.10  python3.10                                [.] 0x000000000018d596
     0.14%  python3.10  python3.10                                [.] 0x00000000001740af
     0.14%  python3.10  [kernel.kallsyms]                         [k] x86_pmu_disable
     0.14%  python3.10  [kernel.kallsyms]                         [k] read_tsc
     0.13%  python3.10  python3.10                                [.] 0x000000000017c3aa
     0.13%  python3.10  libcrypto.so.3                            [.] OPENSSL_cleanse
     0.13%  python3.10  python3.10                                [.] 0x0000000000206c7a
     0.13%  python3.10  python3.10                                [.] 0x00000000001f603b
     0.13%  python3.10  [kernel.kallsyms]                         [k] tcp_cleanup_rbuf
     0.13%  python3.10  [kernel.kallsyms]                         [k] __ip_queue_xmit
     0.13%  python3.10  python3.10                                [.] 0x000000000018d165
     0.12%  python3.10  python3.10                                [.] 0x0000000000121590
     0.12%  python3.10  libc.so.6                                 [.] parse_expression
     0.12%  python3.10  [kernel.kallsyms]                         [k] calc_timer_values
     0.12%  python3.10  python3.10                                [.] 0x0000000000179553
     0.12%  python3.10  [kernel.kallsyms]                         [k] perf_pmu_nop_int
     0.12%  python3.10  python3.10                                [.] 0x0000000000122870
     0.12%  python3.10  python3.10                                [.] 0x000000000017c3a6
     0.12%  python3.10  python3.10                                [.] 0x00000000001732de
     0.12%  python3.10  python3.10                                [.] 0x00000000001d48d0
     0.12%  python3.10  [kernel.kallsyms]                         [k] perf_pmu_nop_txn
     0.12%  python3.10  python3.10                                [.] 0x000000000015ef86
     0.11%  python3.10  python3.10                                [.] 0x00000000002942ff
     0.11%  python3.10  libcrypto.so.3                            [.] 0x0000000000256270
     0.11%  python3.10  python3.10                                [.] PyEval_SaveThread
     0.11%  python3.10  [kernel.kallsyms]                         [k] dequeue_entity
     0.11%  python3.10  python3.10                                [.] PySequence_List
     0.11%  python3.10  python3.10                                [.] PySlice_New
     0.11%  python3.10  python3.10                                [.] 0x000000000018d5b6
     0.11%  python3.10  [kernel.kallsyms]                         [k] do_vfs_ioctl
     0.11%  python3.10  python3.10                                [.] _PyUnicodeWriter_Init
     0.11%  python3.10  python3.10                                [.] PyEval_RestoreThread
     0.11%  python3.10  python3.10                                [.] 0x000000000015efdc
     0.11%  python3.10  python3.10                                [.] 0x000000000020beee
     0.11%  python3.10  [kernel.kallsyms]                         [k] __fdget
     0.11%  python3.10  python3.10                                [.] 0x000000000011e957
     0.11%  python3.10  python3.10                                [.] 0x0000000000137a66
     0.11%  python3.10  python3.10                                [.] 0x000000000015ef7f
     0.11%  python3.10  python3.10                                [.] 0x000000000015b53b
     0.11%  python3.10  python3.10                                [.] 0x000000000018d155
     0.11%  python3.10  libc.so.6                                 [.] 0x00000000001a0951
     0.11%  python3.10  python3.10                                [.] 0x0000000000140a95
     0.11%  python3.10  python3.10                                [.] 0x0000000000137a88
     0.11%  python3.10  python3.10                                [.] 0x000000000018c028
     0.11%  python3.10  [kernel.kallsyms]                         [k] switch_fpu_return
     0.11%  python3.10  [kernel.kallsyms]                         [k] reweight_entity
     0.11%  python3.10  python3.10                                [.] 0x00000000001740a1
     0.10%  python3.10  python3.10                                [.] 0x0000000000188d7f
     0.10%  python3.10  python3.10                                [.] 0x000000000011d510
     0.10%  python3.10  [kernel.kallsyms]                         [k] tcp_rcv_established
     0.10%  python3.10  python3.10                                [.] 0x000000000011b2f6
     0.10%  python3.10  [kernel.kallsyms]                         [k] skb_page_frag_refill
     0.10%  python3.10  python3.10                                [.] 0x000000000018c0a9
     0.10%  python3.10  [kernel.kallsyms]                         [k] pick_next_task_fair
     0.10%  python3.10  [kernel.kallsyms]                         [k] __alloc_skb
     0.10%  python3.10  [kernel.kallsyms]                         [k] exit_to_user_mode_prepare
     0.10%  python3.10  [kernel.kallsyms]                         [k] poll_freewait
     0.10%  python3.10  [kernel.kallsyms]                         [k] __sys_recvfrom
     0.10%  python3.10  python3.10                                [.] PyObject_GC_Del
     0.10%  python3.10  python3.10                                [.] 0x0000000000137ad2
     0.10%  python3.10  libc.so.6                                 [.] 0x000000000019d981
     0.10%  python3.10  [kernel.kallsyms]                         [k] tcp_write_xmit
     0.10%  python3.10  libc.so.6                                 [.] 0x00000000001a0986
     0.10%  python3.10  python3.10                                [.] 0x000000000015b506
     0.10%  python3.10  [kernel.kallsyms]                         [k] finish_task_switch.isra.0
     0.10%  python3.10  python3.10                                [.] 0x0000000000188dec
     0.10%  python3.10  [kernel.kallsyms]                         [k] timerqueue_add
     0.10%  python3.10  [kernel.kallsyms]                         [k] rcu_read_unlock_strict
     0.10%  python3.10  python3.10                                [.] 0x0000000000188dd3
     0.09%  python3.10  python3.10                                [.] _PyLong_New
     0.09%  python3.10  [kernel.kallsyms]                         [k] __update_load_avg_cfs_rq
     0.09%  python3.10  python3.10                                [.] PyUnicode_Substring
     0.09%  python3.10  python3.10                                [.] 0x0000000000122901
     0.09%  python3.10  python3.10                                [.] 0x0000000000137aa0
     0.09%  python3.10  libc.so.6                                 [.] 0x00000000001a1104
     0.09%  python3.10  python3.10                                [.] 0x0000000000121734
     0.09%  python3.10  python3.10                                [.] 0x0000000000127f59
     0.09%  python3.10  [kernel.kallsyms]                         [k] __hrtimer_init
     0.09%  python3.10  [kernel.kallsyms]                         [k] select_estimate_accuracy
     0.09%  python3.10  libc.so.6                                 [.] 0x0000000000199efd
     0.09%  python3.10  python3.10                                [.] 0x00000000002cfed2
     0.09%  python3.10  [kernel.kallsyms]                         [k] __entry_text_start
     0.09%  python3.10  python3.10                                [.] PyUnicode_New
     0.09%  python3.10  [kernel.kallsyms]                         [k] rb_insert_color
     0.09%  python3.10  python3.10                                [.] 0x0000000000188d4e
     0.09%  python3.10  python3.10                                [.] 0x0000000000137af0
     0.09%  python3.10  python3.10                                [.] 0x0000000000241485
     0.09%  python3.10  libcrypto.so.3                            [.] 0x00000000003080f9
     0.09%  python3.10  [kernel.kallsyms]                         [k] tcp_poll
     0.08%  python3.10  python3.10                                [.] 0x0000000000188e69
     0.08%  python3.10  python3.10                                [.] 0x0000000000122820
