CS ID,CS PID
2-39-79-378,1939066
2-39-127-561,1939038
2-39-90-26,1939053
2-39-89-439,1939071
2-39-95-27,1939058
2-39-79-376,1939076
2-39-91-441,1939086
2-39-125-21,1939073
2-39-78-363,1939087
2-39-128-18,1939072
2-39-78-360,1939074
2-39-92-436,1939078
2-39-79-379,1939065
2-39-92-442,1938988
2-39-139-28,1939080
2-39-129-17,1939090
2-39-79-382,1939070
2-39-95-444,1939069
2-39-123-23,1939079
2-39-126-560,1939088
2-39-89-25,1938991
2-39-138-29,1939077
2-39-124-22,1939075
2-39-139-567,1939048
2-39-78-364,1939064
2-39-79-383,1939089
2-39-83-386,1939067
2-39-128-562,1939068
2-39-79-380,1939091
2-39-78-361,1939092
2-39-83-387,1939093
2-39-91-437,1939095
2-39-88-438,1939094
2-39-131-30,1939105
2-39-78-362,1939147
2-39-130-31,1939159
2-39-78-366,1939167
2-39-130-564,1939168
2-39-123-557,1939208
2-39-90-440,1939171
2-39-126-20,1939232
2-39-131-565,1939191
2-39-78-365,1939199
2-39-125-559,1939223
2-39-82-384,1939185
2-39-88-24,1939236
2-39-124-558,1939246
2-39-78-367,1939253
2-39-79-377,1939260
2-39-138-566,1939266
2-39-127-19,1939270
2-39-79-381,1939275
2-39-129-563,1939278
