# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 20K of event 'cycles'
# Event count (approx.): 11376631099
#
# Overhead  Command     Shared Object         Symbol                                     
# ........  ..........  ....................  ...........................................
#
    64.63%  python3.10  python3.10            [.] _PyEval_EvalFrameDefault
     5.16%  python3.10  python3.10            [.] 0x000000000012161a
     3.80%  python3.10  python3.10            [.] 0x0000000000121590
     1.93%  python3.10  python3.10            [.] PyObject_RichCompare
     1.37%  python3.10  python3.10            [.] 0x0000000000121605
     1.26%  python3.10  python3.10            [.] 0x00000000001215c4
     1.13%  python3.10  python3.10            [.] 0x0000000000179c52
     1.00%  python3.10  python3.10            [.] 0x0000000000121613
     0.95%  python3.10  python3.10            [.] 0x000000000012160b
     0.94%  python3.10  python3.10            [.] 0x0000000000121676
     0.77%  python3.10  python3.10            [.] 0x0000000000121623
     0.64%  python3.10  python3.10            [.] 0x000000000012159b
     0.60%  python3.10  python3.10            [.] 0x000000000015b546
     0.60%  python3.10  python3.10            [.] 0x0000000000121730
     0.56%  python3.10  python3.10            [.] 0x00000000001215a3
     0.55%  python3.10  python3.10            [.] 0x0000000000121737
     0.54%  python3.10  python3.10            [.] 0x00000000001215f2
     0.49%  python3.10  python3.10            [.] 0x00000000001215dc
     0.48%  python3.10  python3.10            [.] 0x0000000000121635
     0.45%  python3.10  python3.10            [.] 0x00000000001215ab
     0.43%  python3.10  python3.10            [.] 0x00000000001215f7
     0.42%  python3.10  python3.10            [.] 0x0000000000121679
     0.39%  python3.10  python3.10            [.] 0x0000000000121616
     0.38%  python3.10  python3.10            [.] 0x0000000000121596
     0.36%  python3.10  python3.10            [.] 0x000000000012167d
     0.34%  python3.10  python3.10            [.] 0x000000000012160f
     0.30%  python3.10  python3.10            [.] 0x00000000001215cb
     0.28%  python3.10  python3.10            [.] 0x00000000001215e9
     0.24%  python3.10  python3.10            [.] 0x0000000000121628
     0.22%  python3.10  python3.10            [.] 0x0000000000121600
     0.22%  python3.10  python3.10            [.] 0x000000000012159d
     0.21%  python3.10  python3.10            [.] 0x0000000000179c4e
     0.20%  python3.10  python3.10            [.] 0x0000000000121638
     0.20%  python3.10  python3.10            [.] 0x00000000001215e5
     0.16%  python3.10  python3.10            [.] 0x00000000001215bc
     0.16%  python3.10  python3.10            [.] 0x000000000015b537
     0.16%  python3.10  python3.10            [.] 0x000000000012167f
     0.15%  python3.10  python3.10            [.] 0x000000000012167b
     0.15%  python3.10  python3.10            [.] 0x00000000001215a7
     0.13%  python3.10  python3.10            [.] 0x00000000001215e2
     0.12%  python3.10  python3.10            [.] 0x0000000000179c02
     0.12%  python3.10  python3.10            [.] 0x000000000012166e
     0.12%  python3.10  python3.10            [.] 0x0000000000121594
     0.12%  python3.10  python3.10            [.] 0x00000000001215a2
     0.12%  python3.10  python3.10            [.] 0x0000000000121653
     0.12%  python3.10  python3.10            [.] 0x0000000000179c46
     0.11%  python3.10  python3.10            [.] 0x0000000000121677
     0.11%  python3.10  python3.10            [.] 0x000000000015b541
     0.11%  python3.10  python3.10            [.] 0x0000000000173d50
     0.10%  python3.10  python3.10            [.] 0x0000000000179be0
     0.10%  python3.10  python3.10            [.] 0x000000000015b53b
     0.10%  python3.10  python3.10            [.] 0x00000000001215d8
     0.09%  python3.10  python3.10            [.] _PyObject_GetMethod
     0.09%  python3.10  python3.10            [.] 0x000000000015b500
     0.09%  python3.10  python3.10            [.] 0x0000000000121667
     0.08%  python3.10  python3.10            [.] 0x0000000000173d58
     0.07%  python3.10  python3.10            [.] 0x00000000001215a0
     0.07%  python3.10  python3.10            [.] 0x0000000000179c5a
     0.07%  python3.10  python3.10            [.] 0x000000000015b506
     0.07%  python3.10  python3.10            [.] 0x0000000000179c0e
     0.07%  python3.10  python3.10            [.] _PyObject_MakeTpCall
     0.07%  python3.10  [kernel.kallsyms]     [k] merge_sched_in
     0.07%  python3.10  python3.10            [.] 0x000000000015b56e
     0.06%  python3.10  [kernel.kallsyms]     [k] psi_group_change
     0.06%  python3.10  python3.10            [.] 0x000000000015b520
