# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 13K of event 'cycles'
# Event count (approx.): 5606804595
#
# Overhead  Command     Shared Object                             Symbol                                   
# ........  ..........  ........................................  .........................................
#
    66.85%  python3.10  python3.10                                [.] _PyEval_EvalFrameDefault
     4.29%  python3.10  python3.10                                [.] 0x000000000012161a
     4.11%  python3.10  python3.10                                [.] 0x0000000000121590
     1.52%  python3.10  python3.10                                [.] 0x0000000000121605
     1.20%  python3.10  python3.10                                [.] 0x00000000001215c4
     1.04%  python3.10  python3.10                                [.] 0x0000000000121613
     0.83%  python3.10  python3.10                                [.] 0x000000000012160b
     0.77%  python3.10  python3.10                                [.] 0x0000000000121623
     0.69%  python3.10  python3.10                                [.] 0x0000000000121676
     0.61%  python3.10  python3.10                                [.] 0x000000000012159b
     0.61%  python3.10  python3.10                                [.] 0x0000000000121730
     0.54%  :1941583    python3.10                                [.] _PyEval_EvalFrameDefault
     0.53%  python3.10  python3.10                                [.] 0x0000000000121737
     0.50%  python3.10  python3.10                                [.] 0x00000000001215ab
     0.50%  :1941698    python3.10                                [.] _PyEval_EvalFrameDefault
     0.50%  python3.10  python3.10                                [.] 0x0000000000121596
     0.48%  :1941774    python3.10                                [.] _PyEval_EvalFrameDefault
     0.46%  :1941546    python3.10                                [.] _PyEval_EvalFrameDefault
     0.45%  :1941103    python3.10                                [.] _PyEval_EvalFrameDefault
     0.45%  :1941492    python3.10                                [.] _PyEval_EvalFrameDefault
     0.44%  :1941616    python3.10                                [.] _PyEval_EvalFrameDefault
     0.44%  python3.10  python3.10                                [.] 0x00000000001215a3
     0.44%  python3.10  python3.10                                [.] 0x00000000001215f2
     0.41%  python3.10  python3.10                                [.] 0x00000000001215dc
     0.41%  :1941745    python3.10                                [.] _PyEval_EvalFrameDefault
     0.40%  :1941397    python3.10                                [.] _PyEval_EvalFrameDefault
     0.40%  :1941524    python3.10                                [.] _PyEval_EvalFrameDefault
     0.33%  python3.10  python3.10                                [.] 0x000000000012167d
     0.32%  python3.10  python3.10                                [.] 0x0000000000121635
     0.30%  python3.10  python3.10                                [.] 0x0000000000121616
     0.28%  python3.10  python3.10                                [.] 0x00000000001215f7
     0.28%  python3.10  python3.10                                [.] 0x00000000001215cb
     0.28%  :1941650    python3.10                                [.] _PyEval_EvalFrameDefault
     0.28%  :1941719    python3.10                                [.] _PyEval_EvalFrameDefault
     0.27%  python3.10  python3.10                                [.] 0x000000000012160f
     0.26%  python3.10  python3.10                                [.] 0x00000000001215e9
     0.26%  python3.10  python3.10                                [.] 0x000000000012159d
     0.23%  python3.10  python3.10                                [.] 0x00000000001215e2
     0.20%  python3.10  python3.10                                [.] 0x0000000000121628
     0.18%  python3.10  python3.10                                [.] 0x0000000000121638
     0.17%  python3.10  python3.10                                [.] 0x0000000000121679
     0.16%  python3.10  python3.10                                [.] 0x00000000001215e5
     0.13%  python3.10  python3.10                                [.] 0x00000000001215a2
     0.12%  python3.10  python3.10                                [.] 0x00000000001215d8
     0.12%  python3.10  python3.10                                [.] 0x0000000000121594
     0.12%  python3.10  python3.10                                [.] 0x00000000001215bc
     0.11%  python3.10  python3.10                                [.] 0x0000000000121600
     0.11%  python3.10  python3.10                                [.] 0x000000000012167f
     0.11%  python3.10  python3.10                                [.] 0x00000000001215a7
     0.09%  python3.10  python3.10                                [.] 0x0000000000121677
     0.09%  :1941698    python3.10                                [.] 0x0000000000121590
     0.09%  python3.10  python3.10                                [.] 0x000000000012166e
     0.08%  python3.10  python3.10                                [.] 0x000000000012167b
     0.07%  python3.10  python3.10                                [.] 0x0000000000121599
     0.07%  python3.10  [kernel.kallsyms]                         [k] syscall_exit_to_user_mode
     0.06%  python3.10  python3.10                                [.] 0x00000000001215b2
     0.06%  python3.10  [kernel.kallsyms]                         [k] __perf_event_task_sched_in
     0.06%  python3.10  [kernel.kallsyms]                         [k] rb_next
     0.06%  python3.10  [kernel.kallsyms]                         [k] memset_erms
     0.06%  python3.10  [kernel.kallsyms]                         [k] psi_group_change
     0.06%  python3.10  [kernel.kallsyms]                         [k] __irqentry_text_end
     0.06%  :1941616    python3.10                                [.] 0x000000000012161a
     0.06%  python3.10  python3.10                                [.] _PyObject_GetMethod
     0.05%  :1941492    python3.10                                [.] 0x0000000000121590
     0.05%  :1941524    python3.10                                [.] 0x0000000000121590
     0.05%  python3.10  [kernel.kallsyms]                         [k] rb_insert_color
     0.05%  python3.10  [kernel.kallsyms]                         [k] inherit_event.constprop.0
     0.05%  python3.10  python3.10                                [.] 0x00000000001215c0
     0.05%  python3.10  python3.10                                [.] 0x00000000001215a6
     0.04%  :1941524    python3.10                                [.] 0x000000000012161a
     0.04%  python3.10  python3.10                                [.] _PyObject_MakeTpCall
     0.04%  python3.10  python3.10                                [.] 0x0000000000121734
     0.04%  :1941397    python3.10                                [.] 0x0000000000121590
     0.04%  python3.10  [kernel.kallsyms]                         [k] error_entry
     0.04%  python3.10  python3.10                                [.] 0x00000000001215a0
     0.04%  python3.10  [kernel.kallsyms]                         [k] perf_event_update_userpage
     0.04%  :1941546    python3.10                                [.] 0x000000000012161a
     0.03%  :1941492    python3.10                                [.] 0x000000000012161a
     0.03%  :1941583    python3.10                                [.] 0x000000000012161a
     0.03%  :1941583    python3.10                                [.] 0x0000000000121605
     0.03%  :1941103    python3.10                                [.] 0x0000000000121590
     0.03%  python3.10  [kernel.kallsyms]                         [k] update_curr
     0.03%  python3.10  [kernel.kallsyms]                         [k] sync_regs
     0.03%  :1941745    python3.10                                [.] 0x000000000012160b
     0.03%  :1941698    python3.10                                [.] 0x0000000000121737
     0.03%  python3.10  [kernel.kallsyms]                         [k] asm_sysvec_apic_timer_interrupt
     0.03%  :1941745    python3.10                                [.] 0x0000000000121613
     0.03%  python3.10  [kernel.kallsyms]                         [k] perf_event_alloc
     0.03%  :1941103    python3.10                                [.] 0x000000000012161a
     0.03%  python3.10  libc.so.6                                 [.] __strcat_ssse3
     0.03%  python3.10  [kernel.kallsyms]                         [k] perf_event_groups_first
     0.03%  python3.10  [kernel.kallsyms]                         [k] event_sched_in
     0.03%  :1941650    python3.10                                [.] 0x000000000012161a
     0.03%  python3.10  python3.10                                [.] _PyUnicodeWriter_PrepareInternal
     0.03%  python3.10  python3.10                                [.] _PyObject_GenericGetAttrWithDict
     0.03%  python3.10  python3.10                                [.] _PyObject_LookupSpecial
     0.02%  python3.10  libc.so.6                                 [.] ____wcstold_l_internal
     0.02%  python3.10  libc.so.6                                 [.] __GI___strncasecmp_l_sse2
     0.02%  :1941719    python3.10                                [.] 0x0000000000121737
     0.02%  :1941546    python3.10                                [.] 0x0000000000121590
     0.02%  python3.10  [kernel.kallsyms]                         [k] cgroup_post_fork
     0.02%  python3.10  [kernel.kallsyms]                         [k] update_load_avg
     0.02%  python3.10  python3.10                                [.] PyObject_RichCompare
     0.02%  :1941650    python3.10                                [.] 0x0000000000121605
     0.02%  :1941698    python3.10                                [.] 0x0000000000121676
     0.02%  :1941583    python3.10                                [.] 0x000000000012160b
     0.02%  :1941103    python3.10                                [.] 0x000000000012160b
     0.02%  :1941616    python3.10                                [.] 0x0000000000121730
     0.02%  python3.10  python3.10                                [.] PyObject_GetAttr
     0.02%  :1941774    python3.10                                [.] 0x0000000000121590
     0.02%  :1941745    python3.10                                [.] 0x0000000000121590
     0.02%  python3.10  [kernel.kallsyms]                         [k] futex_wait_setup
     0.02%  python3.10  [kernel.kallsyms]                         [k] may_expand_vm
     0.02%  python3.10  [kernel.kallsyms]                         [k] page_remove_file_rmap
     0.02%  python3.10  [kernel.kallsyms]                         [k] try_charge_memcg
     0.02%  python3.10  [kernel.kallsyms]                         [k] x86_pmu_event_init
     0.02%  python3.10  python3.10                                [.] PyTuple_New
     0.02%  python3.10  python3.10                                [.] 0x000000000017a8e4
     0.02%  python3.10  python3.10                                [.] 0x00000000001740bb
     0.02%  python3.10  python3.10                                [.] _PyUnicode_ToDecimalDigit
     0.02%  python3.10  [kernel.kallsyms]                         [k] irqentry_exit_to_user_mode
     0.02%  python3.10  python3.10                                [.] 0x0000000000169ae0
     0.02%  :1941774    python3.10                                [.] 0x00000000001215f2
     0.02%  :1941698    python3.10                                [.] 0x0000000000121600
     0.02%  :1941616    python3.10                                [.] 0x0000000000121590
     0.02%  python3.10  libc.so.6                                 [.] ____wcstod_l_internal
     0.02%  python3.10  [kernel.kallsyms]                         [k] __schedule
     0.02%  python3.10  [kernel.kallsyms]                         [k] native_apic_msr_eoi_write
     0.02%  python3.10  [kernel.kallsyms]                         [k] try_to_wake_up
     0.02%  python3.10  [kernel.kallsyms]                         [k] native_read_msr
     0.02%  python3.10  libc.so.6                                 [.] getlogin_fd0
     0.02%  python3.10  [kernel.kallsyms]                         [k] __entry_text_start
     0.02%  python3.10  libc.so.6                                 [.] __strstr_sse2_unaligned
     0.02%  :1941650    python3.10                                [.] 0x0000000000121590
     0.02%  python3.10  [kernel.kallsyms]                         [k] wake_q_add_safe
     0.02%  python3.10  python3.10                                [.] PyObject_SetAttr
     0.02%  :1941103    python3.10                                [.] 0x0000000000121605
     0.02%  :1941546    python3.10                                [.] 0x0000000000121737
     0.02%  python3.10  [kernel.kallsyms]                         [k] memcg_slab_free_hook
     0.02%  :1941546    python3.10                                [.] 0x0000000000121605
     0.02%  python3.10  [kernel.kallsyms]                         [k] should_failslab
     0.02%  python3.10  [kernel.kallsyms]                         [k] wake_affine
     0.02%  python3.10  python3.10                                [.] PyObject_Malloc
     0.02%  python3.10  [kernel.kallsyms]                         [k] sched_clock_cpu
     0.02%  python3.10  [kernel.kallsyms]                         [k] ___perf_sw_event
     0.02%  python3.10  [kernel.kallsyms]                         [k] _raw_spin_lock
     0.02%  python3.10  [kernel.kallsyms]                         [k] alloc_perf_context
     0.02%  :1941103    python3.10                                [.] 0x0000000000121628
     0.02%  python3.10  [kernel.kallsyms]                         [k] enqueue_entity
     0.02%  python3.10  python3.10                                [.] PyObject_Format
     0.02%  python3.10  [kernel.kallsyms]                         [k] find_busiest_queue
     0.02%  python3.10  [kernel.kallsyms]                         [k] perf_event_update_time
     0.02%  python3.10  python3.10                                [.] _PyObject_GC_NewVar
     0.01%  python3.10  libc.so.6                                 [.] __strncat_ssse3
     0.01%  :1941698    python3.10                                [.] 0x000000000012159b
     0.01%  python3.10  [kernel.kallsyms]                         [k] enqueue_task_fair
     0.01%  python3.10  python3.10                                [.] 0x0000000000159a9e
     0.01%  :1941546    python3.10                                [.] 0x0000000000121613
     0.01%  python3.10  python3.10                                [.] 0x000000000018d604
     0.01%  python3.10  [kernel.kallsyms]                         [k] _raw_spin_lock_irqsave
     0.01%  :1941546    python3.10                                [.] 0x0000000000121600
     0.01%  :1941698    python3.10                                [.] 0x0000000000121605
     0.01%  :1941719    python3.10                                [.] 0x0000000000121590
     0.01%  python3.10  python3.10                                [.] _PyObject_FastCallDictTstate
     0.01%  python3.10  [kernel.kallsyms]                         [k] __calc_delta
     0.01%  python3.10  python3.10                                [.] 0x0000000000201cb1
     0.01%  python3.10  [kernel.kallsyms]                         [k] update_sg_wakeup_stats
