# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 5K of event 'cycles'
# Event count (approx.): 786910260
#
# Overhead  Command     Shared Object                             Symbol                                   
# ........  ..........  ........................................  .........................................
#
    23.79%  python3.10  python3.10                                [.] _PyEval_EvalFrameDefault
     3.50%  python3.10  python3.10                                [.] _PyObject_MakeTpCall
     1.35%  python3.10  python3.10                                [.] _PyUnicode_JoinArray
     1.26%  python3.10  libc.so.6                                 [.] ____wcstof_l_internal
     1.09%  python3.10  python3.10                                [.] 0x00000000001d4961
     1.04%  python3.10  python3.10                                [.] PyLong_FromString
     1.02%  python3.10  python3.10                                [.] _PyObject_GetMethod
     0.80%  python3.10  [kernel.kallsyms]                         [k] merge_sched_in
     0.77%  python3.10  python3.10                                [.] _PyUnicode_ToDecimalDigit
     0.74%  python3.10  [kernel.kallsyms]                         [k] perf_event_update_userpage
     0.74%  python3.10  python3.10                                [.] 0x000000000015efdc
     0.68%  python3.10  python3.10                                [.] 0x000000000017c3fc
     0.63%  python3.10  [kernel.kallsyms]                         [k] psi_group_change
     0.61%  python3.10  python3.10                                [.] 0x000000000020bef5
     0.56%  python3.10  python3.10                                [.] 0x0000000000127f5d
     0.54%  python3.10  python3.10                                [.] 0x000000000015f020
     0.52%  python3.10  python3.10                                [.] PyList_Append
     0.46%  python3.10  [kernel.kallsyms]                         [k] perf_swevent_add
     0.43%  python3.10  [kernel.kallsyms]                         [k] entry_SYSCALL_64_after_hwframe
     0.41%  python3.10  [kernel.kallsyms]                         [k] perf_event_groups_first
     0.41%  python3.10  python3.10                                [.] PyDict_Contains
     0.40%  python3.10  python3.10                                [.] 0x000000000020beee
     0.37%  python3.10  python3.10                                [.] 0x000000000015b537
     0.37%  python3.10  [kernel.kallsyms]                         [k] rb_next
     0.37%  python3.10  [kernel.kallsyms]                         [k] event_sched_in
     0.36%  python3.10  python3.10                                [.] _PyUnicode_InsertThousandsGrouping
     0.36%  python3.10  python3.10                                [.] 0x00000000001732ee
     0.36%  python3.10  python3.10                                [.] _PyObject_LookupSpecial
     0.35%  python3.10  python3.10                                [.] _PyObject_GenericGetAttrWithDict
     0.35%  python3.10  python3.10                                [.] 0x000000000011d4fc
     0.33%  python3.10  python3.10                                [.] 0x000000000018d237
     0.32%  python3.10  python3.10                                [.] 0x000000000015effa
     0.32%  python3.10  python3.10                                [.] 0x00000000001795fe
     0.32%  python3.10  libc.so.6                                 [.] __strncat_sse2_unaligned
     0.32%  python3.10  python3.10                                [.] 0x00000000001795e5
     0.30%  python3.10  python3.10                                [.] 0x0000000000188d36
     0.29%  python3.10  [kernel.kallsyms]                         [k] tcp_schedule_loss_probe.part.0
     0.28%  python3.10  python3.10                                [.] 0x0000000000188dd7
     0.28%  python3.10  python3.10                                [.] 0x000000000017c3ef
     0.28%  python3.10  python3.10                                [.] 0x00000000001d48d4
     0.28%  python3.10  libc.so.6                                 [.] re_search_internal
     0.27%  python3.10  [kernel.kallsyms]                         [k] __update_load_avg_cfs_rq
     0.26%  python3.10  python3.10                                [.] 0x0000000000174090
     0.26%  python3.10  python3.10                                [.] 0x000000000017f864
     0.26%  python3.10  python3.10                                [.] 0x00000000002cfec0
     0.26%  python3.10  python3.10                                [.] 0x000000000017c380
     0.26%  python3.10  python3.10                                [.] 0x00000000001d48e1
     0.25%  python3.10  [kernel.kallsyms]                         [k] tcp_recvmsg_locked
     0.25%  python3.10  python3.10                                [.] 0x00000000001d495d
     0.24%  python3.10  python3.10                                [.] PyObject_RichCompare
     0.24%  python3.10  python3.10                                [.] 0x000000000020bea0
     0.23%  python3.10  python3.10                                [.] 0x000000000015b506
     0.23%  python3.10  [kernel.kallsyms]                         [k] syscall_return_via_sysret
     0.23%  python3.10  libc.so.6                                 [.] parse_expression
     0.23%  python3.10  python3.10                                [.] 0x0000000000179c02
     0.23%  python3.10  python3.10                                [.] 0x000000000015b50e
     0.23%  python3.10  python3.10                                [.] _PyUnicodeWriter_Init
     0.22%  python3.10  python3.10                                [.] 0x000000000015ef70
     0.22%  python3.10  python3.10                                [.] 0x0000000000122870
     0.22%  python3.10  libc.so.6                                 [.] re_compile_internal
     0.22%  python3.10  python3.10                                [.] 0x0000000000293d40
     0.22%  python3.10  [kernel.kallsyms]                         [k] __fget_files
     0.22%  python3.10  python3.10                                [.] 0x000000000015ef7f
     0.21%  python3.10  python3.10                                [.] 0x0000000000188efb
     0.21%  python3.10  python3.10                                [.] 0x000000000018d1c1
     0.21%  python3.10  python3.10                                [.] 0x000000000017956a
     0.21%  python3.10  python3.10                                [.] 0x000000000015b500
     0.21%  python3.10  [kernel.kallsyms]                         [k] do_softirq
     0.21%  python3.10  python3.10                                [.] 0x000000000018d585
     0.21%  python3.10  python3.10                                [.] 0x0000000000188e95
     0.21%  python3.10  [kernel.kallsyms]                         [k] syscall_exit_to_user_mode
     0.20%  python3.10  libc.so.6                                 [.] __vstrfmon_l_internal
     0.20%  python3.10  python3.10                                [.] 0x000000000018bfd8
     0.20%  python3.10  python3.10                                [.] 0x0000000000137a60
     0.20%  python3.10  python3.10                                [.] PyObject_GetIter
     0.19%  python3.10  [kernel.kallsyms]                         [k] cubictcp_acked
     0.19%  python3.10  [kernel.kallsyms]                         [k] _raw_spin_lock_irqsave
     0.19%  python3.10  python3.10                                [.] 0x000000000015ef8c
     0.19%  python3.10  [kernel.kallsyms]                         [k] __perf_event_task_sched_in
     0.18%  python3.10  libc.so.6                                 [.] __GI___strncasecmp_l_sse2
     0.18%  python3.10  python3.10                                [.] PyUnicode_New
     0.18%  python3.10  python3.10                                [.] 0x000000000018d0e4
     0.18%  python3.10  [kernel.kallsyms]                         [k] visit_groups_merge.constprop.0.isra.0
     0.18%  python3.10  python3.10                                [.] 0x000000000018d589
     0.18%  python3.10  python3.10                                [.] 0x00000000001f603b
     0.17%  python3.10  python3.10                                [.] 0x000000000015b53b
     0.17%  python3.10  python3.10                                [.] 0x00000000001508a2
     0.17%  python3.10  python3.10                                [.] 0x000000000017c3a6
     0.17%  python3.10  libc.so.6                                 [.] ____wcstold_l_internal
     0.17%  python3.10  python3.10                                [.] 0x00000000001228d1
     0.17%  python3.10  [kernel.kallsyms]                         [k] exit_to_user_mode_loop
     0.17%  python3.10  python3.10                                [.] _PyLong_New
     0.17%  python3.10  [kernel.kallsyms]                         [k] __ip_finish_output
     0.17%  python3.10  python3.10                                [.] 0x0000000000070990
     0.17%  python3.10  python3.10                                [.] PyObject_Hash
     0.17%  python3.10  python3.10                                [.] _PyUnicodeWriter_PrepareInternal
     0.17%  python3.10  python3.10                                [.] _PyUnicode_FromASCII
     0.17%  python3.10  libc.so.6                                 [.] 0x00000000001a0970
     0.17%  python3.10  python3.10                                [.] 0x000000000015b56c
     0.17%  python3.10  python3.10                                [.] 0x0000000000188df0
     0.17%  python3.10  [kernel.kallsyms]                         [k] dequeue_entity
     0.17%  python3.10  python3.10                                [.] 0x000000000020beb4
     0.16%  python3.10  python3.10                                [.] 0x000000000012284a
     0.16%  python3.10  [kernel.kallsyms]                         [k] ___perf_sw_event
     0.16%  python3.10  [kernel.kallsyms]                         [k] finish_task_switch.isra.0
     0.16%  python3.10  libcrypto.so.3                            [.] 0x00000000003074f1
     0.16%  python3.10  python3.10                                [.] 0x00000000001228f6
     0.16%  python3.10  python3.10                                [.] 0x000000000015af50
     0.16%  python3.10  python3.10                                [.] 0x000000000015b520
     0.16%  python3.10  [kernel.kallsyms]                         [k] __rseq_handle_notify_resume
     0.15%  python3.10  python3.10                                [.] 0x00000000001d4951
     0.15%  python3.10  python3.10                                [.] 0x0000000000206853
     0.15%  python3.10  python3.10                                [.] 0x0000000000188ef6
     0.15%  python3.10  python3.10                                [.] 0x00000000001b640a
     0.15%  python3.10  libc.so.6                                 [.] 0x00000000001a0944
     0.15%  python3.10  python3.10                                [.] 0x000000000018c069
     0.15%  python3.10  libc.so.6                                 [.] 0x00000000001a0940
     0.15%  python3.10  python3.10                                [.] PyFunction_NewWithQualName
     0.15%  python3.10  [kernel.kallsyms]                         [k] iterate_groups
     0.15%  python3.10  python3.10                                [.] 0x00000000001b63e8
     0.14%  python3.10  python3.10                                [.] 0x000000000017958b
     0.14%  python3.10  python3.10                                [.] 0x00000000002775f9
     0.14%  python3.10  [kernel.kallsyms]                         [k] ip_protocol_deliver_rcu
     0.14%  python3.10  [kernel.kallsyms]                         [k] tcp_clean_rtx_queue.constprop.0
     0.13%  python3.10  [kernel.kallsyms]                         [k] restore_fpregs_from_fpstate
     0.13%  python3.10  python3.10                                [.] 0x000000000018c0e0
     0.13%  python3.10  [kernel.kallsyms]                         [k] psi_task_change
     0.13%  python3.10  [kernel.kallsyms]                         [k] update_load_avg
     0.13%  python3.10  libcrypto.so.3                            [.] 0x0000000000308126
     0.13%  python3.10  libc.so.6                                 [.] 0x00000000001a1100
     0.13%  python3.10  python3.10                                [.] 0x000000000018d098
     0.13%  python3.10  python3.10                                [.] 0x000000000015efc7
     0.13%  python3.10  python3.10                                [.] 0x00000000001795ae
     0.12%  python3.10  python3.10                                [.] 0x000000000015b557
     0.12%  python3.10  python3.10                                [.] 0x00000000001d48e8
