CS ID,CS PID
2-39-78-366,1951909
2-39-124-22,1951912
2-39-125-21,1951931
2-39-92-436,1951973
2-39-123-23,1951986
2-39-91-441,1951925
2-39-95-27,1951943
2-39-78-363,1952004
2-39-78-362,1951991
2-39-89-439,1952016
2-39-78-365,1951961
2-39-90-440,1952040
2-39-78-364,1951967
2-39-90-26,1952100
2-39-95-444,1952097
2-39-78-360,1952108
2-39-79-382,1952122
2-39-128-562,1952110
2-39-78-367,1952111
2-39-129-17,1952109
2-39-138-566,1952106
2-39-91-437,1952165
2-39-126-560,1952104
2-39-82-384,1952157
2-39-89-25,1952192
2-39-126-20,1952147
2-39-139-28,1952046
2-39-79-376,1951980
2-39-130-564,1951949
2-39-128-18,1952177
2-39-129-563,1952254
2-39-131-565,1951918
2-39-130-31,1951937
2-39-139-567,1952010
2-39-79-378,1952027
2-39-125-559,1952034
2-39-83-386,1951955
2-39-127-561,1952021
2-39-79-383,1952103
2-39-92-442,1952099
2-39-83-387,1952187
2-39-79-381,1952105
2-39-124-558,1952092
2-39-79-379,1952169
2-39-88-438,1952102
2-39-127-19,1952184
2-39-123-557,1952101
2-39-78-361,1952107
2-39-79-380,1952133
2-39-131-30,1952265
2-39-88-24,1952112
2-39-138-29,1952144
2-39-79-377,1951997
