# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 47K of event 'cycles'
# Event count (approx.): 23886930447
#
# Overhead  Command     Shared Object         Symbol                                      
# ........  ..........  ....................  ............................................
#
    44.50%  :1952495    python3.10            [.] _PyEval_EvalFrameDefault
    14.33%  python3.10  python3.10            [.] _PyEval_EvalFrameDefault
     5.58%  :1952495    python3.10            [.] PyObject_RichCompare
     2.81%  :1952495    python3.10            [.] 0x000000000012161a
     2.34%  :1952495    python3.10            [.] 0x0000000000121590
     1.23%  :1952495    python3.10            [.] 0x0000000000179c52
     1.15%  :1952495    python3.10            [.] 0x000000000015b546
     0.91%  :1952495    python3.10            [.] 0x0000000000179c0e
     0.89%  :1952495    python3.10            [.] 0x0000000000179c4e
     0.83%  :1952495    python3.10            [.] 0x0000000000121730
     0.82%  :1952495    python3.10            [.] 0x0000000000121596
     0.64%  :1952495    python3.10            [.] 0x0000000000121605
     0.59%  :1952495    python3.10            [.] 0x00000000001215f7
     0.59%  :1952495    python3.10            [.] 0x0000000000121737
     0.58%  :1952495    python3.10            [.] 0x0000000000121676
     0.57%  :1952495    python3.10            [.] 0x00000000001215c4
     0.57%  :1952495    python3.10            [.] 0x00000000001215f2
     0.54%  :1952495    python3.10            [.] 0x0000000000121734
     0.51%  python3.10  python3.10            [.] 0x000000000012161a
     0.50%  :1952495    python3.10            [.] 0x00000000001215a3
     0.49%  :1952495    python3.10            [.] 0x000000000012159b
     0.48%  :1952495    python3.10            [.] 0x0000000000121613
     0.45%  :1952495    python3.10            [.] 0x0000000000121594
     0.44%  :1952495    python3.10            [.] 0x000000000012167d
     0.43%  :1952495    python3.10            [.] 0x000000000012159d
     0.40%  :1952495    python3.10            [.] 0x000000000015b500
     0.40%  :1952495    python3.10            [.] 0x000000000015b506
     0.40%  :1952495    python3.10            [.] 0x000000000012160b
     0.34%  :1952495    python3.10            [.] 0x00000000001215ab
     0.32%  :1952495    python3.10            [.] 0x0000000000121599
     0.32%  :1952495    python3.10            [.] 0x00000000001215dc
     0.30%  :1952495    python3.10            [.] 0x0000000000121616
     0.29%  :1952495    python3.10            [.] 0x0000000000179be6
     0.29%  :1952495    python3.10            [.] 0x0000000000173d50
     0.27%  :1952495    python3.10            [.] 0x00000000001215a7
     0.26%  :1952495    python3.10            [.] 0x000000000015b541
