# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 6K of event 'cycles'
# Event count (approx.): 2239973542
#
# Overhead  Command     Shared Object         Symbol                                   
# ........  ..........  ....................  .........................................
#
    73.84%  python3.10  python3.10            [.] _PyEval_EvalFrameDefault
     3.09%  python3.10  python3.10            [.] 0x000000000012161a
     1.55%  python3.10  python3.10            [.] 0x0000000000121676
     1.41%  python3.10  python3.10            [.] 0x0000000000121590
     1.20%  python3.10  python3.10            [.] 0x0000000000121605
     0.91%  python3.10  python3.10            [.] 0x0000000000121613
     0.91%  python3.10  python3.10            [.] 0x00000000001215f2
     0.77%  python3.10  python3.10            [.] 0x0000000000121730
     0.72%  python3.10  python3.10            [.] 0x0000000000121737
     0.71%  python3.10  python3.10            [.] 0x00000000001215f7
     0.70%  python3.10  python3.10            [.] 0x0000000000121596
     0.66%  python3.10  python3.10            [.] 0x0000000000121679
     0.62%  python3.10  python3.10            [.] 0x00000000001215a3
     0.56%  python3.10  python3.10            [.] 0x00000000001215dc
     0.49%  python3.10  python3.10            [.] 0x000000000012159b
     0.44%  python3.10  python3.10            [.] 0x000000000012159d
     0.43%  python3.10  python3.10            [.] 0x000000000012160b
     0.42%  python3.10  [kernel.kallsyms]     [k] psi_group_change
     0.40%  python3.10  python3.10            [.] 0x00000000001215c4
     0.38%  python3.10  python3.10            [.] 0x00000000001215a7
     0.36%  python3.10  python3.10            [.] 0x00000000001215ab
     0.36%  python3.10  python3.10            [.] 0x00000000001215cb
     0.33%  python3.10  python3.10            [.] 0x000000000012167d
     0.27%  python3.10  python3.10            [.] 0x0000000000121677
     0.24%  python3.10  python3.10            [.] 0x00000000001215e9
     0.24%  python3.10  python3.10            [.] 0x00000000001215a2
     0.21%  python3.10  python3.10            [.] 0x000000000012167b
     0.20%  python3.10  python3.10            [.] 0x00000000001215e2
     0.20%  python3.10  python3.10            [.] 0x00000000001215bc
     0.18%  python3.10  python3.10            [.] 0x0000000000121616
     0.17%  python3.10  python3.10            [.] 0x000000000012167f
     0.17%  python3.10  python3.10            [.] 0x0000000000121599
     0.16%  python3.10  python3.10            [.] 0x00000000001215e5
     0.13%  python3.10  [kernel.kallsyms]     [k] rb_next
     0.13%  python3.10  [kernel.kallsyms]     [k] __perf_event_task_sched_in
     0.12%  python3.10  python3.10            [.] 0x00000000001215a6
     0.12%  python3.10  python3.10            [.] 0x00000000001215c0
     0.11%  python3.10  libc.so.6             [.] __GI___strncasecmp_l_sse2
     0.11%  python3.10  [kernel.kallsyms]     [k] syscall_exit_to_user_mode
     0.09%  python3.10  [kernel.kallsyms]     [k] event_sched_in
     0.09%  python3.10  python3.10            [.] _PyFunction_Vectorcall
     0.09%  python3.10  [kernel.kallsyms]     [k] syscall_return_via_sysret
     0.09%  python3.10  python3.10            [.] 0x00000000001215d8
     0.09%  python3.10  [kernel.kallsyms]     [k] irqentry_exit_to_user_mode
     0.08%  python3.10  [kernel.kallsyms]     [k] do_syscall_64
     0.08%  python3.10  python3.10            [.] 0x0000000000121594
     0.08%  python3.10  [kernel.kallsyms]     [k] __x64_sys_futex
     0.08%  python3.10  python3.10            [.] 0x000000000012166e
     0.08%  python3.10  [kernel.kallsyms]     [k] update_load_avg
     0.08%  python3.10  python3.10            [.] 0x0000000000121600
     0.07%  python3.10  [kernel.kallsyms]     [k] inherit_event.constprop.0
     0.07%  python3.10  libc.so.6             [.] __strcat_ssse3
