# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 7K of event 'cycles'
# Event count (approx.): 2534361306
#
# Overhead  Command     Shared Object      Symbol                                   
# ........  ..........  .................  .........................................
#
    74.72%  python3.10  python3.10         [.] _PyEval_EvalFrameDefault
     2.46%  python3.10  python3.10         [.] 0x000000000012161a
     1.47%  python3.10  python3.10         [.] 0x0000000000121590
     1.24%  python3.10  python3.10         [.] 0x0000000000121676
     0.92%  python3.10  python3.10         [.] 0x0000000000121605
     0.90%  python3.10  python3.10         [.] 0x0000000000121730
     0.88%  python3.10  python3.10         [.] 0x00000000001215f7
     0.86%  python3.10  python3.10         [.] 0x00000000001215f2
     0.70%  python3.10  python3.10         [.] 0x0000000000121613
     0.66%  python3.10  python3.10         [.] 0x00000000001215c4
     0.64%  python3.10  python3.10         [.] 0x0000000000121596
     0.64%  python3.10  python3.10         [.] 0x0000000000121679
     0.63%  python3.10  python3.10         [.] 0x0000000000121737
     0.63%  :1953593    python3.10         [.] _PyEval_EvalFrameDefault
     0.53%  python3.10  python3.10         [.] 0x00000000001215a3
     0.43%  python3.10  python3.10         [.] 0x000000000012159b
     0.39%  python3.10  python3.10         [.] 0x00000000001215a7
     0.36%  python3.10  python3.10         [.] 0x000000000012160b
     0.33%  python3.10  python3.10         [.] 0x000000000012167d
     0.32%  python3.10  python3.10         [.] 0x00000000001215cb
     0.29%  python3.10  python3.10         [.] 0x000000000012159d
     0.27%  python3.10  [kernel.kallsyms]  [k] psi_group_change
     0.27%  python3.10  python3.10         [.] 0x000000000012167b
     0.24%  python3.10  [kernel.kallsyms]  [k] memset_erms
     0.24%  python3.10  python3.10         [.] 0x00000000001215dc
     0.23%  python3.10  python3.10         [.] 0x00000000001215e5
     0.23%  python3.10  python3.10         [.] 0x00000000001215ab
     0.23%  python3.10  python3.10         [.] 0x0000000000121677
     0.20%  python3.10  python3.10         [.] 0x00000000001215bc
     0.19%  python3.10  python3.10         [.] 0x00000000001215e9
     0.19%  python3.10  python3.10         [.] 0x0000000000121600
     0.18%  python3.10  python3.10         [.] 0x00000000001215a2
     0.17%  python3.10  python3.10         [.] 0x00000000001215e2
     0.16%  python3.10  python3.10         [.] 0x0000000000121594
     0.15%  python3.10  [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
     0.14%  python3.10  [kernel.kallsyms]  [k] merge_sched_in
     0.13%  python3.10  python3.10         [.] 0x000000000012166e
     0.12%  python3.10  python3.10         [.] 0x000000000012167f
     0.12%  python3.10  python3.10         [.] 0x00000000001215c8
     0.12%  python3.10  python3.10         [.] 0x000000000012160f
     0.12%  python3.10  [kernel.kallsyms]  [k] perf_event_alloc
     0.11%  python3.10  python3.10         [.] 0x0000000000121616
     0.11%  python3.10  [kernel.kallsyms]  [k] irqentry_exit_to_user_mode
     0.10%  python3.10  [kernel.kallsyms]  [k] syscall_exit_to_user_mode
     0.09%  python3.10  [kernel.kallsyms]  [k] visit_groups_merge.constprop.0.isra.0
     0.09%  python3.10  python3.10         [.] _PyObject_GetMethod
     0.09%  python3.10  [kernel.kallsyms]  [k] native_sched_clock
     0.09%  python3.10  python3.10         [.] 0x00000000001215a6
     0.09%  python3.10  [kernel.kallsyms]  [k] inherit_event.constprop.0
     0.08%  python3.10  [kernel.kallsyms]  [k] perf_event_groups_first
     0.08%  python3.10  python3.10         [.] 0x00000000001215d8
     0.07%  python3.10  libc.so.6          [.] __GI___strncasecmp_l_sse2
     0.07%  python3.10  python3.10         [.] PyTuple_New
     0.07%  python3.10  [kernel.kallsyms]  [k] rb_next
     0.07%  python3.10  [kernel.kallsyms]  [k] enqueue_entity
     0.07%  python3.10  libc.so.6          [.] ____wcstof_l_internal
     0.07%  python3.10  python3.10         [.] 0x0000000000121599
     0.07%  python3.10  [kernel.kallsyms]  [k] set_next_buddy
     0.06%  python3.10  [kernel.kallsyms]  [k] native_write_msr_safe
     0.06%  python3.10  [kernel.kallsyms]  [k] exit_to_user_mode_loop
     0.06%  python3.10  [kernel.kallsyms]  [k] error_entry
     0.06%  python3.10  [kernel.kallsyms]  [k] intel_cpuc_prepare
     0.06%  python3.10  [kernel.kallsyms]  [k] intel_pmu_enable_all
     0.06%  python3.10  python3.10         [.] 0x00000000001215b2
     0.06%  python3.10  python3.10         [.] 0x0000000000151eed
     0.06%  python3.10  python3.10         [.] 0x00000000001215c0
     0.06%  python3.10  libc.so.6          [.] ____wcstold_l_internal
     0.05%  python3.10  [kernel.kallsyms]  [k] __get_user_8
     0.05%  python3.10  [kernel.kallsyms]  [k] exit_to_user_mode_prepare
     0.05%  python3.10  libc.so.6          [.] __stpncpy_sse2_unaligned
     0.05%  python3.10  libc.so.6          [.] __strcat_ssse3
     0.05%  python3.10  [kernel.kallsyms]  [k] syscall_return_via_sysret
     0.05%  python3.10  python3.10         [.] PyObject_SetAttr
     0.05%  python3.10  [kernel.kallsyms]  [k] perf_swevent_add
     0.05%  python3.10  [kernel.kallsyms]  [k] native_write_msr
     0.05%  python3.10  [kernel.kallsyms]  [k] memcg_slab_post_alloc_hook
     0.05%  python3.10  [kernel.kallsyms]  [k] __perf_event_task_sched_in
     0.05%  python3.10  [kernel.kallsyms]  [k] __x64_sys_futex
     0.05%  python3.10  [kernel.kallsyms]  [k] pick_next_task_fair
     0.05%  python3.10  python3.10         [.] _PyObject_GenericGetAttrWithDict
     0.05%  python3.10  [kernel.kallsyms]  [k] asm_exc_page_fault
     0.05%  python3.10  python3.10         [.] _PyObject_GenericSetAttrWithDict
     0.05%  python3.10  [kernel.kallsyms]  [k] dequeue_task_fair
     0.05%  python3.10  [kernel.kallsyms]  [k] prepare_task_switch
     0.04%  python3.10  [kernel.kallsyms]  [k] kmem_cache_alloc_node_trace
     0.04%  python3.10  python3.10         [.] PyType_GenericAlloc
     0.04%  python3.10  python3.10         [.] 0x00000000001215df
     0.04%  python3.10  [kernel.kallsyms]  [k] perf_event_update_userpage
     0.04%  python3.10  [kernel.kallsyms]  [k] enqueue_task_fair
     0.04%  python3.10  python3.10         [.] 0x00000000001215a0
     0.04%  python3.10  [kernel.kallsyms]  [k] __irqentry_text_end
     0.04%  python3.10  [kernel.kallsyms]  [k] intel_put_event_constraints
     0.04%  :1953593    python3.10         [.] 0x0000000000121613
     0.04%  python3.10  python3.10         [.] 0x0000000000152369
     0.04%  python3.10  python3.10         [.] 0x0000000000143407
     0.04%  python3.10  [kernel.kallsyms]  [k] event_sched_in
     0.04%  python3.10  [kernel.kallsyms]  [k] rmqueue
     0.04%  python3.10  [kernel.kallsyms]  [k] ctx_sched_in
     0.04%  python3.10  [kernel.kallsyms]  [k] __update_load_avg_se
     0.04%  python3.10  [kernel.kallsyms]  [k] restore_fpregs_from_fpstate
     0.04%  :1953593    python3.10         [.] 0x000000000012161a
     0.04%  python3.10  [kernel.kallsyms]  [k] clear_buddies
     0.03%  python3.10  [kernel.kallsyms]  [k] __schedule
     0.03%  python3.10  libcrypto.so.3     [.] 0x0000000000307cd0
