# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 7K of event 'cycles'
# Event count (approx.): 1569788778
#
# Overhead  Command     Shared Object                             Symbol                                   
# ........  ..........  ........................................  .........................................
#
    24.01%  python3.10  python3.10                                [.] _PyEval_EvalFrameDefault
     2.56%  python3.10  python3.10                                [.] _PyObject_MakeTpCall
     1.50%  python3.10  python3.10                                [.] _PyUnicode_JoinArray
     1.32%  python3.10  python3.10                                [.] PyLong_FromString
     0.99%  python3.10  libc.so.6                                 [.] ____wcstof_l_internal
     0.86%  python3.10  [kernel.kallsyms]                         [k] perf_event_update_userpage
     0.69%  python3.10  python3.10                                [.] PyList_Append
     0.67%  python3.10  python3.10                                [.] 0x000000000017c3fc
     0.59%  python3.10  python3.10                                [.] 0x00000000001d4961
     0.56%  python3.10  python3.10                                [.] 0x000000000015effa
     0.53%  python3.10  python3.10                                [.] 0x000000000015efdc
     0.53%  python3.10  python3.10                                [.] _PyObject_GetMethod
     0.51%  python3.10  python3.10                                [.] 0x000000000015f000
     0.49%  python3.10  python3.10                                [.] 0x000000000015b546
     0.49%  python3.10  [kernel.kallsyms]                         [k] rb_next
     0.49%  python3.10  [kernel.kallsyms]                         [k] merge_sched_in
     0.48%  python3.10  python3.10                                [.] 0x00000000001795fe
     0.47%  python3.10  [kernel.kallsyms]                         [k] psi_group_change
     0.45%  python3.10  python3.10                                [.] PyDict_Contains
     0.44%  python3.10  python3.10                                [.] 0x00000000001740af
     0.42%  python3.10  libc.so.6                                 [.] __strncat_sse2_unaligned
     0.35%  python3.10  python3.10                                [.] 0x00000000001732ee
     0.35%  python3.10  python3.10                                [.] _PyObject_LookupSpecial
     0.33%  python3.10  python3.10                                [.] 0x0000000000188efb
     0.33%  python3.10  python3.10                                [.] 0x0000000000188dd7
     0.32%  python3.10  [kernel.kallsyms]                         [k] event_sched_in
     0.32%  python3.10  python3.10                                [.] 0x000000000020bf65
     0.31%  python3.10  python3.10                                [.] 0x00000000001d495d
     0.31%  python3.10  python3.10                                [.] 0x000000000017958b
     0.30%  python3.10  python3.10                                [.] _PyUnicode_InsertThousandsGrouping
     0.30%  python3.10  python3.10                                [.] 0x000000000020bec2
     0.28%  python3.10  libc.so.6                                 [.] ____wcstold_l_internal
     0.28%  python3.10  python3.10                                [.] 0x0000000000127f5d
     0.28%  python3.10  python3.10                                [.] 0x000000000015b537
     0.28%  python3.10  python3.10                                [.] 0x00000000001d4955
     0.27%  python3.10  python3.10                                [.] 0x00000000001b640a
     0.27%  python3.10  libc.so.6                                 [.] re_compile_internal
     0.27%  python3.10  python3.10                                [.] 0x000000000015ef70
     0.27%  python3.10  python3.10                                [.] 0x000000000018d589
     0.26%  python3.10  [kernel.kallsyms]                         [k] perf_event_groups_first
     0.25%  python3.10  python3.10                                [.] 0x0000000000150bcb
     0.25%  python3.10  python3.10                                [.] 0x0000000000127f54
     0.24%  python3.10  [kernel.kallsyms]                         [k] skb_release_data
     0.24%  python3.10  libc.so.6                                 [.] re_search_internal
     0.24%  python3.10  python3.10                                [.] 0x00000000001d48e1
     0.24%  python3.10  libc.so.6                                 [.] __stpncpy_sse2_unaligned
     0.24%  python3.10  python3.10                                [.] 0x00000000001740bb
     0.24%  python3.10  [kernel.kallsyms]                         [k] __schedule
     0.24%  python3.10  python3.10                                [.] 0x0000000000122820
     0.23%  python3.10  python3.10                                [.] 0x000000000017c3ef
     0.23%  python3.10  python3.10                                [.] 0x0000000000206c7a
     0.23%  python3.10  [kernel.kallsyms]                         [k] syscall_return_via_sysret
     0.22%  python3.10  python3.10                                [.] 0x0000000000188e69
     0.22%  python3.10  python3.10                                [.] PyFunction_NewWithQualName
     0.22%  python3.10  libc.so.6                                 [.] 0x00000000001a0940
     0.22%  python3.10  python3.10                                [.] 0x0000000000188e99
     0.22%  python3.10  python3.10                                [.] 0x0000000000189014
     0.21%  python3.10  [kernel.kallsyms]                         [k] tcp_ack
     0.20%  python3.10  python3.10                                [.] 0x000000000015b500
     0.20%  python3.10  python3.10                                [.] _PyUnicodeWriter_Init
     0.20%  python3.10  python3.10                                [.] 0x0000000000188dd3
     0.20%  python3.10  python3.10                                [.] 0x000000000012809b
     0.20%  python3.10  libc.so.6                                 [.] 0x00000000001a0970
     0.20%  python3.10  python3.10                                [.] 0x0000000000188e5e
     0.19%  python3.10  libc.so.6                                 [.] 0x00000000001a0986
     0.19%  python3.10  [kernel.kallsyms]                         [k] visit_groups_merge.constprop.0.isra.0
     0.18%  python3.10  python3.10                                [.] 0x0000000000174090
     0.18%  python3.10  libc.so.6                                 [.] round_and_return
     0.18%  python3.10  python3.10                                [.] 0x000000000011d4fc
     0.18%  python3.10  python3.10                                [.] 0x00000000001d4951
     0.18%  python3.10  [kernel.kallsyms]                         [k] rb_erase
     0.18%  python3.10  [kernel.kallsyms]                         [k] perf_swevent_add
     0.18%  python3.10  python3.10                                [.] 0x0000000000243819
     0.18%  python3.10  python3.10                                [.] 0x00000000001732de
     0.17%  python3.10  python3.10                                [.] 0x0000000000137a60
     0.17%  python3.10  python3.10                                [.] 0x000000000020bef5
     0.17%  python3.10  python3.10                                [.] 0x000000000015ef7f
     0.17%  python3.10  python3.10                                [.] 0x000000000015efc7
     0.17%  python3.10  python3.10                                [.] 0x000000000017c386
     0.17%  python3.10  python3.10                                [.] 0x00000000001795d6
     0.17%  python3.10  python3.10                                [.] 0x000000000015efe1
     0.17%  python3.10  python3.10                                [.] 0x000000000018d060
     0.16%  python3.10  python3.10                                [.] _PyLong_New
     0.16%  python3.10  python3.10                                [.] PyTraceBack_Here
     0.16%  python3.10  libc.so.6                                 [.] parse_expression
     0.16%  python3.10  python3.10                                [.] 0x000000000018d599
     0.16%  python3.10  python3.10                                [.] 0x000000000017f87a
     0.16%  python3.10  python3.10                                [.] 0x0000000000188e95
     0.16%  python3.10  [kernel.kallsyms]                         [k] sock_poll
     0.16%  python3.10  libc.so.6                                 [.] 0x00000000001a0984
     0.16%  python3.10  python3.10                                [.] 0x00000000001228d1
     0.16%  python3.10  libc.so.6                                 [.] __vstrfmon_l_internal
     0.16%  python3.10  [kernel.kallsyms]                         [k] tcp_write_xmit
     0.16%  python3.10  libc.so.6                                 [.] 0x000000000019d981
     0.15%  python3.10  python3.10                                [.] 0x000000000020bed3
     0.15%  python3.10  python3.10                                [.] 0x0000000000137b1b
     0.15%  python3.10  python3.10                                [.] 0x00000000001598c0
     0.15%  python3.10  python3.10                                [.] 0x000000000017c3f8
     0.15%  python3.10  python3.10                                [.] PyObject_GetItem
     0.14%  python3.10  python3.10                                [.] 0x000000000018c028
     0.14%  python3.10  [kernel.kallsyms]                         [k] __tcp_transmit_skb
     0.14%  python3.10  python3.10                                [.] 0x000000000017c3a6
     0.14%  python3.10  python3.10                                [.] 0x000000000017a8e0
     0.14%  python3.10  python3.10                                [.] 0x000000000018d59d
     0.14%  python3.10  [kernel.kallsyms]                         [k] syscall_exit_to_user_mode
     0.14%  python3.10  python3.10                                [.] 0x00000000001740a7
     0.14%  python3.10  [kernel.kallsyms]                         [k] validate_xmit_skb
     0.13%  python3.10  python3.10                                [.] 0x000000000018d75d
     0.13%  python3.10  python3.10                                [.] 0x000000000015efaa
     0.13%  python3.10  python3.10                                [.] 0x00000000001d4902
     0.13%  python3.10  python3.10                                [.] 0x000000000017c380
     0.13%  python3.10  python3.10                                [.] 0x0000000000188e88
     0.13%  python3.10  python3.10                                [.] 0x000000000018d155
     0.12%  python3.10  python3.10                                [.] 0x000000000006fb94
     0.12%  python3.10  [kernel.kallsyms]                         [k] __softirqentry_text_start
     0.12%  python3.10  python3.10                                [.] 0x0000000000188d00
     0.12%  python3.10  python3.10                                [.] 0x000000000015b562
     0.12%  python3.10  python3.10                                [.] 0x000000000017f864
     0.12%  python3.10  python3.10                                [.] 0x00000000001228f6
     0.12%  python3.10  [kernel.kallsyms]                         [k] __update_load_avg_cfs_rq
     0.12%  python3.10  python3.10                                [.] 0x000000000018d498
     0.12%  python3.10  [kernel.kallsyms]                         [k] __cgroup_bpf_run_filter_skb
     0.12%  python3.10  [kernel.kallsyms]                         [k] entry_SYSCALL_64_after_hwframe
     0.12%  python3.10  [kernel.kallsyms]                         [k] memset_erms
     0.12%  python3.10  python3.10                                [.] 0x00000000001894c3
     0.12%  python3.10  python3.10                                [.] 0x000000000018d0e4
     0.12%  python3.10  python3.10                                [.] 0x000000000015b53b
     0.12%  python3.10  python3.10                                [.] 0x00000000002942ff
     0.12%  python3.10  [kernel.kallsyms]                         [k] update_curr
     0.12%  python3.10  python3.10                                [.] 0x0000000000189021
     0.12%  python3.10  python3.10                                [.] 0x000000000018d15e
     0.12%  python3.10  python3.10                                [.] 0x00000000001228eb
     0.11%  python3.10  [kernel.kallsyms]                         [k] do_syscall_64
     0.11%  python3.10  [kernel.kallsyms]                         [k] ip_protocol_deliver_rcu
     0.11%  python3.10  python3.10                                [.] 0x00000000001229d0
     0.11%  python3.10  python3.10                                [.] 0x000000000018d964
     0.11%  python3.10  python3.10                                [.] PyUnicode_New
     0.11%  python3.10  python3.10                                [.] 0x0000000000188d90
     0.11%  python3.10  [kernel.kallsyms]                         [k] sock_sendmsg
     0.11%  python3.10  [kernel.kallsyms]                         [k] native_sched_clock
     0.11%  python3.10  python3.10                                [.] _PyUnicodeWriter_PrepareInternal
     0.11%  python3.10  python3.10                                [.] 0x00000000002cfec8
     0.11%  python3.10  python3.10                                [.] 0x00000000001215a3
     0.11%  python3.10  python3.10                                [.] _PyObject_GenericGetAttrWithDict
     0.11%  python3.10  python3.10                                [.] 0x0000000000188de8
     0.11%  python3.10  libc.so.6                                 [.] parse_qtd_backslash
     0.11%  python3.10  python3.10                                [.] 0x0000000000188d12
     0.11%  python3.10  python3.10                                [.] _PyUnicode_ToDecimalDigit
     0.11%  python3.10  python3.10                                [.] PyUnicode_Decode
     0.11%  python3.10  python3.10                                [.] 0x00000000002068a4
     0.11%  python3.10  python3.10                                [.] 0x000000000018d519
     0.11%  python3.10  python3.10                                [.] 0x000000000018c0be
     0.11%  python3.10  python3.10                                [.] 0x000000000018d661
     0.11%  python3.10  python3.10                                [.] 0x000000000020bf50
     0.11%  python3.10  python3.10                                [.] 0x0000000000137a66
     0.11%  python3.10  [kernel.kallsyms]                         [k] __lock_text_start
     0.11%  python3.10  python3.10                                [.] 0x0000000000188d36
     0.10%  python3.10  [kernel.kallsyms]                         [k] __kmalloc_node_track_caller
     0.10%  python3.10  python3.10                                [.] 0x000000000017c3aa
     0.10%  python3.10  python3.10                                [.] 0x0000000000206c70
     0.10%  python3.10  [kernel.kallsyms]                         [k] aa_sk_perm
     0.10%  python3.10  python3.10                                [.] 0x000000000015b520
     0.10%  python3.10  python3.10                                [.] 0x000000000015b541
     0.10%  python3.10  [kernel.kallsyms]                         [k] kmem_cache_alloc_node
     0.10%  python3.10  python3.10                                [.] 0x00000000001d48d5
     0.10%  python3.10  [kernel.kallsyms]                         [k] __intel_pmu_enable_all.constprop.0
     0.10%  python3.10  [kernel.kallsyms]                         [k] __perf_event_task_sched_in
     0.10%  python3.10  python3.10                                [.] 0x0000000000121590
     0.10%  python3.10  python3.10                                [.] 0x000000000018bfb6
     0.10%  python3.10  python3.10                                [.] 0x00000000002cfec0
     0.10%  python3.10  python3.10                                [.] 0x000000000018d06c
     0.10%  python3.10  python3.10                                [.] 0x0000000000179f78
     0.10%  python3.10  [kernel.kallsyms]                         [k] exit_to_user_mode_prepare
     0.10%  python3.10  python3.10                                [.] 0x000000000020bea6
     0.10%  python3.10  python3.10                                [.] 0x000000000018947b
     0.10%  python3.10  python3.10                                [.] 0x0000000000243814
     0.10%  python3.10  python3.10                                [.] 0x0000000000206b9b
     0.10%  python3.10  python3.10                                [.] 0x000000000016ab95
     0.10%  python3.10  python3.10                                [.] PyMem_Realloc
     0.10%  python3.10  python3.10                                [.] 0x000000000015b554
     0.10%  python3.10  libcrypto.so.3                            [.] SHA256_Final
     0.09%  python3.10  python3.10                                [.] 0x000000000018d06a
     0.09%  python3.10  [kernel.kallsyms]                         [k] schedule
     0.09%  python3.10  [kernel.kallsyms]                         [k] __inet_lookup_established
     0.09%  python3.10  [kernel.kallsyms]                         [k] tcp_cleanup_rbuf
     0.09%  python3.10  python3.10                                [.] 0x000000000012161a
     0.09%  python3.10  python3.10                                [.] 0x0000000000122832
     0.09%  python3.10  python3.10                                [.] 0x000000000015ef78
     0.09%  python3.10  python3.10                                [.] 0x000000000006fb90
     0.09%  python3.10  python3.10                                [.] 0x000000000015efb8
     0.09%  python3.10  python3.10                                [.] 0x0000000000188da5
     0.09%  python3.10  python3.10                                [.] _PyDict_GetItemIdWithError
     0.09%  python3.10  python3.10                                [.] 0x0000000000188d97
     0.09%  python3.10  [kernel.kallsyms]                         [k] do_poll.constprop.0
     0.09%  python3.10  python3.10                                [.] 0x000000000018d146
     0.09%  python3.10  python3.10                                [.] PyTuple_New
     0.09%  python3.10  [kernel.kallsyms]                         [k] __ip_queue_xmit
     0.09%  python3.10  python3.10                                [.] 0x0000000000179584
     0.09%  python3.10  python3.10                                [.] PyObject_Free
     0.09%  python3.10  python3.10                                [.] 0x000000000017c403
     0.09%  python3.10  libc.so.6                                 [.] 0x00000000001a096e
     0.09%  python3.10  python3.10                                [.] 0x000000000018d5b6
     0.09%  python3.10  libcrypto.so.3                            [.] OPENSSL_cleanse
