CS ID,CS PID
2-39-78-360,1988018
2-39-129-563,1987856
2-39-79-378,1987858
2-39-127-561,1987877
2-39-79-380,1987889
2-39-125-21,1987944
2-39-125-559,1988003
2-39-129-17,1987901
2-39-88-24,1987907
2-39-127-19,1987926
2-39-79-381,1987931
2-39-82-384,1987864
2-39-124-22,1987871
2-39-78-361,1987895
2-39-90-26,1988011
2-39-123-557,1987919
2-39-126-20,1987949
2-39-92-442,1987937
2-39-138-29,1987913
2-39-91-437,1987956
2-39-78-363,1987884
2-39-128-562,1988025
2-39-79-382,1988024
2-39-130-31,1988035
2-39-79-377,1988054
2-39-78-365,1988053
2-39-126-560,1988036
2-39-79-376,1988039
2-39-92-436,1988037
2-39-89-439,1988040
2-39-78-362,1988034
2-39-124-558,1988038
2-39-138-566,1988064
2-39-79-379,1988041
2-39-139-28,1988043
2-39-90-440,1988042
2-39-123-23,1988050
2-39-79-383,1988049
2-39-89-25,1988051
2-39-91-441,1988052
2-39-131-30,1988028
2-39-88-438,1988055
2-39-83-386,1988056
2-39-95-444,1988057
2-39-130-564,1988058
2-39-78-364,1988059
2-39-139-567,1988061
2-39-95-27,1988062
2-39-83-387,1988060
2-39-131-565,1988063
2-39-78-367,1988065
2-39-78-366,1988071
2-39-128-18,1988072
