# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 120K of event 'cycles'
# Event count (approx.): 42137987043
#
# Overhead  Command     Shared Object         Symbol                                     
# ........  ..........  ....................  ...........................................
#
    86.73%  python3.10  python3.10            [.] _PyEval_EvalFrameDefault
     1.52%  python3.10  python3.10            [.] 0x000000000012161a
     1.37%  python3.10  python3.10            [.] 0x0000000000121590
     0.76%  python3.10  python3.10            [.] 0x00000000001215c4
     0.66%  python3.10  python3.10            [.] 0x0000000000121605
     0.49%  python3.10  python3.10            [.] 0x0000000000121613
     0.37%  python3.10  python3.10            [.] 0x0000000000121676
     0.35%  python3.10  python3.10            [.] 0x0000000000121730
     0.30%  python3.10  python3.10            [.] 0x000000000012159b
     0.28%  python3.10  python3.10            [.] 0x00000000001215a3
     0.27%  python3.10  python3.10            [.] 0x00000000001215f2
     0.26%  python3.10  python3.10            [.] 0x0000000000121737
     0.23%  python3.10  python3.10            [.] 0x00000000001215ab
     0.23%  python3.10  python3.10            [.] 0x000000000012167d
     0.23%  python3.10  python3.10            [.] 0x000000000012160b
     0.22%  python3.10  python3.10            [.] 0x00000000001215f7
     0.21%  python3.10  python3.10            [.] 0x00000000001215cb
     0.21%  python3.10  python3.10            [.] 0x0000000000121596
     0.20%  python3.10  python3.10            [.] 0x00000000001215dc
     0.17%  python3.10  python3.10            [.] 0x00000000001215e9
     0.14%  python3.10  python3.10            [.] 0x0000000000121679
     0.11%  python3.10  python3.10            [.] 0x00000000001215e2
     0.10%  python3.10  python3.10            [.] 0x0000000000121600
     0.09%  python3.10  python3.10            [.] 0x00000000001215e5
     0.08%  python3.10  [kernel.kallsyms]     [k] psi_group_change
     0.07%  python3.10  python3.10            [.] 0x00000000001215a7
     0.07%  python3.10  python3.10            [.] 0x00000000001215bc
     0.07%  :1989591    python3.10            [.] _PyEval_EvalFrameDefault
     0.07%  :1989444    python3.10            [.] _PyEval_EvalFrameDefault
     0.07%  :1989841    python3.10            [.] _PyEval_EvalFrameDefault
     0.07%  python3.10  python3.10            [.] 0x0000000000121616
     0.07%  :1989682    python3.10            [.] _PyEval_EvalFrameDefault
     0.07%  python3.10  python3.10            [.] 0x0000000000121677
     0.06%  :1989743    python3.10            [.] _PyEval_EvalFrameDefault
     0.06%  python3.10  python3.10            [.] 0x000000000012159d
     0.06%  :1989651    python3.10            [.] _PyEval_EvalFrameDefault
     0.05%  python3.10  [kernel.kallsyms]     [k] perf_event_alloc
     0.05%  python3.10  [kernel.kallsyms]     [k] memset_erms
     0.05%  python3.10  [kernel.kallsyms]     [k] syscall_exit_to_user_mode
     0.05%  :1989882    python3.10            [.] _PyEval_EvalFrameDefault
     0.05%  python3.10  python3.10            [.] 0x00000000001215d8
     0.05%  python3.10  python3.10            [.] 0x000000000012166e
     0.05%  :1989810    python3.10            [.] _PyEval_EvalFrameDefault
     0.05%  python3.10  [kernel.kallsyms]     [k] syscall_return_via_sysret
     0.05%  python3.10  [kernel.kallsyms]     [k] merge_sched_in
     0.05%  python3.10  python3.10            [.] 0x000000000012167f
     0.05%  python3.10  python3.10            [.] 0x000000000012160f
     0.04%  :1989502    python3.10            [.] _PyEval_EvalFrameDefault
     0.04%  python3.10  python3.10            [.] 0x0000000000121594
     0.04%  python3.10  python3.10            [.] 0x000000000012167b
     0.04%  python3.10  python3.10            [.] 0x00000000001215a2
     0.04%  python3.10  [kernel.kallsyms]     [k] irqentry_exit_to_user_mode
     0.04%  python3.10  python3.10            [.] _PyObject_GetMethod
     0.03%  python3.10  [kernel.kallsyms]     [k] entry_SYSCALL_64_after_hwframe
     0.03%  python3.10  [kernel.kallsyms]     [k] rb_next
     0.03%  python3.10  python3.10            [.] 0x0000000000121599
     0.03%  python3.10  [kernel.kallsyms]     [k] error_entry
     0.03%  python3.10  python3.10            [.] 0x00000000001215a0
     0.03%  python3.10  [kernel.kallsyms]     [k] perf_event_groups_first
     0.03%  python3.10  [kernel.kallsyms]     [k] visit_groups_merge.constprop.0.isra.0
     0.03%  python3.10  [kernel.kallsyms]     [k] native_read_msr
     0.03%  python3.10  libc.so.6             [.] __strcat_ssse3
     0.03%  python3.10  [kernel.kallsyms]     [k] event_sched_in
     0.03%  python3.10  [kernel.kallsyms]     [k] perf_event_update_userpage
     0.03%  python3.10  [kernel.kallsyms]     [k] native_write_msr
     0.03%  python3.10  [kernel.kallsyms]     [k] _raw_spin_lock
     0.03%  python3.10  [kernel.kallsyms]     [k] inherit_event.constprop.0
     0.03%  python3.10  [kernel.kallsyms]     [k] try_to_wake_up
     0.02%  python3.10  [kernel.kallsyms]     [k] update_load_avg
     0.02%  python3.10  [kernel.kallsyms]     [k] __update_load_avg_se
     0.02%  python3.10  libc.so.6             [.] __GI___strncasecmp_l_sse2
     0.02%  python3.10  python3.10            [.] _PyObject_MakeTpCall
     0.02%  python3.10  [kernel.kallsyms]     [k] __update_load_avg_cfs_rq
     0.02%  python3.10  [kernel.kallsyms]     [k] __irqentry_text_end
     0.02%  python3.10  libc.so.6             [.] ____wcstof_l_internal
     0.02%  python3.10  [kernel.kallsyms]     [k] futex_wake
     0.02%  python3.10  [kernel.kallsyms]     [k] perf_iterate_ctx
     0.02%  python3.10  [kernel.kallsyms]     [k] rb_insert_color
     0.02%  python3.10  python3.10            [.] _PyObject_GenericGetAttrWithDict
     0.02%  python3.10  [kernel.kallsyms]     [k] update_curr
     0.02%  python3.10  [kernel.kallsyms]     [k] _raw_spin_lock_irqsave
     0.02%  python3.10  [kernel.kallsyms]     [k] __get_user_8
     0.02%  python3.10  python3.10            [.] 0x0000000000121734
     0.02%  python3.10  [kernel.kallsyms]     [k] __schedule
     0.02%  python3.10  [kernel.kallsyms]     [k] psi_task_switch
     0.02%  python3.10  [kernel.kallsyms]     [k] rb_erase
     0.02%  python3.10  [kernel.kallsyms]     [k] enqueue_entity
     0.02%  python3.10  [kernel.kallsyms]     [k] inherit_task_group.isra.0
     0.02%  python3.10  [kernel.kallsyms]     [k] native_write_msr_safe
     0.02%  python3.10  [kernel.kallsyms]     [k] restore_fpregs_from_fpstate
     0.02%  python3.10  [kernel.kallsyms]     [k] __perf_event_task_sched_in
     0.02%  python3.10  [kernel.kallsyms]     [k] __calc_delta
     0.02%  python3.10  python3.10            [.] _PyUnicodeWriter_PrepareInternal
     0.02%  python3.10  [kernel.kallsyms]     [k] timerqueue_add
     0.01%  python3.10  [kernel.kallsyms]     [k] perf_log_itrace_start
     0.01%  python3.10  [kernel.kallsyms]     [k] zap_pte_range
     0.01%  python3.10  [kernel.kallsyms]     [k] select_idle_sibling
     0.01%  python3.10  [kernel.kallsyms]     [k] x86_pmu_event_init
     0.01%  python3.10  python3.10            [.] 0x00000000001215c8
     0.01%  python3.10  [kernel.kallsyms]     [k] native_sched_clock
     0.01%  python3.10  [kernel.kallsyms]     [k] kmem_cache_alloc_trace
     0.01%  python3.10  python3.10            [.] 0x00000000001215b2
     0.01%  python3.10  [kernel.kallsyms]     [k] find_vma_prev
     0.01%  python3.10  python3.10            [.] 0x00000000001215a6
     0.01%  python3.10  [kernel.kallsyms]     [k] sync_regs
     0.01%  python3.10  [kernel.kallsyms]     [k] enqueue_task_fair
     0.01%  python3.10  python3.10            [.] _PyObject_GenericSetAttrWithDict
     0.01%  python3.10  [kernel.kallsyms]     [k] select_task_rq_fair
     0.01%  python3.10  [kernel.kallsyms]     [k] psi_task_change
     0.01%  python3.10  [kernel.kallsyms]     [k] exit_to_user_mode_prepare
     0.01%  python3.10  [kernel.kallsyms]     [k] ctx_sched_in
     0.01%  python3.10  python3.10            [.] _PyFunction_Vectorcall
     0.01%  python3.10  [kernel.kallsyms]     [k] asm_sysvec_apic_timer_interrupt
     0.01%  python3.10  libc.so.6             [.] ____wcstold_l_internal
     0.01%  python3.10  [kernel.kallsyms]     [k] __mutex_init
     0.01%  python3.10  [kernel.kallsyms]     [k] memcg_slab_post_alloc_hook
     0.01%  python3.10  python3.10            [.] PyUnicode_FromFormatV
     0.01%  python3.10  [kernel.kallsyms]     [k] schedule
     0.01%  python3.10  [kernel.kallsyms]     [k] ___slab_alloc
     0.01%  python3.10  libc.so.6             [.] __strncat_ssse3
