# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 120K of event 'cycles'
# Event count (approx.): 42025937609
#
# Overhead  Command     Shared Object                             Symbol                                     
# ........  ..........  ........................................  ...........................................
#
    86.63%  python3.10  python3.10                                [.] _PyEval_EvalFrameDefault
     1.37%  python3.10  python3.10                                [.] 0x0000000000121590
     1.35%  python3.10  python3.10                                [.] 0x000000000012161a
     0.77%  python3.10  python3.10                                [.] 0x00000000001215c4
     0.60%  python3.10  python3.10                                [.] 0x0000000000121605
     0.48%  python3.10  python3.10                                [.] 0x0000000000121613
     0.35%  python3.10  python3.10                                [.] 0x0000000000121730
     0.34%  python3.10  python3.10                                [.] 0x0000000000121676
     0.28%  python3.10  python3.10                                [.] 0x0000000000121737
     0.27%  python3.10  python3.10                                [.] 0x000000000012160b
     0.27%  python3.10  python3.10                                [.] 0x000000000012159b
     0.25%  python3.10  python3.10                                [.] 0x00000000001215f2
     0.24%  python3.10  python3.10                                [.] 0x00000000001215ab
     0.24%  python3.10  python3.10                                [.] 0x00000000001215dc
     0.23%  python3.10  python3.10                                [.] 0x00000000001215a3
     0.21%  python3.10  python3.10                                [.] 0x00000000001215f7
     0.20%  python3.10  python3.10                                [.] 0x000000000012167d
     0.19%  python3.10  python3.10                                [.] 0x00000000001215cb
     0.16%  python3.10  python3.10                                [.] 0x00000000001215e9
     0.14%  python3.10  python3.10                                [.] 0x0000000000121596
     0.13%  python3.10  python3.10                                [.] 0x0000000000121679
     0.10%  python3.10  python3.10                                [.] 0x0000000000121600
     0.10%  python3.10  python3.10                                [.] 0x00000000001215a7
     0.10%  python3.10  [kernel.kallsyms]                         [k] psi_group_change
     0.09%  python3.10  python3.10                                [.] 0x00000000001215e2
     0.08%  :1991051    python3.10                                [.] _PyEval_EvalFrameDefault
     0.08%  :1991148    python3.10                                [.] _PyEval_EvalFrameDefault
     0.07%  :1990984    python3.10                                [.] _PyEval_EvalFrameDefault
     0.07%  python3.10  python3.10                                [.] 0x00000000001215bc
     0.07%  python3.10  python3.10                                [.] 0x00000000001215e5
     0.06%  python3.10  python3.10                                [.] 0x0000000000121616
     0.06%  :1990831    python3.10                                [.] _PyEval_EvalFrameDefault
     0.06%  python3.10  python3.10                                [.] 0x00000000001215d8
     0.06%  python3.10  python3.10                                [.] 0x000000000012167f
     0.06%  python3.10  python3.10                                [.] 0x000000000012160f
     0.06%  :1991109    python3.10                                [.] _PyEval_EvalFrameDefault
     0.06%  python3.10  [kernel.kallsyms]                         [k] memset_erms
     0.06%  python3.10  python3.10                                [.] 0x000000000012159d
     0.06%  :1991279    python3.10                                [.] _PyEval_EvalFrameDefault
     0.06%  :1990993    python3.10                                [.] _PyEval_EvalFrameDefault
     0.06%  :1990937    python3.10                                [.] _PyEval_EvalFrameDefault
     0.06%  :1991201    python3.10                                [.] _PyEval_EvalFrameDefault
     0.06%  :1991228    python3.10                                [.] _PyEval_EvalFrameDefault
     0.05%  :1990803    python3.10                                [.] _PyEval_EvalFrameDefault
     0.05%  python3.10  [kernel.kallsyms]                         [k] syscall_exit_to_user_mode
     0.05%  :1991169    python3.10                                [.] _PyEval_EvalFrameDefault
     0.05%  python3.10  python3.10                                [.] 0x000000000012167b
     0.05%  python3.10  [kernel.kallsyms]                         [k] entry_SYSCALL_64_after_hwframe
     0.05%  :1991069    python3.10                                [.] _PyEval_EvalFrameDefault
     0.05%  python3.10  [kernel.kallsyms]                         [k] native_read_msr
     0.05%  python3.10  [kernel.kallsyms]                         [k] perf_event_alloc
     0.04%  python3.10  python3.10                                [.] 0x00000000001215a2
     0.04%  python3.10  python3.10                                [.] 0x000000000012166e
     0.04%  python3.10  python3.10                                [.] 0x0000000000121677
     0.04%  python3.10  [kernel.kallsyms]                         [k] rb_next
     0.04%  python3.10  [kernel.kallsyms]                         [k] syscall_return_via_sysret
     0.04%  python3.10  [kernel.kallsyms]                         [k] irqentry_exit_to_user_mode
     0.04%  :1990901    python3.10                                [.] _PyEval_EvalFrameDefault
     0.04%  python3.10  [kernel.kallsyms]                         [k] inherit_event.constprop.0
     0.03%  python3.10  libc.so.6                                 [.] __strcat_ssse3
     0.03%  python3.10  [kernel.kallsyms]                         [k] merge_sched_in
     0.03%  python3.10  [kernel.kallsyms]                         [k] perf_event_groups_first
     0.03%  python3.10  python3.10                                [.] _PyObject_GetMethod
     0.03%  python3.10  [kernel.kallsyms]                         [k] __irqentry_text_end
     0.03%  python3.10  [kernel.kallsyms]                         [k] __schedule
     0.03%  python3.10  [kernel.kallsyms]                         [k] error_entry
     0.03%  python3.10  python3.10                                [.] 0x00000000001215a0
     0.03%  python3.10  [kernel.kallsyms]                         [k] update_load_avg
     0.03%  python3.10  libc.so.6                                 [.] __GI___strncasecmp_l_sse2
     0.03%  python3.10  python3.10                                [.] 0x0000000000121594
     0.03%  python3.10  [kernel.kallsyms]                         [k] native_write_msr
     0.03%  python3.10  [kernel.kallsyms]                         [k] zap_pte_range
     0.03%  python3.10  python3.10                                [.] _PyObject_MakeTpCall
     0.02%  python3.10  [kernel.kallsyms]                         [k] restore_fpregs_from_fpstate
     0.02%  python3.10  libc.so.6                                 [.] ____wcstof_l_internal
     0.02%  python3.10  [kernel.kallsyms]                         [k] asm_sysvec_apic_timer_interrupt
     0.02%  python3.10  python3.10                                [.] _PyObject_GenericGetAttrWithDict
     0.02%  python3.10  [kernel.kallsyms]                         [k] event_sched_in
     0.02%  python3.10  python3.10                                [.] 0x0000000000121599
     0.02%  python3.10  [kernel.kallsyms]                         [k] visit_groups_merge.constprop.0.isra.0
     0.02%  python3.10  [kernel.kallsyms]                         [k] futex_wake
     0.02%  python3.10  [kernel.kallsyms]                         [k] _raw_spin_lock
     0.02%  python3.10  [kernel.kallsyms]                         [k] perf_event_update_userpage
     0.02%  python3.10  [kernel.kallsyms]                         [k] __update_load_avg_se
     0.02%  python3.10  [kernel.kallsyms]                         [k] kfree
     0.02%  python3.10  [kernel.kallsyms]                         [k] sync_regs
     0.02%  python3.10  [kernel.kallsyms]                         [k] __update_load_avg_cfs_rq
     0.02%  python3.10  [kernel.kallsyms]                         [k] enqueue_entity
     0.02%  python3.10  [kernel.kallsyms]                         [k] ___slab_alloc
     0.02%  python3.10  [kernel.kallsyms]                         [k] kmem_cache_alloc_trace
     0.02%  python3.10  [kernel.kallsyms]                         [k] try_to_wake_up
     0.02%  python3.10  [kernel.kallsyms]                         [k] perf_swevent_add
     0.02%  python3.10  python3.10                                [.] 0x0000000000121734
     0.02%  python3.10  [kernel.kallsyms]                         [k] _raw_spin_lock_irqsave
     0.02%  python3.10  [kernel.kallsyms]                         [k] rb_erase
     0.02%  python3.10  [kernel.kallsyms]                         [k] native_sched_clock
     0.02%  python3.10  [kernel.kallsyms]                         [k] ctx_sched_in
     0.02%  python3.10  libc.so.6                                 [.] ____wcstold_l_internal
     0.01%  python3.10  [kernel.kallsyms]                         [k] kmem_cache_alloc_node_trace
     0.01%  python3.10  [kernel.kallsyms]                         [k] mutex_lock
     0.01%  python3.10  [kernel.kallsyms]                         [k] update_curr
     0.01%  python3.10  python3.10                                [.] _PyFunction_Vectorcall
     0.01%  python3.10  [kernel.kallsyms]                         [k] ___perf_sw_event
     0.01%  python3.10  python3.10                                [.] 0x00000000001215c0
     0.01%  python3.10  [kernel.kallsyms]                         [k] __perf_event_task_sched_in
     0.01%  python3.10  [kernel.kallsyms]                         [k] psi_task_change
     0.01%  python3.10  [kernel.kallsyms]                         [k] __calc_delta
     0.01%  python3.10  [kernel.kallsyms]                         [k] native_write_msr_safe
     0.01%  python3.10  [kernel.kallsyms]                         [k] select_task_rq_fair
     0.01%  python3.10  libc.so.6                                 [.] __memmove_sse2_unaligned_erms
     0.01%  python3.10  [kernel.kallsyms]                         [k] update_cfs_group
     0.01%  python3.10  [kernel.kallsyms]                         [k] rb_insert_color
     0.01%  python3.10  [kernel.kallsyms]                         [k] native_apic_msr_eoi_write
     0.01%  python3.10  [kernel.kallsyms]                         [k] __hrtimer_run_queues
     0.01%  python3.10  [kernel.kallsyms]                         [k] therm_throt_process
     0.01%  python3.10  [kernel.kallsyms]                         [k] perf_try_init_event
     0.01%  python3.10  [kernel.kallsyms]                         [k] perf_log_itrace_start
     0.01%  python3.10  [kernel.kallsyms]                         [k] asm_sysvec_thermal
     0.01%  python3.10  python3.10                                [.] 0x00000000001215c8
     0.01%  python3.10  [kernel.kallsyms]                         [k] native_queued_spin_lock_slowpath.part.0
     0.01%  python3.10  [kernel.kallsyms]                         [k] psi_task_switch
     0.01%  python3.10  [kernel.kallsyms]                         [k] __get_user_8
     0.01%  python3.10  python3.10                                [.] _PyUnicode_JoinArray
     0.01%  python3.10  [kernel.kallsyms]                         [k] update_rq_clock
     0.01%  python3.10  [kernel.kallsyms]                         [k] perf_iterate_ctx
     0.01%  python3.10  [kernel.kallsyms]                         [k] enqueue_task_fair
     0.01%  python3.10  [kernel.kallsyms]                         [k] timerqueue_add
     0.01%  python3.10  [kernel.kallsyms]                         [k] pick_next_task_fair
     0.01%  python3.10  [kernel.kallsyms]                         [k] x86_pmu_event_init
     0.01%  python3.10  python3.10                                [.] _PyObject_LookupSpecial
     0.01%  python3.10  [kernel.kallsyms]                         [k] pick_next_entity
     0.01%  python3.10  [kernel.kallsyms]                         [k] update_min_vruntime
     0.01%  python3.10  [kernel.kallsyms]                         [k] kmem_cache_alloc_node
     0.01%  python3.10  [kernel.kallsyms]                         [k] inherit_task_group.isra.0
     0.01%  python3.10  [kernel.kallsyms]                         [k] futex_wait
     0.01%  python3.10  python3.10                                [.] 0x00000000001215b2
     0.01%  python3.10  [kernel.kallsyms]                         [k] check_preempt_wakeup
     0.01%  python3.10  [kernel.kallsyms]                         [k] memcpy_erms
     0.01%  python3.10  [kernel.kallsyms]                         [k] memcg_slab_free_hook
     0.01%  python3.10  [kernel.kallsyms]                         [k] irq_exit_rcu
     0.01%  python3.10  [kernel.kallsyms]                         [k] dequeue_task_fair
     0.01%  python3.10  [kernel.kallsyms]                         [k] prepare_task_switch
     0.01%  python3.10  [kernel.kallsyms]                         [k] find_vma_prev
     0.01%  python3.10  [kernel.kallsyms]                         [k] put_prev_entity
     0.01%  python3.10  python3.10                                [.] 0x0000000000152275
     0.01%  python3.10  python3.10                                [.] _PyObject_GenericSetAttrWithDict
     0.01%  python3.10  [kernel.kallsyms]                         [k] sched_clock_cpu
     0.01%  python3.10  [kernel.kallsyms]                         [k] perf_event_update_time
     0.01%  python3.10  [kernel.kallsyms]                         [k] kmem_cache_free
     0.01%  python3.10  [kernel.kallsyms]                         [k] lapic_next_deadline
     0.01%  python3.10  [kernel.kallsyms]                         [k] read_tsc
     0.01%  python3.10  [kernel.kallsyms]                         [k] __x64_sys_futex
     0.01%  python3.10  python3.10                                [.] _PyObject_GC_New
     0.01%  python3.10  [kernel.kallsyms]                         [k] __srcu_read_lock
     0.01%  python3.10  [kernel.kallsyms]                         [k] ttwu_do_activate
     0.01%  python3.10  [kernel.kallsyms]                         [k] exit_to_user_mode_loop
     0.01%  python3.10  [kernel.kallsyms]                         [k] idr_get_free
     0.01%  python3.10  [kernel.kallsyms]                         [k] reweight_entity
     0.01%  python3.10  [kernel.kallsyms]                         [k] memcg_slab_post_alloc_hook
     0.01%  python3.10  libc.so.6                                 [.] __stpncpy_sse2_unaligned
     0.01%  python3.10  [kernel.kallsyms]                         [k] slab_free_freelist_hook.constprop.0
     0.01%  python3.10  [kernel.kallsyms]                         [k] perf_event_init_context
     0.01%  python3.10  libc.so.6                                 [.] __strncat_ssse3
     0.01%  python3.10  [kernel.kallsyms]                         [k] __mod_lruvec_page_state
     0.01%  python3.10  [kernel.kallsyms]                         [k] do_syscall_64
     0.01%  python3.10  [kernel.kallsyms]                         [k] page_remove_rmap
     0.01%  python3.10  [kernel.kallsyms]                         [k] intel_get_event_constraints
     0.01%  python3.10  python3.10                                [.] 0x000000000012d084
     0.01%  python3.10  python3.10                                [.] PyUnicode_Format
     0.01%  python3.10  [kernel.kallsyms]                         [k] enqueue_task
     0.01%  python3.10  [kernel.kallsyms]                         [k] x86_pmu_extra_regs
     0.01%  python3.10  [kernel.kallsyms]                         [k] perf_pmu_nop_int
     0.01%  python3.10  [kernel.kallsyms]                         [k] task_clock_event_add
     0.01%  python3.10  [kernel.kallsyms]                         [k] hash_futex
