# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 121K of event 'cycles'
# Event count (approx.): 45536139830
#
# Overhead  Command     Shared Object                             Symbol                                      
# ........  ..........  ........................................  ............................................
#
    87.53%  python3.10  python3.10                                [.] _PyEval_EvalFrameDefault
     1.38%  python3.10  python3.10                                [.] 0x000000000012161a
     1.28%  python3.10  python3.10                                [.] 0x0000000000121590
     0.73%  python3.10  python3.10                                [.] 0x00000000001215c4
     0.63%  python3.10  python3.10                                [.] 0x0000000000121605
     0.39%  python3.10  python3.10                                [.] 0x0000000000121613
     0.32%  python3.10  python3.10                                [.] 0x0000000000121676
     0.31%  python3.10  python3.10                                [.] 0x0000000000121730
     0.25%  python3.10  python3.10                                [.] 0x000000000012160b
     0.24%  python3.10  python3.10                                [.] 0x00000000001215a3
     0.24%  python3.10  python3.10                                [.] 0x000000000012159b
     0.24%  python3.10  python3.10                                [.] 0x0000000000121737
     0.23%  python3.10  python3.10                                [.] 0x00000000001215f2
     0.23%  python3.10  python3.10                                [.] 0x00000000001215ab
     0.22%  python3.10  python3.10                                [.] 0x000000000012167d
     0.18%  python3.10  python3.10                                [.] 0x00000000001215f7
     0.16%  python3.10  python3.10                                [.] 0x00000000001215dc
     0.15%  python3.10  python3.10                                [.] 0x00000000001215cb
     0.15%  python3.10  python3.10                                [.] 0x00000000001215e9
     0.13%  python3.10  python3.10                                [.] 0x0000000000121596
     0.12%  python3.10  python3.10                                [.] 0x0000000000121679
     0.10%  python3.10  python3.10                                [.] 0x0000000000121600
     0.10%  python3.10  [kernel.kallsyms]                         [k] psi_group_change
     0.09%  python3.10  python3.10                                [.] 0x00000000001215e5
     0.08%  :1991294    python3.10                                [.] _PyEval_EvalFrameDefault
     0.07%  python3.10  python3.10                                [.] 0x00000000001215a7
     0.07%  :1991209    python3.10                                [.] _PyEval_EvalFrameDefault
     0.07%  python3.10  python3.10                                [.] 0x00000000001215e2
     0.07%  :1991006    python3.10                                [.] _PyEval_EvalFrameDefault
     0.07%  python3.10  [kernel.kallsyms]                         [k] memset_erms
     0.06%  python3.10  python3.10                                [.] 0x0000000000121677
     0.06%  python3.10  python3.10                                [.] _PyObject_GetMethod
     0.06%  :1991036    python3.10                                [.] _PyEval_EvalFrameDefault
     0.05%  :1991261    python3.10                                [.] _PyEval_EvalFrameDefault
     0.05%  python3.10  python3.10                                [.] 0x00000000001215d8
     0.05%  :1991099    python3.10                                [.] _PyEval_EvalFrameDefault
     0.05%  :1991173    python3.10                                [.] _PyEval_EvalFrameDefault
     0.05%  python3.10  [kernel.kallsyms]                         [k] syscall_exit_to_user_mode
     0.05%  python3.10  python3.10                                [.] 0x00000000001215bc
     0.05%  python3.10  [kernel.kallsyms]                         [k] perf_event_alloc
     0.05%  python3.10  python3.10                                [.] 0x000000000012167f
     0.05%  :1991154    python3.10                                [.] _PyEval_EvalFrameDefault
     0.04%  python3.10  python3.10                                [.] 0x000000000012159d
     0.04%  :1991224    python3.10                                [.] _PyEval_EvalFrameDefault
     0.04%  python3.10  [kernel.kallsyms]                         [k] syscall_return_via_sysret
     0.04%  python3.10  [kernel.kallsyms]                         [k] irqentry_exit_to_user_mode
     0.04%  python3.10  [kernel.kallsyms]                         [k] entry_SYSCALL_64_after_hwframe
     0.04%  python3.10  python3.10                                [.] 0x000000000012167b
     0.04%  python3.10  [kernel.kallsyms]                         [k] error_entry
     0.04%  python3.10  python3.10                                [.] 0x000000000012160f
     0.04%  python3.10  python3.10                                [.] 0x0000000000121616
     0.03%  python3.10  [kernel.kallsyms]                         [k] merge_sched_in
     0.03%  python3.10  [kernel.kallsyms]                         [k] native_read_msr
     0.03%  python3.10  python3.10                                [.] 0x000000000012166e
     0.03%  python3.10  [kernel.kallsyms]                         [k] rb_next
     0.03%  python3.10  libc.so.6                                 [.] __strcat_ssse3
     0.03%  python3.10  [kernel.kallsyms]                         [k] inherit_event.constprop.0
     0.03%  python3.10  python3.10                                [.] 0x00000000001215a2
     0.03%  python3.10  [kernel.kallsyms]                         [k] zap_pte_range
     0.03%  python3.10  [kernel.kallsyms]                         [k] __irqentry_text_end
     0.03%  python3.10  python3.10                                [.] 0x0000000000121594
     0.03%  python3.10  [kernel.kallsyms]                         [k] visit_groups_merge.constprop.0.isra.0
     0.03%  python3.10  [kernel.kallsyms]                         [k] _raw_spin_lock
     0.03%  python3.10  libc.so.6                                 [.] ____wcstof_l_internal
     0.03%  python3.10  [kernel.kallsyms]                         [k] perf_event_update_userpage
     0.02%  python3.10  [kernel.kallsyms]                         [k] __update_load_avg_se
     0.02%  python3.10  [kernel.kallsyms]                         [k] update_load_avg
     0.02%  python3.10  python3.10                                [.] 0x00000000001215a0
     0.02%  python3.10  python3.10                                [.] _PyObject_MakeTpCall
     0.02%  python3.10  [kernel.kallsyms]                         [k] native_write_msr
     0.02%  python3.10  libc.so.6                                 [.] __GI___strncasecmp_l_sse2
     0.02%  python3.10  [kernel.kallsyms]                         [k] kfree
