# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 19K of event 'cycles'
# Event count (approx.): 5510561776
#
# Overhead  Command     Shared Object                             Symbol                                     
# ........  ..........  ........................................  ...........................................
#
    11.55%  python3.10  python3.10                                [.] _PyEval_EvalFrameDefault
     3.29%  python3.10  python3.10                                [.] PyLong_FromString
     1.86%  python3.10  [kernel.kallsyms]                         [k] perf_event_update_userpage
     1.16%  python3.10  python3.10                                [.] _PyObject_GetMethod
     1.04%  python3.10  [kernel.kallsyms]                         [k] syscall_exit_to_user_mode
     0.99%  python3.10  [kernel.kallsyms]                         [k] psi_group_change
     0.90%  python3.10  [kernel.kallsyms]                         [k] rb_next
     0.84%  python3.10  python3.10                                [.] 0x00000000001b640a
     0.83%  python3.10  [kernel.kallsyms]                         [k] merge_sched_in
     0.75%  python3.10  [kernel.kallsyms]                         [k] perf_event_groups_first
     0.75%  python3.10  [kernel.kallsyms]                         [k] syscall_return_via_sysret
     0.71%  python3.10  python3.10                                [.] _PyUnicode_FromASCII
     0.69%  python3.10  python3.10                                [.] _PyObject_MakeTpCall
     0.67%  python3.10  [kernel.kallsyms]                         [k] visit_groups_merge.constprop.0.isra.0
     0.67%  python3.10  libc.so.6                                 [.] ____wcstold_l_internal
     0.62%  python3.10  libc.so.6                                 [.] ____wcstof_l_internal
     0.56%  python3.10  libc.so.6                                 [.] re_search_internal
     0.55%  python3.10  python3.10                                [.] PyDict_Contains
     0.53%  python3.10  python3.10                                [.] _PyObject_LookupSpecial
     0.52%  python3.10  [kernel.kallsyms]                         [k] entry_SYSCALL_64_after_hwframe
     0.52%  python3.10  [kernel.kallsyms]                         [k] event_sched_in
     0.51%  python3.10  [kernel.kallsyms]                         [k] perf_swevent_add
     0.50%  python3.10  [kernel.kallsyms]                         [k] __tcp_transmit_skb
     0.50%  python3.10  python3.10                                [.] 0x00000000001b63e8
     0.49%  python3.10  python3.10                                [.] _PyUnicodeWriter_PrepareInternal
     0.48%  python3.10  [kernel.kallsyms]                         [k] __schedule
     0.47%  python3.10  python3.10                                [.] _PyUnicode_InsertThousandsGrouping
     0.45%  python3.10  libc.so.6                                 [.] re_compile_internal
     0.45%  python3.10  [kernel.kallsyms]                         [k] tcp_sendmsg_locked
     0.44%  python3.10  python3.10                                [.] 0x00000000001b63ff
     0.43%  python3.10  [kernel.kallsyms]                         [k] __fget_files
