CS ID,CS PID
2-39-88-438,2051584
2-39-83-386,2051597
2-39-129-563,2051609
2-39-83-387,2051622
2-39-131-565,2051645
2-39-126-20,2051590
2-39-82-384,2051657
2-39-89-25,2051670
2-39-78-367,2051663
2-39-79-381,2051582
2-39-79-383,2051639
2-39-124-558,2051627
2-39-78-366,2051651
2-39-91-437,2051603
2-39-95-444,2051614
2-39-78-364,2051633
2-39-91-441,2051715
2-39-130-31,2051730
2-39-90-440,2051746
2-39-138-566,2051718
2-39-139-567,2051719
2-39-126-560,2051726
2-39-79-380,2051723
2-39-123-23,2051729
2-39-88-24,2051728
2-39-79-378,2051731
2-39-128-562,2051732
2-39-90-26,2051733
2-39-128-18,2051734
2-39-92-436,2051736
2-39-124-22,2051735
2-39-131-30,2051737
2-39-78-365,2051743
2-39-138-29,2051744
2-39-78-361,2051745
2-39-139-28,2051747
2-39-79-376,2051753
2-39-79-379,2051754
2-39-92-442,2051757
2-39-89-439,2051756
2-39-125-559,2051755
2-39-129-17,2051759
2-39-127-561,2051760
2-39-78-363,2051762
2-39-127-19,2051763
2-39-130-564,2051765
2-39-79-382,2051766
2-39-78-360,2051768
2-39-95-27,2051769
2-39-123-557,2051758
2-39-79-377,2051761
2-39-125-21,2051764
2-39-78-362,2051767
