# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 7K of event 'cycles'
# Event count (approx.): 3042536148
#
# Overhead  Command     Shared Object         Symbol                                   
# ........  ..........  ....................  .........................................
#
    72.45%  python3.10  python3.10            [.] _PyEval_EvalFrameDefault
     2.88%  python3.10  python3.10            [.] 0x000000000012161a
     1.31%  python3.10  python3.10            [.] 0x0000000000121676
     1.18%  python3.10  python3.10            [.] 0x0000000000121590
     1.07%  python3.10  python3.10            [.] 0x0000000000121679
     0.79%  python3.10  python3.10            [.] 0x00000000001215f7
     0.78%  python3.10  python3.10            [.] 0x0000000000121737
     0.73%  python3.10  python3.10            [.] 0x0000000000121613
     0.70%  python3.10  python3.10            [.] 0x00000000001215f2
     0.69%  python3.10  python3.10            [.] 0x0000000000121730
     0.68%  python3.10  python3.10            [.] 0x0000000000121605
     0.67%  python3.10  python3.10            [.] 0x000000000012159b
     0.57%  python3.10  python3.10            [.] 0x0000000000121596
     0.56%  python3.10  python3.10            [.] 0x00000000001215c4
     0.55%  python3.10  python3.10            [.] 0x00000000001215a3
     0.54%  python3.10  python3.10            [.] 0x000000000012167d
     0.39%  python3.10  python3.10            [.] 0x00000000001215cb
     0.37%  python3.10  python3.10            [.] 0x00000000001215dc
     0.36%  python3.10  python3.10            [.] 0x00000000001215bc
     0.36%  python3.10  python3.10            [.] 0x000000000012159d
     0.35%  python3.10  python3.10            [.] 0x00000000001215e9
     0.32%  python3.10  python3.10            [.] 0x000000000012167b
     0.30%  python3.10  python3.10            [.] 0x000000000012160b
     0.26%  python3.10  python3.10            [.] 0x00000000001215a7
     0.25%  python3.10  python3.10            [.] 0x00000000001215e5
     0.23%  python3.10  python3.10            [.] 0x00000000001215ab
     0.19%  python3.10  python3.10            [.] 0x0000000000121677
     0.19%  python3.10  python3.10            [.] 0x0000000000121600
     0.19%  python3.10  python3.10            [.] 0x00000000001215a2
     0.18%  python3.10  python3.10            [.] 0x0000000000121594
     0.16%  python3.10  python3.10            [.] 0x00000000001215e2
     0.16%  python3.10  python3.10            [.] 0x0000000000121616
     0.15%  python3.10  python3.10            [.] 0x00000000001215d8
     0.15%  python3.10  [kernel.kallsyms]     [k] psi_group_change
     0.15%  python3.10  [kernel.kallsyms]     [k] memset_erms
     0.15%  python3.10  [kernel.kallsyms]     [k] zap_pte_range
     0.15%  python3.10  python3.10            [.] 0x000000000012160f
     0.13%  python3.10  [kernel.kallsyms]     [k] visit_groups_merge.constprop.0.isra.0
     0.13%  python3.10  [kernel.kallsyms]     [k] syscall_return_via_sysret
     0.13%  python3.10  python3.10            [.] 0x000000000012167f
     0.12%  python3.10  python3.10            [.] _PyObject_MakeTpCall
     0.12%  python3.10  python3.10            [.] 0x00000000001215b2
     0.10%  python3.10  [kernel.kallsyms]     [k] perf_event_alloc
     0.10%  python3.10  [kernel.kallsyms]     [k] syscall_exit_to_user_mode
     0.10%  python3.10  [kernel.kallsyms]     [k] rb_next
     0.09%  python3.10  [kernel.kallsyms]     [k] entry_SYSCALL_64_after_hwframe
     0.08%  python3.10  python3.10            [.] _PyObject_GetMethod
     0.08%  python3.10  python3.10            [.] 0x00000000001215a6
     0.08%  python3.10  [kernel.kallsyms]     [k] perf_event_update_userpage
     0.08%  python3.10  python3.10            [.] 0x000000000017c3fc
     0.07%  python3.10  [kernel.kallsyms]     [k] page_remove_rmap
     0.07%  python3.10  [kernel.kallsyms]     [k] perf_event_groups_insert
     0.07%  python3.10  [kernel.kallsyms]     [k] __update_load_avg_se
     0.06%  python3.10  [kernel.kallsyms]     [k] kmem_cache_alloc_node_trace
     0.06%  python3.10  [kernel.kallsyms]     [k] event_sched_in
     0.06%  python3.10  [kernel.kallsyms]     [k] ttwu_do_wakeup
     0.06%  python3.10  python3.10            [.] _PyObject_GenericGetAttrWithDict
     0.06%  python3.10  python3.10            [.] 0x0000000000127f54
     0.05%  python3.10  python3.10            [.] _PyUnicode_InsertThousandsGrouping
     0.05%  python3.10  python3.10            [.] _PyFunction_Vectorcall
     0.05%  python3.10  python3.10            [.] 0x000000000015efdc
     0.05%  python3.10  python3.10            [.] 0x00000000001215df
     0.05%  python3.10  [kernel.kallsyms]     [k] __perf_event_task_sched_in
     0.05%  python3.10  python3.10            [.] 0x00000000001d4961
     0.05%  python3.10  [kernel.kallsyms]     [k] __intel_pmu_enable_all.constprop.0
     0.05%  python3.10  python3.10            [.] PyList_Append
