# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 149K of event 'cycles'
# Event count (approx.): 73420793388
#
# Overhead  Command     Shared Object         Symbol                                     
# ........  ..........  ....................  ...........................................
#
    50.45%  :2052153    python3.10            [.] _PyEval_EvalFrameDefault
     7.44%  :2052153    python3.10            [.] PyObject_RichCompare
     4.55%  :2052153    python3.10            [.] 0x000000000012161a
     2.51%  python3.10  python3.10            [.] _PyEval_EvalFrameDefault
     2.01%  :2052153    python3.10            [.] 0x0000000000179c52
     1.73%  :2052153    python3.10            [.] 0x0000000000179c0e
     1.69%  :2052153    python3.10            [.] 0x0000000000121676
     1.48%  :2052153    python3.10            [.] 0x0000000000121590
     0.99%  :2052153    python3.10            [.] 0x0000000000121613
     0.96%  :2052153    python3.10            [.] 0x00000000001215f2
     0.95%  :2052153    python3.10            [.] 0x0000000000121679
     0.90%  :2052153    python3.10            [.] 0x0000000000121596
     0.90%  :2052153    python3.10            [.] 0x000000000012160b
     0.85%  :2052153    python3.10            [.] 0x000000000015b537
     0.75%  :2052153    python3.10            [.] 0x00000000001215f7
     0.74%  :2052153    python3.10            [.] 0x0000000000121605
     0.71%  :2052153    python3.10            [.] 0x0000000000121623
     0.71%  :2052153    python3.10            [.] 0x0000000000121737
     0.70%  :2052153    python3.10            [.] 0x0000000000179c02
     0.68%  :2052153    python3.10            [.] 0x0000000000121730
     0.67%  :2052153    python3.10            [.] 0x000000000012159b
     0.59%  :2052153    python3.10            [.] 0x00000000001215a3
     0.55%  :2052153    python3.10            [.] 0x0000000000121616
     0.51%  :2052153    python3.10            [.] 0x000000000015b541
     0.46%  :2052153    python3.10            [.] 0x00000000001215c4
     0.46%  :2052153    python3.10            [.] 0x000000000012159d
     0.44%  :2052153    python3.10            [.] 0x00000000001215a7
     0.40%  :2052153    python3.10            [.] 0x0000000000121594
     0.39%  :2052153    python3.10            [.] 0x000000000015b506
     0.35%  :2052153    python3.10            [.] 0x000000000012160f
